Mesoplodon_densirostris_(USNM_550754),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.54,7.91,4.35,1.31,3.65,85,5.33,2.44,0,0,NA,3.2,1.86,43
T2,3.44,7.32,4.18,14.9,4.78,95,5.12,3.65,0,0,NA,3.54,2.29,69
T3,3.48,6.82,4.02,17.85,4.68,100,5.48,3.67,1.52,1.19,4.1,3.5,2.98,73
T4,4.98,6.71,4.01,17.55,5.13,106,5.48,3.28,1.16,1.14,5.1,3.22,2.95,88
T5,5.58,7.42,4.12,19.35,5.19,109,5.16,3.44,1.61,1.82,5.75,3.07,3.38,93
T6,6.19,7.53,4.18,20.95,5.47,113,5.19,3.56,2.08,1.93,6.05,3.95,3.02,96
T7,7.12,7.01,4.35,21.95,6.04,114,5.2,4.43,3.67,2.26,6.5,0,0,NA
T8,8.03,6.61,4.85,22.45,6.08,113,4.9,5.55,4.35,4.37,7.05,1.66,3.03,86
T9,8.83,6.98,5.18,22.7,6.47,112,4.39,5.79,5.41,4.91,7.75,3.96,4.79,93
T10,9.76,7.12,5.92,23.2,5.94,109,4.46,6.04,5.96,4.53,8.15,2.51,7.2,92
L1,10.28,7.58,6.24,23.95,6.18,105,4.69,6.43,6.71,3.72,7.95,9.81,7.01,72
L2,10.58,7.66,6.66,24.5,6.74,103,4.32,6.64,5.7,3.97,7.85,10.05,7.25,70
L3,10.94,8.22,7,25.05,6.81,100,4.22,7.03,NA,NA,NA,10.26,7.7,65
L4,11.29,8.46,7.03,25.55,6.57,102,4.35,6.93,5.72,3.97,7.9,10.16,7.58,60
L5,11.86,8.23,7.16,26.25,6.65,100,4,7.74,5.43,4.43,8.05,9.77,7.43,60
L6,12.22,8.43,7.31,27.5,6.78,100,4.24,7.56,4.97,4.06,7.7,9.9,7.79,63
L7,12.84,8.73,7.57,27.45,6.79,100,3.79,7.78,4.76,3.28,7.9,9.31,9.03,66
L8,13.09,9.36,7.78,27.1,7.15,100,3.91,7.8,4.22,3.23,8,9.67,9.4,68
L9,13.41,9.43,7.78,26.6,7.65,99,3.61,8.3,2.72,3.11,6.85,8.78,10.24,70
L10,13.19,9.5,8.41,24.9,8.51,98,3.27,8.52,1.98,2.13,6,7.96,9.94,73
Ca1,12.8,9.44,8.75,23.4,7.83,101,3.03,8.56,1.37,2.18,5.7,7.86,10.5,78
Ca2,12.27,9.39,8.67,21.75,8.32,104,2.59,8.35,1.32,1.74,4.8,7.37,9.5,84
Ca3,11.92,9.09,8.54,19.4,8.17,107,2.1,8.12,1.15,1.71,4.25,6.27,9.84,87
Ca4,11.48,9.1,9.09,16.2,8.13,111,1.71,7.84,1.23,1.61,3.9,5.07,8.4,82
Ca5,10.99,8.97,9.38,12.95,6.97,111,1.29,7.04,1.95,1.23,3.4,3.35,6.13,78
Ca6,10.53,8.46,9.09,10.1,6.35,117,1.08,7.26,1.47,1.1,2.35,1.91,4.59,70
Ca7,10.18,7.58,9.3,7.4,6.51,113,1.02,6.3,1.42,1.04,1.95,0.76,1.55,80
Ca8,9.71,7.09,8.98,5.15,6.06,112,0.99,6.36,1.6,0.85,1.35,0,0,NA
Ca9,9.24,6.74,8.81,3.5,5.65,116,0.89,6.08,1.24,1.01,0.9,0,0,NA
Ca10,8.06,6.66,8.02,1.8,5.96,112,0.68,5.11,1.26,0.7,0.45,0,0,NA
Ca11,5.67,6.59,6.85,0.65,2.45,103,0.47,2.72,0,0,NA,0,0,NA
