Balaenoptera_physalus_(NRM_558431),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,9.58,30.7,21.7,9.28,4.85,84,9.06,9.32,3.4,3.58,4.5,28.3,7.8,65
T2,11.1,30,21.9,10.62,5.13,88,8.9,9.59,2.58,3.11,3.5,28.5,7.86,60
T3,13.38,32.3,21.5,15.4,7.31,87,9.53,8.88,2.42,2.57,4.1,27.6,8.52,72
T4,15.5,30,20.9,19.8,11.35,90,11.98,10.61,5,3.4,3.7,25.5,12.42,74
T5,17.1,30.8,21,23.4,14.17,90,12.44,11.95,6.12,5.55,5.5,27.4,15.7,83
T6,18.9,29,20.9,26.4,18.5,89,14.22,12.78,8.9,8.29,10.1,30.8,19.7,91
T7,20.1,28,21.8,28.5,19.2,87,17,11.96,12.04,9.93,14.1,34.5,22.5,90
T8,21.2,28.8,21.8,31.4,19.5,87,17.5,11.88,13.71,11.45,16.6,38.6,23.4,98
T9,22.6,28.8,22.4,33.3,21.7,92,16.8,12.77,13.12,11.75,19.3,38.1,22.7,100
T10,22.5,30.5,22.4,34.4,20.9,102,17,13.04,14.55,13.95,20.4,37.3,21,100
T11,22.7,30,23.4,35.2,19,103,16.3,13.07,15.24,13.75,21.6,37.6,20.6,100
T12,23.4,30.2,21.1,36.8,18.85,110,13.4,13.31,15.02,13.43,23.8,38.7,19.2,100
T13,23.3,31.4,23.3,38,19.9,115,16.2,14.06,15.5,13.53,23.3,39,19.6,106
T14,24.3,31,22.8,37.5,17.6,117,15,14.29,16.7,12.22,23.9,39.4,19.1,102
T15,24.4,30.4,24.2,37.7,16,114,13.1,14.56,17.3,11.99,23.8,39.8,18.3,101
L1,25,31.2,23,37.6,16.9,111,15,14.58,18.25,10.62,22.1,39.1,18.6,91
L2,25.2,31.3,24.7,40,15.8,113,13.3,13.93,17.8,11.11,23.1,40.2,18.7,88
L3,25.6,30.5,26.1,37.8,16.2,117,13,14.38,17.6,10.84,22,40,19.2,88
L4,26.1,31.3,25.2,40.5,15,118,15,14.37,19,10.43,22.4,38.4,19.8,87
L5,25.9,31.9,26.8,43,15,119,13.1,14.24,15.4,10.68,19.7,36.9,20.6,78
L6,26.7,31.3,27.4,43.5,15.4,120,13,14.79,17.5,10.52,20.1,36.2,19.9,80
L7,27.1,31.5,26.7,43.5,13.5,120,11.6,14.71,16.5,9.32,19.8,39.1,21.2,80
L8,28,33.1,26.6,41.5,15.7,118,12.8,14.93,NA,NA,NA,37.8,19.4,82
L9,27.9,32.7,27.4,40.5,17.4,116,12.8,14.07,16,8.51,20.1,37.5,21.7,82
L10,28.2,33.5,27.4,38.2,17.5,120,12.2,14.81,17.2,9.49,20,36.1,22.4,85
L11,29.3,34.3,27.8,40.4,20.1,123,13.5,15.22,14.71,9.1,21.4,33,25.1,82
L12,30.3,33.9,28.7,39.5,19.2,125,13,14.98,13.39,8.68,20.1,29.4,23.2,85
L13,30.6,34.8,27.9,36.7,19.5,121,12.5,14.86,13.98,9.53,19.7,26.8,24.1,87
L14,30,35.1,29,32,20.1,124,13.6,13.02,11.97,9.14,20.1,24,24.1,90
Ca1,31,35,31.6,32.8,19.5,120,15.3,12.55,13.22,8.37,20,21.8,24.1,92
Ca2,30.9,35,31.6,31.4,19,115,15.2,12.02,14.72,7.22,19.8,19,20.25,90
Ca3,30.7,34.5,32.9,26.3,19.2,115,14.1,11.53,13.39,7.72,20,16.7,21.65,95
Ca4,30.3,35.2,31.4,19.2,16.1,116,13.8,10.59,10.69,8.91,16.5,13,19.6,100
Ca5,30,35.3,33.3,17.4,15.1,121,10.7,10.52,10.79,9.03,14.8,12.7,18,100
Ca6,29.1,36,33.4,15.3,13,118,8.9,11.38,8.59,9.92,13.8,9.9,16.25,90
Ca7,29.6,36,35.4,8.9,7.87,118,8.1,10.72,6.57,9.69,13.6,7.56,20,78
Ca8,28.5,35.2,34.7,8.51,6.26,125,7.6,10.2,6.22,8.38,11.8,6.76,18.75,78
Ca9,28.5,33.2,35.6,NA,NA,NA,6.8,11.37,5.67,7.88,10.6,4.97,17.35,70
Ca10,26.6,32,33,NA,NA,NA,5.1,9.74,5.29,6.74,8,4.49,12.47,69
Ca11,25.9,29.2,31.2,NA,NA,NA,4.3,12.55,4.97,6.82,6.8,2.82,12.02,65
Ca12,24.3,27.5,29.5,NA,NA,NA,3.6,9.57,4.23,5.77,5.6,2.12,9.05,75
Ca13,23.3,24.3,28.4,NA,NA,NA,3.4,12.46,3.71,5.89,5,0,0,NA
Ca14,19.9,22,25.5,2.48,8.38,103,2.62,6.19,2.42,3.97,2.2,0,0,NA
Ca15,14,19.2,21.7,0,0,NA,1.78,3.57,1.72,2.53,1.8,0,0,NA
Ca16,9.39,20.1,19.9,0,0,NA,0,0,0,0,NA,0,0,NA
