Monodon_monoceros_(MNHN_A3235),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.55,6.84,5.83,4.35,2.32,95,6.2,2.46,0,0,NA,4.81,1.54,90
T2,4.06,6.3,5.55,5.27,2.54,105,7.1,3.48,0.74,0.92,5.6,5.05,2.63,90
T3,5.18,6.04,5.2,5.72,3.7,115,7.5,5.13,0.95,1.74,6.84,5.09,3.19,90
T4,5.95,6.1,5.19,6.11,3.81,112,6.7,5.85,1,1.67,6.32,4.64,3.88,80
T5,6.4,6.45,5.48,6.17,4.08,110,6.6,6.36,1.6,1.66,6.66,5.64,4.36,75
T6,6.88,6.69,5.82,5.61,4.49,107,6.2,6.65,2.72,1.84,7.1,5.11,3.56,85
T7,7.25,6.92,5.79,6.06,4.75,110,6,6.71,3.38,2.24,7.08,5.79,3.9,90
T8,7.91,7.42,6.11,6.33,5.42,105,5.4,5.34,3.49,2.49,7.51,6.88,4.03,95
T9,8.6,7.47,7.19,6.64,5.19,110,5.4,5.21,6.6,2.26,6.85,8.25,4.62,100
T10,8.84,7.65,7.14,9.02,5.61,110,5.1,4.65,7.54,2.46,6.38,9.77,5,105
T11,9.52,7.94,6.99,10.15,5.49,115,5.8,4.88,6.27,3.27,6.65,11.4,7.64,90
L1,10.03,8.36,7.51,12.15,5.83,120,6,4.65,5.5,2.42,6.89,15.7,8.22,90
L2,9.83,7.7,7.6,12.12,6.22,110,6,4.21,5.99,2.61,8.06,17.25,7.94,85
L3,10.22,8.56,7.44,12,6.37,115,6.2,4.36,5.5,2.8,7.57,18.05,7.22,90
L4,10.27,8.09,7.77,12.57,6.6,115,4.8,3.72,5.93,2.68,8.27,16.4,7.7,90
L5,10.33,8.27,7.83,12.84,6.34,110,4.8,4.09,5.49,2.52,7.96,18.5,7.5,98
L6,10.43,8.89,7.83,12.41,6.31,110,5.2,4.34,4.99,3.08,7.79,16.45,8.73,100
L7,10.83,9.17,8.23,11.97,6.11,110,4.85,4.33,5.28,3.29,8.66,15.75,8.74,105
L8,10.48,9.04,8.39,11.34,6.11,110,5.1,4.07,5.08,3.2,8.86,14.85,7.34,98
L9,10.49,9,8.69,11.02,5.46,110,4.9,4.19,4.92,3.59,8.92,14,7.81,98
Ca1,10.53,9.97,9.07,10.82,6.37,105,5,4.4,4.72,3.25,8.7,11.65,7.72,95
Ca2,10.23,10.1,9.19,NA,5.95,105,4.85,4.84,5.74,3.43,7.94,11.13,9.75,90
Ca3,10.56,10.2,9.56,8.04,6.05,90,4.54,4.5,5.7,2.93,7.5,10.77,10.52,85
Ca4,10.11,10.06,9.99,9.3,5.87,80,4.54,4.62,5.67,2.88,6.66,8.55,11.93,90
Ca5,9.87,9.95,10.19,8.11,5.99,80,4.31,4.94,5.27,2.66,5.83,7.46,9.25,90
Ca6,9.27,9.74,10.02,8.09,6.47,80,3.3,4.76,4.06,2.11,5.38,5.79,8.16,70
Ca7,8.72,9.31,10.1,6.86,6.54,95,2.57,4.96,3.38,1.71,4.83,3.73,6.43,60
Ca8,8.15,9.04,10.29,NA,5.77,95,2.54,5.48,2.95,1.89,4.08,2.36,6.68,50
Ca9,7.9,8.84,10.39,3.44,5.93,95,1.71,5.29,2.07,1.52,2.89,1.69,5.53,35
Ca10,6.97,7.91,10.85,2.31,5.72,100,1.23,5.05,2.1,1.6,2.13,1.39,3.24,35
Ca11,6.96,7.45,9.3,2.13,6.36,100,1.12,4.62,0.7,0.89,1.35,0,0,NA
Ca12,6.51,7.12,8.99,1.87,6.71,100,0.96,4.25,0.6,0.9,1,0,0,NA
Ca13,5.63,6.82,8.59,1.4,4.99,95,0.47,4.04,0.5,0.7,1.11,0,0,NA
Ca14,4.97,7.19,8.02,0,0,NA,0.75,3.5,0.6,0.68,0.99,0,0,NA
Ca15,3.57,7.47,7.8,0,0,NA,0,0,0,0,NA,0,0,NA
