Monodon_monoceros_(NRM_558407),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.48,6.99,6,4.22,2.17,88,5.85,2.3,0,0,NA,5.47,2.37,94
T2,4.42,6.75,6.01,4.89,2.49,90,6.4,3.68,0,0,NA,5.12,3.1,95
T3,5.83,6.65,6.1,6.33,3.7,95,6.4,3.61,1.82,1.74,4.9,4.05,3.86,95
T4,5.21,6.65,6.17,5.6,3.02,96,6.4,3.74,1.53,1.72,4.6,4.17,3.48,102
T5,6.54,6.8,6.43,5.68,3.39,103,6.5,3.95,2.22,1.99,4.9,3.43,3.95,102
T6,7.01,7.13,6.84,5.21,3.7,96,6.2,4.27,2.86,1.97,4.6,4.3,3.7,104
T7,7.76,7.32,6.94,5.65,4.2,95,6.5,3.89,3,1.65,4.8,3.99,4.1,105
T8,8.16,7.76,7.2,5.38,4.77,96,6.2,3.89,4.17,1.94,6.6,6.19,4.73,105
T9,8.84,7.96,7.34,6.48,4.8,98,6.1,3.4,6.36,2.6,7.4,6.63,5.64,103
T10,9.71,8.08,7.77,9.99,5.77,115,5.3,4.15,7.07,2.99,7,8.73,6.39,105
T11,9.75,8.87,7.96,NA,5.8,NA,5.5,4.71,6.11,3.15,6.9,10.72,7.47,100
L1,10.04,8.43,8.25,10.53,6.76,109,5.7,4.73,5.95,3.42,7.8,16.8,7.13,92
L2,10.24,8.73,8.58,NA,NA,NA,5.6,4.96,5.44,3.28,8.7,18.15,7.65,83
L3,10.37,8.84,8.9,10.68,7.2,117,5.8,5.02,5.68,3.09,9.6,18.2,8.03,80
L4,10.42,9.02,9.38,11.12,6.91,115,5.6,4.93,5.22,3.05,8.9,18.1,8.58,80
L5,8.01,9.65,9.46,11.41,6.35,118,4.8,4.93,5.68,3.09,8.9,17.7,7.43,87
L6,8.06,9.95,10.28,11.5,6.37,124,5,3.96,5.4,2.76,10.5,17.1,6.95,94
L7,10.21,10.02,9.87,11.49,6.98,126,5,4.72,5.17,3.67,9.5,16.2,7.2,90
L8,10.38,10.59,9.59,11.23,5.95,120,4.6,4.83,5.41,3.39,9.6,14.3,7.29,92
L9,10.64,10.81,9.91,11.2,5.6,114,4.4,4.98,5.3,3.14,10.1,11.98,8.32,95
Ca1,10.67,11.25,9.59,10.39,5.62,113,4.3,4.91,5.18,3.21,9.5,11.18,7.83,88
Ca2,10.77,10.92,10.58,9.93,5.5,88,3.5,4.83,5.87,2.77,8.5,11.17,9.27,82
Ca3,10.17,11.92,11.11,10.68,4.81,80,3.6,4.61,5.34,3.18,7.3,8.62,10.59,78
Ca4,10.1,11.13,11.13,9.83,5.32,77,3.4,5,5.06,2.57,7.5,7.63,8.99,75
Ca5,9.48,10.73,10.93,8.21,5.1,74,3.35,5.13,5.2,2.41,7,6.32,6.67,78
Ca6,9.28,10.1,11.2,7.36,5.71,78,2,5.3,3.04,2.44,5.2,4.84,5.41,60
Ca7,8.83,10.39,11.33,6.03,5.91,92,1.6,6.13,2.67,2.16,4.1,3.71,5.06,55
Ca8,8.51,9.91,11.29,3.67,6.35,100,1.3,6.04,2.42,1.99,2.9,2.14,3.61,50
Ca9,8.17,8.96,10.7,2.79,5.68,108,1,5.32,1.94,1.69,1.9,1.14,1.33,70
Ca10,7.63,8.28,10.34,2.3,5.12,105,1,5.51,0.76,0.76,0.9,0,0,NA
Ca11,6.85,7.64,9.97,1.71,5.51,100,1,3.91,0,0,NA,0,0,NA
Ca12,6.27,7.1,9.56,1.07,5.36,105,0.85,4.22,0,0,NA,0,0,NA
Ca13,5.38,6.81,8.81,0,0,NA,0.8,3.71,0,0,NA,0,0,NA
Ca14,4.09,7.02,8.04,0,0,NA,0,0,0,0,NA,0,0,NA
