Megaptera_novaeangliae_(NRM_558433),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,6.99,27.2,22.3,7.43,5.1,97,10.5,5.94,0,0,NA,20.7,4.62,60
T2,8.98,28.1,22.4,9.91,5.54,97,12.3,7.2,0,0,NA,22.2,7.61,61
T3,11.06,27.7,22.2,11.7,5.42,102,13.2,8.62,1.53,2.19,2.8,24.6,8.02,65
T4,12.27,28.3,22,15.13,7.85,97,14,8.54,2.36,5.35,5.9,22.8,8.31,64
T5,13.04,27.8,21.9,18.6,11.7,90,14.8,9.35,4.96,3.54,8.2,21.4,9.4,73
T6,14.39,27.3,21.7,21.9,13.74,87,14.5,9.76,5.68,4.47,10.2,20.8,10.92,80
T7,15.6,26.4,23.3,24.4,15.7,84,14.3,10.48,7.85,6.16,13.3,21,12.33,82
T8,16.4,27.1,22.3,25.6,18.3,87,15.5,10.57,10.11,7.82,15.1,22.7,13.5,92
T9,16.9,27.3,23.1,26.1,17.3,90,14.9,10.51,9.74,8.53,15.1,23.8,12.69,97
T10,17.9,28.8,23.4,26.6,17.8,95,14.2,10.43,11.45,9.24,15.8,25.6,11.99,100
T11,18.35,29.7,23.4,28.7,17.85,103,14,11.67,12.69,8.96,15.8,26.5,12.2,104
T12,18.3,29.9,23.1,28.7,16.2,114,16,11.18,12.75,8.78,15.9,27.7,14.08,98
T13,18.2,29.2,21.6,30.6,16.8,117,14.3,11.19,12.46,9.01,16.8,30,13.91,97
T14,19.3,29.5,24.8,31.7,14.3,114,14.2,11.94,13.88,8.19,15.6,32.3,13.95,91
L1,19.4,29.3,25.8,33.3,15,111,12.8,11.12,13.51,8.07,17.2,32.8,12.42,94
L2,19.9,29.4,26.6,35.2,14.9,110,13.3,11.4,12.88,8.11,16.9,32.3,12.11,87
L3,20.4,30.3,27.3,33.8,14.75,106,14.6,12.3,13.2,8.81,16.3,31.3,13.14,84
L4,20.3,31.1,28.8,36.2,15.8,112,15,12.55,12.32,8.6,16.5,30.4,13.28,80
L5,20.8,31.3,29.4,36.9,16.9,113,14.8,11.82,12.07,8.55,18.1,29.4,13.95,76
L6,20.9,31.6,26.9,37.1,17.2,108,14.6,11.91,11.51,7.58,17.4,27.4,14.52,69
L7,22,31.4,28.1,35.5,16.8,106,12.8,12.01,11.21,8.45,18.8,27.1,16.1,70
L8,22.8,33.2,29.4,34.6,19.4,113,12,12.02,12,8.79,19.6,25.9,17.7,71
L9,23.7,34.6,30.4,33.8,19.4,109,10.6,12.27,11.14,7.26,18.3,23.6,17.4,79
L10,24.2,33.9,33.4,32.3,18.7,110,12.6,12.83,11.07,7.96,18.4,20.5,19.8,90
L11,24.6,34.5,34.3,29.4,17.1,110,11.1,12.83,10.95,7.27,17.5,20.2,12.4,97
Ca1,24.1,35.3,35,26.7,17.1,107,10.9,12.93,10.61,8.75,17.6,18,10.8,96
Ca2,24.2,36.1,36.5,22.1,15.9,106,10.8,12.75,9.84,9.73,17.7,14.5,11.4,97
Ca3,23.1,36.3,36.8,16.2,14.06,115,8.8,12.24,6.92,10.44,14.9,11.1,11.17,95
Ca4,23,36,36.4,10.6,11.48,117,8.6,11.49,7.52,9.84,13.2,7.4,10.28,84
Ca5,22.1,34.5,35,7.2,10.06,120,5.7,10.87,5.88,9.09,10.6,5.9,9.89,65
Ca6,21.4,33,34.5,3.6,9.35,115,4.6,10.51,4.52,8.23,7.5,1.9,7.01,68
Ca7,20,29.1,29.6,2.28,7.51,106,2.7,9.32,3.41,7.4,3.9,0,0,NA
Ca8,19.8,26.2,26.9,2,6.46,103,2.4,8.53,3.06,6.4,3.2,0,0,NA
Ca9,18.5,25.4,26.2,1.52,4.41,102,2.4,7.31,3.17,5.42,2.9,0,0,NA
Ca10,16.4,24.2,24.4,0,0,NA,2.2,4.72,2.39,4.85,2.7,0,0,NA
Ca11,13.9,22.4,21.8,0,0,NA,0,0,1.41,3.39,1.4,0,0,NA
Ca12,12.1,19.5,19.9,0,0,NA,0,0,0,0,NA,0,0,NA
