Megaptera_novaeangliae_(SAM_ZM02288),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,5.3,25,19,8.24,3.84,115,11.53,8.2,3.71,3.27,4.5,17,5.85,70
T2,7.4,25.6,19,8.41,5.02,110,11.04,9.1,2.92,2.59,4,17.6,6.48,78
T3,8.2,26.5,19.2,9.29,6.2,105,11.33,10.5,2.59,4.13,5,18.2,4.87,65
T4,10.5,27,18.7,13.63,9.32,95,12.12,9.6,1.75,3.26,5.7,17.2,6.05,63
T5,10.9,26,19.5,15.01,9.14,90,10.36,8.2,2.93,5,7.7,17,7.83,68
T6,12,24,19.7,19,11.08,90,11.92,9,2.78,4.88,8.5,18.4,8.31,78
T7,13,24,20,19.8,12.52,90,10.16,9.9,6.88,5.93,11.2,19,10.11,90
T8,14,24,20,20.6,13.8,95,10.38,11.8,8.09,6.05,13.2,20,11.83,90
T9,15,23.5,19.8,22.9,14.06,95,10.28,11.8,10.5,7.29,14.1,21.5,11.25,100
T10,15.5,24.5,19.9,23.9,10.19,100,10.44,10.5,11.42,9.03,16.5,25,11.4,104
T11,15.9,25.2,19.6,24,13.4,115,10.04,11.7,NA,NA,NA,25,11.8,110
T12,15.7,25.7,19.6,27.5,12.82,115,10.51,9.6,10.46,8.14,14.7,28.2,12.18,110
T13,15.4,26,20,27,12.87,115,11.87,9.8,11.63,8.78,14.8,30,13.38,110
T14,16.5,25.7,20.7,29.2,14.46,117,10.3,10.1,12.84,11.31,17.3,32,13.72,105
L1,15.4,26,21.6,30.2,12.77,115,11.64,10.5,NA,NA,NA,32,12.07,96
L2,17.4,25.5,23.4,NA,NA,NA,11.48,11.4,12.65,11.07,18.2,30.4,11.31,90
L3,17,26,22.3,29.8,1.69,111,11.22,10.9,13.72,11.31,18,NA,11.31,90
L4,17.5,25.3,23.5,31.8,12,110,11.81,10.5,NA,NA,NA,29.9,11.65,90
L5,18,25.2,24,33.5,12.13,105,11.51,11.4,13.7,10.83,18.4,30.8,12.05,90
L6,17.5,25.5,24.3,33.7,12.77,107,11.56,11.9,NA,NA,NA,29.3,12.61,88
L7,18.5,26.6,23.5,33.3,13.27,110,12.4,11.6,11.95,11.71,19.2,28.9,12.74,88
L8,19.7,27.3,25.7,31.5,14,110,12.89,11.5,10.06,11.76,NA,25.9,15.2,90
L9,20.8,28.4,26,29.8,12.63,111,13.12,11.4,11.08,9.47,20.8,24.5,15.11,90
L10,21,29.3,27.3,29,15.3,115,13.31,11.3,10.46,8.64,21.7,23.2,15.6,92
L11,21.2,29.6,28,26.5,NA,112,12.25,11.6,10.74,8.98,21,22.5,15.34,102
Ca1,20.9,30.3,28.5,22.2,15.2,106,12.41,11.8,9.03,6.11,18.8,20.5,13.15,96
Ca2,19.6,30.3,28.4,18,14.3,111,12.63,11.3,9.47,8.05,18.2,16.7,11.35,100
Ca3,19.3,29.8,29,15.4,12.42,120,8.84,10.6,8.87,7.56,16,12.4,10.3,95
Ca4,18.9,29,29,12.5,10.73,130,5.78,10.6,8.5,7.06,13.1,8.9,15.65,80
Ca5,18,28,29,10.04,9.8,125,3.78,8.41,7.5,5.17,11.8,5.7,9.77,65
Ca6,17.5,26.7,28,7.83,8.48,125,2.64,9.47,5.17,3.93,7.8,2.9,5.68,60
Ca7,16.5,24.3,26,5.68,6.49,110,2.33,8.96,5.34,2.47,5.8,0,0,NA
Ca8,16,22.9,25,2.78,7.56,95,2.38,8.92,5.4,2.3,4.9,0,0,NA
Ca9,14,21,22.5,1.01,5.84,95,2.25,7.93,4.57,2.25,3.3,0,0,NA
Ca10,12.5,20,20,0,0,NA,2.1,4.55,4.59,2.07,2.6,0,0,NA
Ca11,9,17,17,0,0,NA,0,0,0,0,NA,0,0,NA
