Mesoplodon_stejnegeri_(USNM_550113),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.27,7.3,5.27,14.85,2.88,102,5.49,3.41,0,0,NA,3.67,2.33,70
T2,4.32,7.39,4.95,17.4,3.9,105,6.01,4.43,0,0,NA,3.31,2.73,71
T3,5.05,7.22,4.88,19.7,4.79,108,6.35,5.36,1.23,1.41,6,2.97,2.45,72
T4,6,7.36,5.12,19.8,5.2,107,6.02,4.79,1.01,1.16,6.15,3.21,2.74,71
T5,7.01,7.7,5.23,20.1,5.43,106,5.7,5.51,1.47,1.23,6.7,3.41,3.13,73
T6,7.79,8.28,5.34,21.15,6.28,108,5.28,5.13,1.73,1.87,6.45,3.64,3.58,82
T7,8.45,7.74,5.65,21.65,6.85,107,5.34,5.9,2.68,3.07,6.35,3.82,4.19,91
T8,9.22,7.78,5.94,22.15,7.35,107,5.17,6.81,5.42,4.32,7.05,4.77,3.69,97
T9,10.06,8.25,6.39,23.4,7.85,103,4.99,7.15,5.84,4.78,7.3,7.88,7.04,102
L1,11.05,8.25,6.97,24.3,8.08,102,4.68,7.57,6.15,4.86,7.1,11.49,7.29,96
L2,11.68,8.53,7.48,25.1,7.86,103,4.92,8.1,6.22,4.23,7.4,10.93,7.68,90
L3,12.26,8.76,7.82,26.05,7.88,102,5.09,8.63,5.83,5.06,7.95,10.39,7.29,86
L4,12.5,8.69,8.48,26.8,7.88,98,5.06,9.18,5.03,4.47,7.5,10.53,8.02,79
L5,13.07,8.94,8.85,27.2,8.28,99,5.04,9.22,4.38,5.09,7.95,10.63,8.31,81
L6,13.66,9.16,9.43,28.2,7.98,102,5.02,9.96,5.06,5.15,8.05,10.16,8.62,80
L7,14.31,9.59,9.54,28.75,7.91,103,5.08,10.65,4.49,4.7,7.55,9.91,8.68,79
L8,15.12,9.82,9.61,29.05,8.3,106,4.74,11.06,4.51,5.08,7.65,9.77,8.61,76
L9,15.25,10.26,9.75,29.55,8.86,105,4.32,10.95,4.32,5.64,7.7,9.49,9.49,71
L10,15.85,10.49,9.83,29.3,9.55,105,4.03,11.38,3.93,4.88,7.75,9.72,9.41,74
L11,16.1,10.58,10.17,27.85,10.37,106,3.87,11.4,3.94,6.06,7.5,9.11,10.07,77
Ca1,15.5,11,10.64,26.3,10.56,106,3.57,12.03,3.13,5.7,7,9.04,10.27,77
Ca2,14.98,10.68,10.75,25,10.61,107,2.99,11.59,2.81,5.28,6.45,8.06,10.21,84
Ca3,14.29,11.02,11.3,22.6,9.71,106,2.32,10.76,2.62,4.94,5.95,6.54,10.56,86
Ca4,13.73,11.25,11.39,19.1,9.12,109,2.07,9.68,2.29,3.52,5.55,5.9,9.58,83
Ca5,13.01,11.22,11.2,15.4,8.46,115,1.89,8.98,2.72,2.95,5.05,4.34,7.37,80
Ca6,12.4,10.63,11.21,12.25,8.3,118,1.67,8.17,2.8,2.69,3.6,2.59,6.36,80
Ca7,11.77,9.63,11.12,9.1,7.59,116,1.43,7.92,1.92,1.87,3.2,0.96,2.78,80
Ca8,11.04,8.68,11.5,6.4,7.39,110,1.2,6.84,1.7,1.78,1.9,0,0,NA
Ca9,9.96,8.19,11.15,3.1,6.28,106,0.75,6.12,1.39,1.31,0.7,0,0,NA
Ca10,8.1,7.61,9.86,1.4,4.84,98,0.53,4.22,0,0,NA,0,0,NA
Ca11,5.74,7.49,8.41,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,4.69,6.74,6.59,0,0,NA,0,0,0,0,NA,0,0,NA
