Neophocaena_phocaenoides_(SMNS_45681),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.21,2.56,1.87,1.08,0.52,117,1.9,1.05,0,0,NA,1.73,1.12,90
T2,1.56,2.13,1.88,1.74,0.87,115,2,1.39,0,0,NA,1.95,1.38,86
T3,1.81,2.12,1.78,1.95,1.14,110,2.1,1.57,0.6,0.55,2.31,1.95,1.36,78
T4,2.07,2.28,1.84,2.14,1.38,108,1.85,1.89,0.67,0.52,2.49,2.18,1.46,77
T5,2.18,2.46,1.94,2,1.36,108,1.58,1.65,0.97,0.52,2.37,1.87,1.7,82
T6,2.3,2.47,1.95,2.11,1.63,105,1.69,1.39,1.38,0.51,2.38,1.95,1.67,90
T7,2.42,2.56,2.03,2.63,1.71,100,1.75,1.3,1.33,0.63,2.33,1.9,1.61,92
T8,2.48,2.52,2.2,2.77,1.95,95,1.5,1.36,1.6,0.57,2.18,1.98,1.25,92
T9,2.44,2.7,2.28,2.94,2,95,1.47,1.57,1.74,0.59,2.26,1.92,1.67,100
T10,2.55,2.66,2.3,3.07,1.88,105,1.5,1.67,2.3,0.66,2.07,2,1.28,100
T11,2.57,2.62,2.38,3.16,1.9,110,1.48,1.52,2.21,0.77,1.99,2.38,1.32,97
T12,2.54,2.74,2.37,3.27,1.97,113,1.54,1.41,2.38,0.74,2.19,3.39,1.39,96
T13,2.48,2.71,2.44,3.38,1.91,122,1.81,1.25,2.26,0.89,2.4,5.01,1.84,95
L1,2.5,2.76,2.38,3.34,1.81,130,1.81,1.3,2.06,0.97,2.61,5.99,1.89,90
L2,2.6,2.89,2.35,3.47,1.79,130,1.74,1.42,1.9,0.89,2.72,6.48,2,85
L3,2.68,2.78,2.49,3.28,1.71,129,1.73,1.39,1.68,0.88,2.5,6.7,2.02,84
L4,2.54,2.75,2.61,3.24,1.68,127,1.53,1.36,1.73,0.74,2.34,6.85,2.11,84
L5,2.47,2.83,2.58,3.2,1.76,128,1.68,1.38,1.65,0.77,2.23,6.63,2.13,82
L6,2.56,2.92,2.66,3.11,1.63,126,1.51,1.45,1.74,0.93,2.35,6.54,2.09,81
L7,2.56,2.95,2.71,2.79,1.59,124,1.65,1.41,1.84,0.79,2.15,6.29,2.1,84
L8,2.57,2.97,2.9,2.56,1.63,125,1.62,1.34,2.03,0.74,2.36,5.86,2.03,84
L9,2.53,2.99,3.01,2.63,1.79,122,1.57,1.52,1.97,0.79,2.56,5.6,2.11,82
L10,2.56,2.98,2.98,2.66,1.72,110,1.51,1.36,1.75,0.75,2.36,5.09,1.74,81
L11,2.49,3.04,2.9,2.74,1.92,110,1.41,1.42,1.57,0.76,2.27,4.86,1.66,81
Ca1,2.44,3.01,2.89,3,1.72,106,1.39,1.46,1.58,0.8,2.33,4.34,1.77,78
Ca2,2.35,3.03,3.04,2.87,1.83,96,1.38,1.53,1.52,0.8,2.39,4.31,1.61,75
Ca3,2.33,3.11,2.88,2.85,1.79,93,1.39,1.55,1.43,0.84,2.25,4.06,1.69,76
Ca4,2.3,3.06,2.94,2.89,1.59,95,1.21,1.38,1.56,0.71,2.18,3.75,1.72,78
Ca5,2.27,3.01,2.8,3.14,1.68,90,1.23,1.37,1.34,0.82,2.24,3.53,1.97,80
Ca6,2.31,3.03,3.04,2.95,1.66,90,1.11,1.39,1.06,0.54,2.12,3.06,1.91,78
Ca7,2.31,2.96,2.96,3.13,1.6,90,0.86,1.39,0.68,0.67,2,2.82,1.75,76
Ca8,2.31,2.86,2.93,3.1,1.59,87,0.69,1.24,0.8,0.61,1.78,2.57,1.58,72
Ca9,2.28,2.82,2.99,2.57,1.58,87,0.58,1.26,0.74,0.57,1.58,2.19,1.42,55
Ca10,2.37,2.81,2.87,2.26,1.62,85,0.45,1.43,0.81,0.5,1.35,1.81,1.07,50
Ca11,2.13,2.78,3.04,1.75,1.77,82,0.37,1.41,0.8,0.38,1.11,1.12,1.03,48
Ca12,2.06,2.85,3.03,1.54,1.42,83,0.36,1.42,0.7,0.39,0.84,0.55,0.71,60
Ca13,2.08,2.67,2.89,1.49,1.58,95,0.41,1.38,0.83,0.36,0.51,0,0,NA
Ca14,2.04,2.56,2.92,1.26,1.67,98,0.28,1.44,0.79,0.5,0.44,0,0,NA
Ca15,2.04,2.6,2.9,0.89,1.55,100,0.3,1.38,0.74,0.32,0.33,0,0,NA
Ca16,1.91,2.68,2.65,0.77,1.23,100,0.29,1.18,0.57,0.24,0.28,0,0,NA
Ca17,1.88,2.47,2.59,0.41,0.65,90,0.22,1.03,0.54,0.24,0.28,0,0,NA
Ca18,1.56,2.49,2.28,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.2,2.45,2.37,0,0,NA,0,0,0,0,NA,0,0,NA
