Neophocaena_phocaenoides_(USNM_240002),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.1,2.47,2.06,1.16,0.66,102,1.76,1.27,0,0,NA,1.38,0.79,81
T2,1.4,2.35,1.97,1.29,0.64,116,1.69,1.49,0,0,NA,1.24,1.11,78
T3,1.88,2.4,2.02,1.38,1.05,112,1.74,1.71,0.4,0.48,0.8,1.32,1.52,78
T4,1.71,2.36,1.98,1.53,1.13,105,1.69,1.36,0.51,0.59,1.8,1.19,1.34,77
T5,2.06,2.48,2.11,1.28,1.5,103,1.76,1.62,0.63,0.56,1.75,1.16,1.46,77
T6,2.14,2.48,2.23,1.17,1.39,105,1.67,1.73,0.78,0.57,1.9,1.15,1.46,81
T7,2.24,2.48,2.36,0.98,1.24,107,1.65,1.4,0.77,0.59,1.85,1.27,1.69,92
T8,2.36,2.57,2.45,1.02,1.21,110,1.67,1.26,0.8,0.54,1.85,1.19,1.55,99
T9,2.36,2.56,2.47,0.95,1.53,111,1.42,1.25,0.95,0.58,1.5,1.59,1.54,103
T10,2.47,2.6,2.5,1.08,1.31,110,1.4,1.5,1.06,0.58,1.5,1.84,1.27,98
T11,2.56,2.65,2.46,1.39,1.43,115,1.44,1.65,1.43,0.58,1.55,2.54,1.49,103
T12,2.56,2.7,2.52,1.57,1.45,121,1.45,1.51,1.33,0.56,1.6,3.49,1.75,103
T13,2.56,2.68,2.51,1.64,1.4,120,1.49,1.49,1.37,0.53,1.6,4.62,1.97,97
L1,2.24,3.01,2.76,1.87,1.35,117,1.24,1.37,1.16,0.64,1.55,4.6,1.98,82
L2,2.21,3.05,2.88,1.95,1.23,120,1.13,1.28,1.05,0.66,1.55,4.47,1.78,84
L3,2.24,2.86,2.76,1.92,1.62,117,1.22,1.4,0.97,0.67,1.55,4.93,2.13,80
L4,2.26,2.81,2.8,1.84,1.52,118,1.2,1.4,1.1,0.61,1.5,5.22,2.07,83
L5,2.29,2.79,2.73,1.9,1.51,120,1.29,1.4,0.96,0.55,1.45,5.12,1.92,83
L6,2.42,2.71,2.65,1.68,1.57,124,1.47,1.33,1.15,0.56,1.5,5.08,2.03,86
L7,2.3,2.75,2.67,1.82,1.56,124,1.38,1.43,1.02,0.69,1.55,5.07,2.01,83
L8,2.31,3.02,2.74,1.96,1.53,121,1.29,1.51,1.13,0.65,1.4,4.65,2.09,80
L9,2.25,3.08,2.88,2.07,1.47,117,1.13,1.4,1.11,0.62,1.6,4.29,1.79,83
L10,2.21,3.02,2.86,1.98,1.39,115,1.14,1.25,1.15,0.62,1.8,4.09,1.72,82
L11,2.21,3.11,2.93,1.67,1.2,113,1.11,1.42,1.21,0.62,2,3.72,1.69,82
Ca1,2.14,3.07,2.8,2.14,1.46,104,1.07,1.29,1.05,0.6,1.9,3.44,1.48,79
Ca2,2.09,3.05,2.81,2.19,1.36,104,0.98,1.15,0.95,0.6,1.8,3.08,1.45,77
Ca3,2.05,3.02,2.72,NA,NA,NA,0.94,1.17,0.96,0.54,1.95,3.07,1.57,74
Ca4,2.01,3,2.67,1.89,1.05,105,0.8,1.06,NA,NA,NA,2.83,1.5,68
Ca5,1.98,3.01,2.67,1.85,1.3,104,0.9,1.02,0.97,0.6,1.7,2.63,1.52,65
Ca6,1.98,2.99,2.72,2.26,1.21,102,0.9,1.09,0.82,0.61,1.6,2.68,1.69,62
Ca7,2.02,2.91,2.82,2.33,1.29,93,0.69,1.19,0.78,0.53,1.4,2.49,1.57,61
Ca8,1.96,2.88,2.85,2.37,1.09,88,0.62,1.06,0.74,0.51,1.25,2.39,1.28,58
Ca9,1.96,2.9,2.86,2.14,1.12,87,0.44,1.01,0.7,0.51,1.2,1.91,1.14,56
Ca10,1.95,2.8,2.88,1.55,1.16,89,0.39,1.09,0.67,0.53,1.1,1.57,0.94,51
Ca11,1.89,2.82,2.9,1.65,1.04,89,0.47,1.04,NA,NA,NA,1.35,0.83,49
Ca12,1.88,2.78,2.99,0.95,1.04,94,0.37,1.07,0.47,0.39,0.75,0.7,0.68,49
Ca13,1.82,2.76,3.02,0.87,0.92,100,0.27,1.17,0.42,0.36,0.6,0.44,0.69,52
Ca14,1.81,2.76,2.92,0.71,0.9,104,0.24,1.2,0.34,0.33,0.5,0.3,0.48,54
Ca15,1.81,2.73,2.91,0.47,0.9,107,0.19,1.05,0.31,0.27,0.45,0,0,NA
Ca16,1.8,2.66,2.81,0.51,0.91,105,0.2,1.1,0.33,0.31,0.4,0,0,NA
Ca17,1.77,2.59,2.92,0.23,0.89,100,0.16,1.11,0.26,0.29,0.35,0,0,NA
Ca18,1.7,2.49,2.83,0,0,NA,0.16,0.77,0.26,0.25,0.2,0,0,NA
Ca19,1.54,2.52,2.62,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.31,2.44,2.53,0,0,NA,0,0,0,0,NA,0,0,NA
