Orcaella_brevirostris_(RBINS_1512),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.74,4.04,3.08,1.75,1.08,125,2.4,1.25,0.64,0.68,1.65,2.24,1.6,90
T2,1.99,3.36,2.53,2.17,0.98,130,2.5,1.55,0.98,1,2.2,2.42,1.39,95
T3,2.28,3.37,2.45,2.84,1.12,135,2.5,2.12,1.22,0.87,2.4,2.34,1.44,90
T4,2.62,3.66,2.72,2.98,1.09,135,2.5,2.49,1.24,0.78,2.65,2.56,1.64,95
T5,2.96,3.62,2.83,3.18,1.21,135,2.5,1.77,1.43,1.04,2.75,2.83,1.8,105
T6,2.94,3.57,3.05,3.32,1.63,130,2.7,1.94,1.72,0.76,3.05,2.86,1.92,105
T7,3.18,3.76,3.07,3.5,1.56,125,2.6,1.89,1.96,0.92,3.05,2.84,1.95,105
T8,3.22,3.09,2.95,3.57,1.91,110,2.6,1.91,2.06,1.05,3.1,3.01,2,95
T9,3.29,3.05,2.95,3.77,2.02,110,2.6,2.15,2.22,1.2,3.15,3.34,2.16,95
T10,3.57,3.25,2.85,4.15,2.16,110,2.7,1.71,2.19,1.31,3.15,3.7,1.97,97
T11,3.29,3.34,2.92,4.62,2.07,108,2.8,1.79,2.25,1.41,3.35,3.73,1.81,100
T12,3.27,3.26,2.99,4.95,1.78,112,2.5,1.88,2.32,1.36,3.5,4.2,1.89,96
T13,3.26,3.21,3.01,5.02,1.76,120,2.6,1.68,2.42,1.24,3.75,6.93,1.8,102
L1,3.17,3.24,3.03,5.09,1.8,123,2.31,1.64,2.42,1.31,4.1,7.01,1.66,100
L2,2.97,3.34,3.07,4.81,1.69,118,2.31,1.51,2.2,1.17,3.8,7.91,1.64,90
L3,3.14,3.24,2.99,4.28,1.86,120,2.4,1.56,2.4,1.31,4.05,7.69,1.66,97
L4,2.9,3.43,3.14,4.67,1.68,117,2.43,1.43,1.73,1.12,3.9,8.22,1.58,90
L5,2.97,3.33,3.11,4.67,1.62,115,2.43,1.5,1.88,1.24,3.85,8.14,1.62,95
L6,2.78,3.49,3.36,4.88,1.65,110,2.25,1.33,1.98,1.02,3.7,7.86,1.42,92
L7,2.81,3.53,3.13,5.06,1.68,110,2.21,1.48,1.91,1.19,3.8,7.88,1.53,93
L8,2.54,3.67,3.34,4.41,1.65,110,2.44,1.27,1.25,1.13,3.6,7.62,1.36,85
L9,2.6,3.58,3.4,4.51,1.84,105,2.24,1.36,1.41,0.93,3.25,7.37,1.75,85
L10,2.56,3.66,3.5,4.77,1.7,95,2.03,1.28,0.5,0.92,2.6,6.88,1.5,85
L11,2.47,3.72,3.74,NA,NA,NA,NA,NA,NA,NA,NA,6.81,1.49,80
L12,2.4,3.69,3.68,4.25,1.6,95,1.97,1.32,0.3,0.85,2.35,6.29,1.42,78
L13,2.37,3.61,4.14,4.31,1.48,90,2.06,1.3,0.48,0.78,2.25,6.04,1.51,75
L14,2.53,3.61,4.43,4.06,1.58,90,2.11,1.3,0.6,0.79,2.3,5.93,1.77,75
Ca1,2.38,3.7,3.78,3.65,1.5,90,2.13,1.29,0.42,0.87,2.7,5.94,1.55,75
Ca2,2.55,3.74,3.64,3.69,1.47,85,2.01,1.3,1,0.68,2.95,5.75,1.57,70
Ca3,2.38,3.74,3.58,3.49,1.62,80,2.14,1.29,0.93,0.6,3.2,5.71,1.83,70
Ca4,2.48,3.81,3.66,3.2,1.71,85,2.08,1.35,1.04,0.68,3.15,5.27,1.86,70
Ca5,2.44,3.76,3.71,3.35,1.52,85,1.7,1.27,0.83,0.57,2.9,5.3,1.7,65
Ca6,2.61,3.61,3.7,3.14,1.68,90,1.71,1.14,0.82,0.65,2.9,5.24,1.87,55
Ca7,2.58,3.53,3.58,3.11,1.63,90,1.45,1.23,0.74,0.57,2.65,5.07,1.4,50
Ca8,2.6,3.5,3.64,2.69,1.5,108,1.5,1.41,0.94,0.58,2.45,4.76,1.34,45
Ca9,2.66,3.61,3.89,2.47,1.47,108,1.18,1.32,0.8,0.61,2.2,3.97,1.2,40
Ca10,2.71,3.81,4.1,2.23,1.44,110,1.1,1.37,0.67,0.64,2,3.71,1.28,40
Ca11,2.74,3.7,4.43,2.31,1.34,110,0.9,1.45,0.88,0.63,1.75,3.46,0.93,45
Ca12,2.73,3.63,4.17,1.99,1.16,115,0.72,1.61,0.88,0.62,1.55,3.08,0.87,40
Ca13,2.54,3.64,4.22,1.64,1.39,105,0.72,1.77,0.79,0.55,1.35,1.68,0.8,45
Ca14,2.62,3.59,3.9,1.34,1.4,110,0.56,2.01,0.88,0.58,1.2,0.61,1.06,60
Ca15,2.61,3.37,4.04,1.19,1.44,115,0.41,1.85,1.01,0.46,0.95,0.43,0.79,60
Ca16,2.68,3.38,3.9,0.91,1.54,110,0.42,1.69,0.77,0.33,0.65,0,0,NA
Ca17,2.55,3.18,3.67,0.45,1.08,105,0.39,1.75,0.78,0.43,0.6,0,0,NA
Ca18,2.31,3.14,3.49,0,0,NA,0.33,1.4,0,0,NA,0,0,NA
