Orcinus_orca_(MNHN_A3231),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.5,11.14,9.1,4.22,1.25,110,7.8,1.73,0,0,NA,5.23,2.03,85
T2,3.47,10.89,9.1,5.34,1.66,112,8,2.59,0,0,NA,6.26,2.23,90
T3,4.13,10.16,9,5.71,2.39,114,8,3.29,0,0,NA,6.25,2.62,90
T4,5.33,9.32,9.3,5.3,2.9,125,8.5,5.18,2.11,1.81,4.62,7.22,3.34,85
T5,6.38,9.26,9.19,5.64,3.73,120,9,5.73,2.78,2.03,5.22,6.83,4.02,85
T6,7.14,9.2,9.11,5.72,4.41,117,9.2,4.17,3.23,2.02,5.48,6.88,4.11,95
T7,7.83,9.69,9.4,6.98,4.33,113,9,3.34,4.25,2.06,5.86,6.61,4.3,105
T8,8.31,10.12,9.42,7.47,4.22,117,8.9,3.7,4.45,2.54,7.05,6.2,4.15,105
T9,8.76,10.67,9.59,8.78,4.63,120,8.5,4.09,4.78,2.76,7.76,6.91,4.1,100
T10,9.02,10.96,9.39,10.25,5.17,123,8.6,4.22,3.71,2.66,8.03,10.3,4.76,100
T11,9.21,11.19,9.41,10.78,4.58,122,8.6,4.5,3.77,2.89,8.45,13.14,5.14,105
T12,9.55,11.59,9.83,11.49,5.37,123,8.4,4.53,4.3,2.63,8.65,13.08,4.44,100
L1,9.76,12.13,10.3,10.82,5.59,116,8.57,4.53,3.95,2.55,8.38,12.79,5.07,90
L2,9.85,12.1,10.43,10.79,6.02,115,7.98,4.37,4.08,3.1,8.56,13.84,4.86,85
L3,9.89,11.78,11.2,10.61,5.59,114,7.87,4.6,3.48,3.25,8.43,14,5.29,85
L4,9.89,11.91,11.2,11.34,5.28,106,7.36,5.6,3.11,3.47,8.48,14.7,5.25,85
L5,9.99,11.92,11.3,11.01,5.52,100,7.55,4.24,2.19,3.16,8.57,14.66,5.02,85
L6,10.11,12.43,11.06,10.24,5.62,98,7.67,4.17,1.55,3.23,8.96,14.19,5.06,85
L7,10.19,12.76,11.94,9.36,5.89,100,6.78,4.08,2.18,3.1,10.05,12.77,5.37,88
L8,10.36,12.73,12.08,10.14,5.79,100,5.63,3.94,1.65,2.47,10.3,11.86,5.06,88
L9,10.41,13.13,12.63,8.82,5.76,98,5.28,4.06,1.62,2.68,10.21,10.93,4.91,85
Ca1,10.32,13.47,13.01,9.1,6.07,99,5.34,4.12,2.17,2.81,10.4,10.31,4.89,80
Ca2,10.49,13.86,13.04,8.79,5.62,98,5.05,3.98,2.25,2.59,10.21,9.91,4.9,85
Ca3,10.37,13.56,13.02,8.65,5.48,99,4.97,4.25,2.76,2.89,10.36,8.59,4.85,85
Ca4,10.32,13.51,13.03,7.39,6.08,97,4.97,4.17,2.49,2.27,9.2,8.54,4.38,85
Ca5,10.24,13.38,12.93,6.67,4.41,95,4.27,3.92,2.6,2.11,8.83,7.01,4.56,80
Ca6,10.32,13.28,13.66,6.76,4.59,97,3.28,4.19,2.92,2.22,8.16,5.95,4.83,85
Ca7,10.12,13.17,13.18,5.51,4.26,105,2.79,4.24,2.5,2.5,7.25,4.98,4.41,90
Ca8,10.1,13.5,13.41,5.02,4.8,106,2.29,3.86,1.99,2.28,5.93,3.33,5.09,90
Ca9,9.49,13.16,13.33,4.69,4.49,109,1.96,3.6,1.88,2.1,5.36,2.83,4.45,90
Ca10,9.55,12.59,13.61,3.77,4.78,115,1.66,3.62,1.79,1.79,3.77,1.57,4.51,90
Ca11,9.49,11.96,13.17,2.62,4.41,125,1.06,4.9,2.07,1.65,2.57,1.23,4.09,NA
Ca12,9.59,10.92,13.08,1.54,4.22,120,0.93,4.92,0,0,NA,0,0,NA
Ca13,9.15,10.04,12.85,0,0,NA,1.2,4.7,0,0,NA,0,0,NA
Ca14,8.61,9.78,12.37,0,0,NA,0.58,2.9,0,0,NA,0,0,NA
Ca15,7.78,9.31,11.19,0,0,NA,0,0,0,0,NA,0,0,NA
Ca16,6.38,8.9,10.03,0,0,NA,0,0,0,0,NA,0,0,NA
Ca17,4.97,8.6,8.57,0,0,NA,0,0,0,0,NA,0,0,NA
