Orcinus_orca_(NRM_558250),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.16,10.44,8.6,8.5,1.28,100,7.9,2.45,0,0,NA,5.36,2.66,80
T2,4.16,10.82,9.16,10.03,1.99,110,8,3.22,0,0,NA,5.73,2.84,84
T3,4.27,10.38,9.18,9.98,2.73,107,8.4,3.66,1.5,1.1,6.5,5.22,3.23,88
T4,5.65,10.26,9.18,9.76,3.49,108,8.4,2.98,2.43,1.52,6.6,6.23,3.52,97
T5,6.63,11.1,9.46,10.16,4.05,106,7.8,3.42,3.43,2.08,6.9,6.51,3.86,103
T6,7.41,10.28,9.79,10.46,4,106,8.5,3.03,5.12,1.98,7,6.13,3.98,100
T7,8.12,10.65,10.09,10.56,3.95,111,8.3,3.76,4.67,1.99,8.5,5.69,3.83,90
T8,8.38,11.02,10,10.66,4.58,110,8.5,3.6,4.46,2.21,9,8.03,3.82,101
T9,8.69,10.94,10.29,11.96,4.64,110,8.1,4.03,4.98,2.27,9.2,9.59,4.3,105
T10,9.43,11.25,9.97,13.3,4.99,109,8.5,4.24,4.87,2.04,9.5,12.44,4.75,110
T11,9.25,11.52,10.33,13.6,5.15,107,8.6,4.32,4.97,2.28,10.1,14.11,4.25,114
T12,9.24,11.84,10.38,13.27,5.17,108,7.9,4.19,5.55,2.07,10.25,13.82,3.66,100
L1,9.26,11.99,10.43,13.42,5.31,105,7.6,4.38,4.96,2.16,9.9,13.83,3.74,94
L2,9.8,12.04,11.22,13.42,5.3,106,7.2,4.36,4.21,2.74,9.85,14.11,3.75,92
L3,9.81,12.4,11.18,13.68,5.18,105,7.5,4.19,3.11,2.04,9.1,14.7,4.21,90
L4,10,12.65,10.65,14.32,5.38,107,6.6,4.17,3.13,1.76,9.1,14.9,4.3,93
L5,9.88,12.79,11.08,13.69,5.87,103,6.1,4.12,3.32,1.94,10.1,14.44,4.5,95
L6,9.84,12.78,11.3,13.36,5.06,100,6.3,3.58,NA,NA,NA,13.46,4.44,94
L7,9.99,12.78,11.93,12.8,5.32,106,5.7,3.78,1.99,1.55,10.5,12.63,5.34,93
L8,10.28,13.08,12.54,11.21,4.54,114,5.7,3.82,2.19,1.61,11.8,11.62,5.12,92
L9,9.36,12.97,12.58,9.49,4.61,110,6,4.2,2.07,1.94,11.5,10.79,5.25,88
Ca1,10.25,13.07,13.1,9.71,5.18,109,5.7,4.28,2.43,1.99,11.6,10.05,4.36,85
Ca2,10.25,13.07,13.55,8.95,4.77,82,5.4,4.63,2.16,1.87,11.6,8.65,4.5,80
Ca3,10.14,12.84,13.75,8.46,4.63,80,4.7,4.62,2.31,2.11,11,7.51,4.22,81
Ca4,10.08,12.64,13.94,8.11,4.37,76,4.8,4.6,1.95,1.67,10.5,5.85,3.83,84
Ca5,10.16,12.96,14.31,8.45,4.57,82,3.6,4.38,1.76,1.34,9.4,5.1,4.72,84
Ca6,10.15,13.2,13.68,8.43,4.05,81,2.8,4.44,2.37,3.34,8.4,4.63,3.58,84
Ca7,9.83,12.84,13.82,6.94,4.79,85,1.9,4.27,1.9,1.9,5.8,3.23,3.64,83
Ca8,9.25,12.9,14.34,5.03,3.97,86,1.8,3.79,1.67,1.68,4.9,2.1,3.87,88
Ca9,8.75,11.98,13.46,4.55,4.33,105,1.3,3.89,1.42,2.07,4.3,1.18,3.13,90
Ca10,8.74,11.8,13.72,2.81,5.32,100,1,4.19,1.31,1.62,3.2,0,0,NA
Ca11,8.57,11.14,14.09,1.87,4.82,95,0.8,4.12,0.77,0.84,1.8,0,0,NA
Ca12,8.58,10.2,13.5,0,0,NA,1.1,4.69,0,0,NA,0,0,NA
Ca13,7.41,9.65,12.25,0,0,NA,0.7,2.84,0,0,NA,0,0,NA
Ca14,6.62,9.67,10.69,0,0,NA,0,0,0,0,NA,0,0,NA
Ca15,5.25,9.24,9.27,0,0,NA,0,0,0,0,NA,0,0,NA
