Pontoporia_blainvillei_(USNM_501179),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.46,2.23,1.67,2.16,1.08,104,1.76,1.13,0,0,NA,1.48,0.92,70
T2,1.77,2.21,1.81,2.43,1.26,108,1.54,1.36,0,0,NA,1.39,1.18,77
T3,2.09,2.2,1.8,2.29,1.6,107,1.82,1.37,0,0,NA,1.35,1.48,78
T4,2.33,2.04,1.85,2.58,1.91,105,1.94,1.37,0.29,0.27,1.5,1.18,1.7,79
T5,2.51,2.07,1.89,2.59,1.93,106,1.86,1.41,0.34,0.47,1.55,1.24,1.91,80
T6,2.73,2.14,1.96,2.55,1.92,107,1.69,1.54,0.91,0.66,1.8,1.33,2,86
T7,2.9,2.28,2.04,2.77,2.19,106,1.51,1.71,1.11,0.75,1.85,1.21,1.85,105
T8,3.04,2.4,2.18,NA,2.4,NA,1.47,2.11,1.15,1.13,2,1.68,2.14,102
T9,3.23,2.49,2.25,NA,2.47,111,1.44,2.13,0.95,0.79,1.95,3.35,2.45,104
T10,3.44,2.54,2.29,3.43,2.43,115,1.34,2.24,0.71,0.71,1.9,4.95,2.63,110
L1,3.64,2.65,2.5,3.49,2.78,113,1.51,2.71,1.09,0.85,1.9,5.44,3.34,106
L2,3.8,2.63,2.65,3.41,2.6,114,1.43,2.82,0.98,0.8,1.95,5.71,3.69,105
L3,3.94,2.85,2.68,3.63,2.49,116,1.38,2.7,0.95,1.13,2.15,5.58,4.09,100
L4,4.06,2.97,2.82,3.64,2.57,113,1.32,2.28,0.97,0.98,2.25,5.25,4.48,99
L5,4.12,3.07,2.83,3.96,2.4,112,1.01,2.19,0.91,0.89,2.65,4.65,4.04,100
L6,4.05,3.24,2.92,3.73,2.41,107,0.94,2.33,0.96,1.46,2.9,3.76,4.06,98
Ca1,3.93,3.34,2.95,3.51,2.42,107,0.89,2.48,0.76,1.21,2.75,3.16,3.35,95
Ca2,3.72,3.26,3.03,NA,2.34,NA,0.76,2.41,0.76,1.2,2.3,2.61,3.63,92
Ca3,3.42,3.33,3.19,2.92,2.18,104,0.65,2.39,0.89,1.01,1.9,2.01,3.13,90
Ca4,3.17,3.21,3.34,2.22,2.08,107,0.53,2.06,0.83,0.77,1.2,1.39,2.57,83
Ca5,2.9,3.13,3.4,1.59,1.75,116,0.44,1.75,0.79,0.54,0.95,0.86,1.46,72
Ca6,2.75,2.99,3.32,1.16,1.63,121,0.42,1.93,0.66,0.4,0.65,0.41,0.95,72
Ca7,2.62,2.9,3.15,0.57,1.5,121,0.29,1.79,0.4,0.31,0.4,0,0,NA
Ca8,2.4,2.82,3,0.27,1.02,110,0.26,1.46,0,0,NA,0,0,NA
Ca9,2.24,2.72,2.85,0,0,NA,0,0,0,0,NA,0,0,NA
Ca10,2,2.75,2.72,0,0,NA,0,0,0,0,NA,0,0,NA
