Pseudorca_crassidens_(SMNS_7617),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.36,8.79,7.87,5.36,1.43,114,5.19,1.98,0,0,NA,5.69,1.84,85
T2,2.79,8.49,7.47,5.98,2.77,116,5.87,3.23,0,0,NA,4.55,2.25,90
T3,3.45,8.2,8.28,5.5,2.72,116,5.69,3.56,0.76,1.17,3.2,5.07,3.09,90
T4,3.92,8.57,8.29,5.38,2.35,113,5.53,3.57,1.36,1.07,4.1,5.3,3.3,95
T5,4.72,8.21,7.88,5.5,2.9,110,4.68,3.5,2.54,1.15,4.3,4.9,3.38,95
T6,4.93,8.4,8.08,6.19,3.28,111,5.39,2.81,2.72,2.18,4.8,4.8,4.02,90
T7,5.57,8.03,7.74,6.72,3.75,113,4.93,3.19,2.61,2.18,5.1,5.1,3.91,97
T8,6.05,8.07,7.3,7.63,3.86,110,4.59,3.05,2.47,1.9,5.1,7.33,4.24,100
T9,6.57,7.6,7.13,8.28,3.75,105,4.63,3.58,2.56,2.07,5.2,8.84,4.42,100
T10,6.79,7.22,6.37,8.61,3.69,100,4.98,4.04,2.21,2.11,5.2,11.1,4.09,105
L1,6.67,7.26,6.53,9.61,3.9,92,4.3,3.95,1.83,1.57,5.5,12.13,4.29,104
L2,6.64,7.36,6.57,9.74,3.95,90,4.65,3.91,1.71,1.44,5.45,11.55,4.24,100
L3,6.72,7.19,6.53,9.96,4.2,88,4.93,3.79,1.63,1.21,5.3,10.66,4.21,95
L4,6.91,7.08,6.8,10.68,4.32,86,5,3.99,1.51,1.26,5.1,11.03,4.45,90
L5,7.05,7.02,6.7,10.86,4.14,87,4.95,3.81,1.2,1.19,5.2,10.68,4.63,90
L6,7.23,7.18,6.99,10.96,4.27,86,4.88,3.79,0.81,1.03,5.3,10.42,4.54,90
L7,7.28,7.37,6.98,10.83,3.82,81,5.23,3.63,0,0,NA,10.17,4.39,90
L8,7.37,7.45,7.01,10.06,4.15,82,4.94,3.64,0.88,1.03,6.2,10.36,4.55,90
L9,7.44,7.49,7.06,9.73,4.41,78,4.9,3.88,0.88,1.27,6.5,10.15,4.64,95
L10,7.64,7.66,7.12,9.6,4.65,79,4.61,3.72,0.97,1.12,7,10,4.33,95
L11,8.03,7.91,7.26,8.72,4.8,80,4.9,4,1.06,1.23,7.55,9.69,4.32,93
L12,8.16,8.07,7.19,8.2,5.06,85,4.85,3.84,1.47,1.57,7.75,9.06,4.5,95
Ca1,8.42,7.87,7.88,7.08,4.78,85,4.46,4.22,1.69,1.38,7.9,8.19,4.46,98
Ca2,8.51,7.83,7.68,7.88,4.93,85,4.81,4.1,1.49,1.55,7.9,8.54,4.84,95
Ca3,8.57,7.65,7.77,7.13,4.82,85,4.2,3.75,1.51,1.37,7.55,8.05,4.66,90
Ca4,8.66,7.39,7.7,6.62,4.45,83,3.87,3.76,1.65,1.34,7.4,7.66,4.65,90
Ca5,8.91,7.55,7.68,7.06,3.52,90,2.22,3.65,1.78,1.93,6.3,5.29,4.14,85
Ca6,9,7.44,7.69,5.7,3.37,92,2.06,3.69,1.6,1.77,1.2,4.49,3.53,75
Ca7,8.74,7.16,7.57,5.16,3.07,95,1.8,3.51,1.51,1.8,4.5,4,3.23,73
Ca8,8.45,6.68,7.67,4.06,3.09,98,1.38,3.31,1.67,1.92,3.9,2.7,2.96,80
Ca9,7.87,6.48,7.37,3.06,3.33,98,1.13,3.11,1.62,1.67,3.4,1.36,1.91,90
Ca10,7.68,5.71,7.34,3.13,3.07,105,0.97,3.28,1.48,1.54,2.7,0,0,NA
Ca11,7.26,5.21,7.23,2.61,2.98,110,0.83,3.12,1.81,1.41,1.9,0,0,NA
Ca12,6.89,5.44,7.64,1.89,3.3,110,0.77,3.74,1.35,1.03,1.3,0,0,NA
Ca13,6.28,4.89,6.91,0,0,NA,0.86,3.27,0.8,0.55,0.7,0,0,NA
Ca14,5.34,5.16,5.9,0,0,NA,0,0,0,0,NA,0,0,NA
Ca15,3.64,5.54,5.31,0,0,NA,0,0,0,0,NA,0,0,NA
