Phocoenoides_dalli_(USNM_396304),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.06,3.48,2.85,6.22,0.95,112,2.86,0.91,0.45,0.4,1.4,1.45,0.67,86
T2,1.27,3.46,2.87,7.75,1.26,115,2.97,1.29,0.46,0.48,2.25,1.77,0.79,87
T3,1.48,3.24,2.97,8.17,1.27,123,2.87,1.44,0.58,0.6,2.15,1.88,1.1,83
T4,1.61,3.27,2.91,8.27,1.32,123,2.95,1.15,0.64,0.54,2.55,1.92,1.24,80
T5,1.64,3.24,2.73,8.15,1.33,118,3.06,1.29,0.87,0.54,2.5,1.77,1.29,84
T6,1.71,3.3,2.74,8.08,1.37,114,3.12,1.29,0.73,0.64,2.6,1.74,1.19,88
T7,1.75,3.3,2.72,8,1.45,110,3.19,1.36,0.87,0.63,2.35,1.73,1.29,90
T8,1.81,3.38,2.78,8.22,1.27,111,3.13,1.18,0.79,0.6,2.25,1.71,1.32,94
T9,1.81,3.41,2.88,8.37,1.32,112,3.19,1.25,0.81,0.55,2.1,1.77,1.24,93
T10,1.84,3.52,2.92,8.64,1.3,107,3.12,1.14,0.83,0.58,2.1,1.82,1.46,98
T11,1.84,3.7,3,8.76,1.4,107,3.23,1.14,0.9,0.64,2,1.59,1.37,96
T12,1.89,3.85,3.04,8.96,1.33,108,3.21,1.28,0.91,0.66,2.15,1.61,1.32,97
T13,1.9,4.02,3.17,9.08,1.41,108,3.11,1.31,1.08,0.72,2.3,1.75,1.39,93
T14,1.86,3.92,3.22,9.67,1.45,108,3.33,1.47,1.18,0.89,2.55,1.97,1.34,98
T15,1.88,3.87,3.3,10.09,1.38,105,3.21,1.34,1.11,0.99,2.55,2.71,1.36,102
T16,1.81,3.93,3.4,10.52,1.28,102,3.38,1.32,0.8,0.88,2.55,3.23,1.41,102
T17,1.81,3.68,3.5,1.08,1.17,100,3.48,1.29,0.5,0.65,2.5,7.88,1.41,100
