Peponocephala_electra_(USNM_550399),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.12,4.16,3.15,2.02,0.55,126,3.5,1.04,0,0,NA,2.26,1.1,86
T2,1.59,3.84,3.24,3.29,0.71,127,3.53,1.28,0,0,NA,2.27,1.14,91
T3,2.22,3.68,2.93,3.84,0.86,132,3.1,1.69,0,0,NA,2.56,1.43,95
T4,2.64,3.62,2.93,3.54,1.01,137,3.31,1.35,0,0,NA,2.82,1.69,101
T5,2.96,3.65,2.91,3.43,1.13,132,3.59,1.06,0.49,0.72,2.5,3.07,1.93,103
T6,3.21,3.6,3.03,3.24,1.21,131,3.9,1.08,0.79,0.68,3,3.07,1.68,108
T7,3.44,3.52,3.13,3.69,1.02,130,3.77,1.23,1.21,0.91,3.75,2.96,1.57,105
T8,3.5,3.56,3.18,4.28,1.15,126,3.69,1.36,1.48,0.85,3.8,3.32,1.81,100
T9,3.56,3.61,3.19,4.8,1.4,122,3.45,1.74,1.54,0.87,4.1,4.09,1.72,103
T10,3.63,3.63,3.27,5.58,1.41,123,3.26,1.89,1.48,1.01,4.4,5.07,1.61,106
T11,3.68,3.76,3.31,5.99,1.42,122,3.15,1.81,1.63,0.98,4.55,5.42,1.9,103
T12,3.64,3.73,3.39,6.43,1.29,118,3.1,1.76,1.73,0.92,4.4,5.91,1.77,106
T13,3.59,3.67,3.43,7.1,1.32,114,3.14,1.67,1.63,0.98,4.4,7.95,1.64,107
T14,3.56,3.74,3.48,7.64,1.53,109,3.22,1.67,1.67,0.91,4.55,8.69,1.74,104
L1,3.39,3.75,3.53,7.81,1.88,107,3.37,1.53,1.36,0.81,4.55,8.6,1.56,93
L2,3.39,3.77,3.58,8.14,1.83,106,3.35,1.49,1.12,0.79,4.5,8.67,1.56,87
L3,3.36,3.77,3.54,8.37,1.76,104,3.31,1.36,1.07,0.6,4.6,8.82,1.65,83
L4,3.19,3.81,3.69,8.31,1.84,102,3.5,1.34,1.11,0.63,4.6,8.68,1.58,80
L5,3.15,3.81,3.78,8.28,1.88,100,3.28,1.3,0.92,0.64,4.6,8.28,1.63,80
L6,3.03,3.85,3.78,8.08,1.49,100,3.28,1.29,0.92,0.73,4.65,8.13,1.66,81
L7,3.03,3.8,3.82,8.05,1.45,96,3.32,1.08,0.84,0.82,4.55,7.78,1.68,83
L8,2.89,3.92,3.8,8.17,1.27,89,3.15,1.2,0.59,0.7,4.4,7.41,1.6,84
L9,2.91,3.96,3.88,8.06,1.19,87,3.19,1.13,0.65,0.73,4.3,7.26,1.5,83
L10,2.83,4.06,3.9,7.97,1.26,83,3.24,1.1,0.36,0.83,4.4,7.03,1.52,85
L11,2.72,4.11,4,7.61,1.19,80,3.31,1.01,0.4,0.7,4.4,7.11,1.46,88
L12,2.67,4.13,3.99,7.12,1.24,86,3.28,1.01,0.37,0.68,4.25,6.64,1.55,90
L13,2.56,4.08,4.09,7.02,1.13,78,3.31,1.18,0.4,0.62,4.35,6.42,1.4,89
