Platanista_gangetica_(MNHN_A7945),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.89,3.37,2.6,4.65,1.44,125,2.6,1.45,0,0,NA,2.04,1.83,90
T2,1.92,3.86,2.7,4.69,1.8,120,2.2,1.87,0,0,NA,2.08,1.94,90
T3,2.23,4.16,2.3,4.08,1.75,120,2.4,1.89,0,0,NA,1.87,2.21,90
T4,2.06,3.9,2.3,3.87,1.68,110,2.4,2.24,0.3,0.43,1.5,1.84,2.32,85
T5,2.25,4.13,2.36,3.49,2.03,100,2.5,1.84,1.3,0.88,1.67,1.32,2.15,90
T6,2.8,4.72,2.64,3.6,2.35,95,2.4,2.09,1.95,1.35,2.5,0.88,1.85,90
T7,2.8,4.06,2.92,3.74,2.5,92,2.2,2.05,2.53,1.53,2.54,0.96,1.95,90
T8,2.76,4.16,2.83,3.94,2.63,95,2.1,2.2,2.5,1.59,3.14,0.99,1.95,100
T9,2.85,3.77,2.91,4.33,2.74,90,2.1,2.6,2.46,1.71,2.76,1.18,2.21,100
T10,3.19,3.68,3.08,4.77,2.7,90,1.6,2.9,3.41,1.25,2.88,2.57,1.96,105
T11,2.94,4.15,3.22,5.19,2.68,90,1.75,2.71,3.29,1.22,2.72,5.32,2.11,100
L1,3.37,4.69,3.36,6.05,2.67,85,1.63,2.63,3.22,1.41,2.7,6.82,2.13,90
L2,3.4,4.41,3.53,6.67,2.96,82,1.52,2.45,3.18,1.35,2.81,8.15,2.35,90
L3,3.54,5.14,3.56,7.25,2.99,80,1.63,2.37,2.95,1.11,2.77,8.32,2.57,95
L4,3.59,4.16,3.72,7.4,3.36,85,1.37,2.58,3.03,0.85,2.7,8.28,2.62,100
L5,3.84,4.54,3.94,7.68,3.13,86,1.54,2.48,3,1.22,3.23,7.87,2.25,100
L6,3.82,4.63,3.96,7.9,2.76,80,1.4,2.44,2.85,0.66,2.78,7.52,1.96,100
L7,3.66,4.78,3.97,8.08,2.66,80,1.37,2.35,2.97,0.5,2.5,6.85,2.13,100
Ca1,3.7,5.02,3.95,7.82,2.78,80,1.42,2.58,2.9,0.61,2.3,5.76,2.45,102
Ca2,3.82,5.36,4.38,7.22,2.67,84,1.41,2.37,2.54,0.62,2.43,5.34,2.65,97
Ca3,3.55,5.68,4.42,7.27,2.35,80,1.36,2,2.5,0.61,2.25,4.87,2.45,90
Ca4,3.56,5.59,4.41,6.81,2.17,75,1.32,1.97,2.54,0.7,1.94,4.54,2.5,90
Ca5,3.43,5.13,4.57,6.38,2.12,80,1.12,1.96,2.34,0.64,2.06,4.12,2.05,85
Ca6,3.28,5.16,4.46,6.08,2.15,80,1.01,2.1,2.66,0.61,1.74,2.97,2.24,80
Ca7,3.3,5.15,4.58,5.17,2.04,85,0.89,2.05,2.64,0.55,1.25,2.59,1.83,75
Ca8,3.39,5.22,4.65,4.59,2.19,92,0.83,2.12,2.25,0.65,1.2,2.07,1.79,75
Ca9,3.18,4.77,4.61,3.8,2.2,100,0.57,1.89,1.53,0.52,0.83,1.63,1.26,60
Ca10,3.43,4.53,4.53,3.33,2.36,95,0.48,1.85,1.51,0.64,0.72,1.4,1.4,60
Ca11,3.46,4.24,4.3,2.7,2.61,95,0.58,1.62,1.19,0.59,0.63,0.61,1.09,60
Ca12,3.37,3.95,4.24,2.54,2.44,95,0.53,2.1,0.45,0.48,0.47,0.53,0.87,70
Ca13,3.25,3.91,4.3,1.78,2.68,95,0.48,1.78,0,0,NA,0,0,NA
Ca14,3.83,3.58,3.73,1.12,2.9,95,0.39,1.55,0,0,NA,0,0,NA
Ca15,2.41,3.46,3.24,0.58,1.62,100,0.35,1.25,0,0,NA,0,0,NA
Ca16,1.81,3.28,3.21,0,0,NA,0.36,0.66,0,0,NA,0,0,NA
