Platanista_gangetica_(SMNS_45653),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.33,3.37,2.02,2.85,1.17,115,1.72,1.48,0,0,NA,1.71,1.67,90
T2,1.46,3.67,2.1,3.2,1.63,115,1.44,1.65,0,0,NA,1.51,1.61,90
T3,1.57,3.62,2.26,3.13,1.71,115,1.42,2.18,0,0,NA,1.06,1.9,90
T4,1.71,3.75,2.24,3.07,1.71,115,1.38,1.25,0.56,0.38,1.7,1.03,1.91,95
T5,1.74,3.72,2.28,2.66,1.96,114,1.3,1.5,1.45,1.09,2,0.6,1.71,90
T6,1.82,3.92,2.28,2.61,1.74,108,1.29,1.74,1.86,1.12,2,0.37,1.44,90
T7,2.01,3.65,2.34,2.62,1.97,98,1.11,1.84,2.03,1.19,2.2,0.43,1.55,90
T8,2.06,3.64,2.36,2.6,2.14,94,1.1,2.12,1.76,1.41,2.1,0.53,1.73,90
T9,2.19,3.38,2.45,2.78,2.22,89,1.05,2.22,1.95,1.41,2.1,1.21,2.09,100
T10,2.3,3.36,2.56,3.19,2.31,84,0.94,2.1,2.11,1.1,2.2,3.03,1.91,100
L1,2.33,3.69,2.74,3.51,2.57,81,1.16,2.16,2.39,0.92,2.3,5.73,1.98,88
L2,2.75,3.93,3.08,4.13,2.52,82,1.12,1.87,2.61,1.18,2.3,6.16,2.1,90
L3,2.85,3.71,3.17,4.26,2.42,82,1.05,1.95,2.41,1.03,2.4,5.91,1.97,95
L4,2.57,3.96,2.79,3.77,2.66,83,1.14,2.05,2.55,0.83,2.5,6.2,2.01,92
L5,2.64,4.03,3,3.97,2.34,81,1.1,1.78,2.38,0.93,2.3,6.76,2.39,95
L6,2.59,4,2.9,4.17,2.52,80,1.1,1.96,2.47,0.87,2.7,7.01,2.22,94
L7,2.82,3.74,3.13,4.28,2.19,80,1.17,1.7,2.34,0.91,2.4,5.6,1.73,100
L8,2.82,3.73,3.27,4.22,2.31,79,1.06,1.81,2.16,0.74,2.3,4.79,2.14,103
Ca1,2.79,3.67,3.32,3.77,2.5,78,1.06,1.83,1.96,0.78,2,4.1,1.7,103
Ca2,2.78,3.76,3.29,3.6,2.34,79,1.1,1.78,1.82,0.78,1.95,3.66,1.95,100
Ca3,2.7,3.87,3.31,3.58,2.27,78,0.96,1.52,1.37,0.55,1.5,3.32,1.78,95
Ca4,2.67,3.98,3.34,3.43,2.1,78,0.95,1.57,1.22,0.49,1.4,3.24,1.49,90
Ca5,2.58,3.97,3.37,3.06,2.06,84,0.93,1.39,1.19,0.52,1.35,2.8,1.58,87
Ca6,2.47,4.04,3.43,2.56,2.17,86,0.9,1.4,1.08,0.43,1.05,2.38,1.39,85
Ca7,2.5,3.94,3.46,2.46,2.21,89,0.8,1.23,0.92,0.47,0.65,1.7,1.42,85
Ca8,2.43,3.67,3.37,2.1,2.26,91,0.58,1.15,0.97,0.46,0.3,1.32,1.22,78
Ca9,2.46,3.51,3.32,1.72,2.27,94,0.5,1.03,0.88,0.39,0.2,0.77,1.23,75
Ca10,2.32,3.32,3.26,1.66,1.84,94,0.61,1,0.93,0.27,0.15,0.4,1.04,75
Ca11,2.09,3.17,3.26,1.1,1.99,98,0.52,1.1,0,0,NA,0,0,NA
Ca12,2.04,3.09,3.16,1.07,2.18,97,0.42,1.3,0,0,NA,0,0,NA
Ca13,1.84,2.95,2.98,0.75,1.97,96,0.27,1.45,0,0,NA,0,0,NA
Ca14,1.47,2.8,2.58,0.38,1.34,100,0.25,1.08,0,0,NA,0,0,NA
Ca15,1.15,2.78,2.65,0,0,NA,0,0,0,0,NA,0,0,NA
