Physeter_macrocephalus_(SMNS_26429),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,12.03,33.5,25.8,5.11,4.09,80,9.52,5.18,0,0,NA,12.37,5.01,70
T2,12.15,28.2,23.2,5.67,7.26,87,11.38,6.72,0,0,NA,12.65,8.17,75
T3,12.76,25.3,22.5,8.22,12.17,90,13.02,5.26,0,0,NA,12.83,10.08,85
T4,13.23,24.4,21.6,10.62,12.5,90,13.35,5.03,NA,NA,NA,12.18,10.11,80
T5,13.46,23.3,21.9,10.8,10.96,105,12.88,5.55,NA,NA,NA,12.43,9.28,90
T6,14.1,25.1,22.1,11.64,11.85,105,12.82,5.57,NA,NA,NA,11.34,10.5,100
T7,15.01,22.9,22.8,12.26,10.95,115,10.23,6.1,NA,NA,NA,11.22,10.06,95
T8,15.3,25.4,23.5,17.8,12.46,110,10.6,6.17,NA,NA,NA,10.88,9.6,100
T9,17,25.3,24.1,18.7,12.67,110,12.02,8.42,4.93,5.69,11.3,5.68,7.66,90
T10,17.5,27,24.9,22.8,13.2,115,12.5,6.51,8.35,5.84,13.3,10.41,11.58,NA
T11,18.8,30.5,27.7,27.3,15.3,125,12.5,9.36,8.98,6.5,12.5,18.5,10.34,90
L1,19,30,29.8,29.5,15.9,125,12.3,9.23,9.53,6.77,13.9,18.8,8.92,90
L2,20.1,27.7,30.5,29.7,16.6,125,12.3,8.87,9.16,6.39,14,17.4,9.53,90
L3,19.7,25.6,30.4,31.5,14.7,125,13,9.46,9.37,7.5,15.8,17.5,9.9,90
L4,21.8,27.2,30.9,29.4,14.8,127,12.6,11.27,7.76,6.75,15.9,17.9,9.96,90
L5,22.4,31,31.1,26.6,12.4,135,10.5,10.25,8.27,8.19,17.1,17.5,10.56,90
L6,23.2,29.2,31.1,24.5,11.13,132,9,10.18,9.76,6.38,18.5,15.9,10.31,90
L7,22.5,30,31.4,24.3,12,135,9.7,9.75,9.32,7.26,18.7,16.7,10.49,90
L8,24.5,29.8,33.8,17.2,13.2,130,9.3,9.3,8.95,7.17,20,17,10.57,90
Ca1,24.9,31,34.8,15.9,12.7,125,10.5,9.77,9.39,7.52,21.5,16.3,9.88,90
Ca2,25.2,32.3,32.3,15.3,11.95,125,10.1,10.37,7.23,6.02,24,18,9.8,90
Ca3,23.4,34.8,31.5,16.1,13.42,115,9.5,10.39,5.67,3.97,20.5,15.7,13.18,90
Ca4,24.1,34.2,32.6,16.3,14.7,100,8.2,10.51,5.33,3.65,17.9,11.8,15.9,90
Ca5,25.1,35.2,34.3,14.6,16.4,95,7,9.9,4.07,4.08,15.8,9.3,17.3,90
Ca6,22.2,31.8,33.2,10.8,16.4,90,4.8,11.4,3.93,3.65,16,6.5,16,90
Ca7,22.5,29.8,32.3,8.9,18.4,90,3.5,15.4,0,0,NA,4,16.1,90
Ca8,20.9,27.8,31.1,6.7,18.4,90,2.4,15.7,0,0,NA,1.8,10,90
Ca9,19.8,25.8,30.2,5.8,16.8,90,2,15.3,0,0,NA,0,0,NA
Ca10,19.1,22.7,28.2,3.2,13,90,2,13.2,0,0,NA,0,0,NA
Ca11,16.7,22.6,24.6,0,0,NA,3.2,10,0,0,NA,0,0,NA
Ca12,13.96,22,24.35,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,0,NA
