Physeter_macrocephalus_(USNM_301634),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,10.17,42.6,29.7,6.69,6.13,76,16.2,11.08,0,0,NA,15.9,7.78,76
T2,14.56,38.4,29.45,9.21,8.61,82,18.4,12.6,2.27,2.18,10.2,13.4,11.23,80
T3,15.05,36.45,28.9,12.18,17.25,94,23.1,12.2,3.08,2.82,14.2,14.7,11.72,80
T4,15.8,36.3,31.8,11.37,16.8,97,24.5,12.42,3.8,6.33,17,17.3,13.78,83
T5,17.3,35.9,31.3,14.7,13.72,110,23.7,14.09,3.9,6.5,17.5,15.95,15.05,85
T6,17.75,37,30.1,18.55,18.3,108,21.4,13.08,4.84,6.92,16.8,12.7,13.24,91
T7,18.5,36.3,30.6,21.9,19.1,103,20.5,13.52,6.04,8.31,16.7,10.8,12.75,96
T8,21.3,35.3,30.4,26.2,20.4,105,18.8,11.77,7.76,7.58,15.4,7.9,9.95,100
T9,22.5,36.75,30.8,28.2,19.4,106,16.8,9.12,10.65,6.71,15,11.49,15.95,98
T10,23.65,37.5,31.8,32.3,21.8,109,16.05,11.44,12.91,9.21,17.1,14.92,15.6,103
T11,24.95,37.5,34,31.8,20.8,114,17.6,12.33,14.5,9.03,17.25,21.2,14.24,96
L1,26.1,37.1,35.1,35.9,21.7,117,16.7,12.24,15.8,9.34,20.5,20.9,15.1,86
L2,26.5,35.2,35.8,36.8,22.6,117,16.3,12.76,15.4,9.41,21.2,20.85,15.4,84
L3,26.75,36.35,33.8,39.1,22.8,120,14.55,13.11,15.95,10.06,20.95,23.15,15.25,85
L4,28.3,35.85,35,40,22.3,126,13.4,12.88,14.2,9.99,23.6,22.5,16.6,84
L5,29.4,36.2,33.5,42.4,20.2,127,13.8,12.69,14.9,10.08,23.4,25.45,16.2,86
L6,27.65,35.2,34.3,40.6,23.3,125,14.15,13.13,16.5,9.31,23.8,22.5,14.62,85
L7,29.7,35.85,35.4,36.8,19.25,129,11.6,13.83,13.1,9.72,25.6,26.6,16.3,87
L8,31.1,37.5,35.6,35.1,19.5,128,10.25,14.11,13.2,10.39,26.75,22.3,14.93,86
Ca1,31.1,38,38.6,30.1,20.1,121,10.1,15.2,8.56,9.89,27.9,20.05,14.85,84
Ca2,31.6,38.4,38.5,24.8,19.6,116,9.4,14.31,7.23,9.28,28.05,NA,12.65,83
Ca3,32.1,39.95,37.1,23.6,17.85,100,8.8,14.3,7.8,7.23,27.6,19.8,14.75,83
Ca4,32.05,39.6,38.85,20.05,20.1,97,7.95,14.25,7.05,6.56,25.9,16.1,23.7,87
Ca5,31.35,39.9,40.1,18.1,21.7,99,7.05,14.6,7.11,6.19,23.1,14.5,22.9,93
Ca6,30.6,38.3,38.1,15.8,22.95,107,8.2,15.8,5.88,5.19,20.85,9.75,22.35,92
Ca7,29.65,36.95,36.9,11.5,19.5,108,5.15,15.55,5.23,4.45,16.6,8.8,20.7,81
Ca8,29.4,36.2,37.1,9.25,18.2,112,4.35,16.1,5.73,5.57,14.35,4.5,18.7,75
Ca9,28.5,34.7,37.3,5.9,14.3,107,3.6,18.85,5.6,4.93,10.6,0,0,NA
Ca10,26.1,32.7,36.35,2.4,13.5,104,2.9,18.9,3.3,3.82,7.75,0,0,NA
Ca11,23.5,31.75,34.55,0,0,NA,3.2,11.05,5,2.88,3.9,0,0,NA
Ca12,19.6,30,29.8,0,0,NA,2.8,6.3,4.66,2,2.45,0,0,NA
Ca13,15.1,28.5,27.05,0,0,NA,0,0,0,0,NA,0,0,NA
Ca14,11.57,23.3,22.65,0,0,NA,0,0,0,0,NA,0,0,NA
