Phocoena_phocoena_(NRM_815072),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.92,2.56,2.19,1.97,0.43,113,2.14,0.81,0,0,NA,1.17,0.73,78
T2,1.31,2.47,2.17,3.2,0.77,115,2.02,0.98,0,0,NA,1.33,0.73,82
T3,1.73,2.3,2.09,3.63,1.45,115,2.21,1.1,0,0,NA,1.74,1.07,79
T4,2.1,2.3,2.18,3.85,1.6,112,2.29,1.23,0.57,0.63,2.3,1.64,1.24,80
T5,2.22,2.31,2.26,3.61,2,110,2.24,1.2,0.93,0.65,2.5,1.8,1.4,84
T6,2.36,2.45,2.31,3.49,1.95,104,2.02,1.43,0.82,0.62,2.3,1.68,1.47,92
T7,2.42,2.41,2.33,3.69,1.98,100,2.14,1.49,0.77,0.6,2.2,1.63,1.45,90
T8,2.52,2.52,2.43,3.87,1.91,96,2.06,1.49,0.87,0.67,2.3,2.04,1.56,95
T9,2.58,2.67,2.49,3.82,2.13,93,1.98,1.48,1.17,0.74,2.25,2.43,1.93,100
T10,2.59,2.82,2.46,4.24,2.07,92,1.99,1.55,1.41,0.57,2.3,2.37,1.59,105
T11,2.63,3.04,2.49,4.4,2.21,95,1.93,1.48,1.56,0.69,2.1,3.1,1.76,100
T12,2.64,2.94,2.52,5,2.16,99,1.98,1.37,1.65,0.59,2.2,4.87,1.83,105
T13,2.59,2.96,2.52,5.05,1.98,98,2.09,1.33,1.54,0.7,2.45,7,1.7,109
L1,2.53,3.01,2.54,5.36,1.84,98,2.05,1.43,1.51,0.77,2.45,7.5,1.55,104
L2,2.51,3.11,2.59,5.34,1.93,100,1.94,1.49,1.27,0.58,2.55,7.64,1.58,96
L3,2.5,3.04,2.7,5.29,1.89,99,1.93,1.53,1.34,0.58,2.5,7.91,1.73,97
L4,2.48,3.12,2.79,5.44,1.85,97,1.86,1.49,1,0.58,2.35,7.6,1.67,96
L5,2.54,3.22,2.79,5.38,1.83,94,1.84,1.64,0.73,0.57,2.3,7.08,1.6,90
L6,2.5,3.21,2.89,5.26,1.83,90,1.98,1.45,0.7,0.67,2.3,7.4,1.55,85
L7,2.52,3.33,2.99,5.26,1.79,80,1.85,1.49,0.53,0.53,2.25,7.36,1.57,80
L8,2.51,3.25,2.98,5.31,1.73,75,1.84,1.59,0.46,0.59,2.1,7.18,1.59,74
L9,2.52,3.42,2.99,5.22,1.71,73,1.76,1.52,0.47,0.58,2.05,7.07,1.48,75
L10,2.56,3.38,3.09,5.16,1.55,70,1.78,1.4,0.52,0.6,2,6.7,1.4,66
L11,2.53,3.39,3.11,5.29,1.65,70,1.78,1.39,0.48,0.6,2.2,6.42,1.38,62
L12,2.54,3.41,3.15,5.17,1.51,65,1.85,1.25,0.31,0.49,2.3,6.15,1.3,59
L13,2.56,3.56,3.23,5.36,1.47,64,1.85,1.36,0.34,0.4,2.4,5.7,1.29,59
L14,2.55,3.47,3.2,4.8,1.4,62,1.76,1.29,0.28,0.51,2.45,5.46,1.36,55
Ca1,2.47,3.49,3.36,4.6,1.6,58,1.85,1.25,0.41,0.44,2.6,5.15,1.36,58
Ca2,2.45,3.5,3.35,4.92,1.5,53,1.64,1.24,0.31,0.46,2.55,4.84,1.3,55
Ca3,2.42,3.51,3.32,4.89,1.47,55,1.5,1.34,0.31,0.44,2.6,4.16,1.6,55
Ca4,2.36,3.45,3.29,5.01,1.49,54,1.12,1.38,0.36,0.48,2.35,3.98,1.63,60
Ca5,2.37,3.49,3.23,4.99,1.62,58,0.99,1.47,0.46,0.46,2.15,3.72,1.54,64
Ca6,2.29,3.45,3.35,4.51,1.73,60,0.76,1.37,0.36,0.39,1.8,3.29,1.57,63
Ca7,2.26,3.44,3.27,4.07,1.76,65,0.76,1.29,0.37,0.36,1.7,2.61,1.48,64
Ca8,2.2,3.32,3.3,3.25,1.92,71,0.57,1.18,0.39,0.38,1.4,2.25,1.27,62
Ca9,2.11,3.36,3.28,2.48,1.69,78,0.51,1.09,0.46,0.43,1.05,1.55,1.06,65
Ca10,2.04,3.3,3.35,2.17,1.59,88,0.45,1.17,0.44,0.38,0.95,1,1,65
Ca11,2.02,3.17,3.36,1.79,1.61,94,0.42,1.3,0.45,0.37,0.7,0.51,0.9,70
Ca12,1.99,3.1,3.34,1.34,1.31,103,0.42,1.36,0.41,0.38,0.55,0.25,0.66,76
Ca13,1.93,3,3.31,1.02,1.31,100,0.31,1.17,0.4,0.41,0.4,0,0,NA
Ca14,1.89,2.87,3.24,0.79,1.11,115,0.34,1.15,0.38,0.43,0.25,0,0,NA
Ca15,1.81,2.88,3.15,0.5,1.02,110,0.36,1.05,0.31,0.23,0.2,0,0,NA
Ca16,1.72,2.79,2.95,0.35,0.95,109,0.29,0.97,0.31,0.35,0.15,0,0,NA
Ca17,1.62,2.6,2.83,0,0,NA,0.25,0.69,0,0,NA,0,0,NA
Ca18,1.48,2.49,2.63,0,0,NA,0.2,0.51,0,0,NA,0,0,NA
Ca19,1.37,2.5,2.64,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.16,2.44,2.43,0,0,NA,0,0,0,0,NA,0,0,NA
