Phocoena_spinipinnis_(USNM_550785),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.88,2.86,2.31,0.79,0.5,106,2.27,0.7,0,0,NA,1.5,0.75,77
T2,1.32,2.76,2.29,1.82,0.86,105,2.42,0.96,0,0,NA,1.53,0.87,75
T3,1.74,2.77,2.28,3.13,1.22,111,2.36,1.34,0,0,NA,1.57,1.14,74
T4,2.12,2.67,2.24,3.63,1.46,107,2.23,1.42,0.32,0.36,1.4,1.59,1.4,76
T5,2.22,2.79,2.28,3.79,1.65,106,2.12,1.36,0.36,0.47,1.7,1.69,1.58,88
T6,2.29,2.82,2.4,3.93,1.97,103,2.26,1.62,0.53,0.64,1.5,1.75,1.46,90
T7,2.37,2.87,2.44,4.19,2.03,111,1.97,1.3,0.44,0.52,1.55,1.6,1.72,95
T8,2.45,2.83,2.48,4.75,1.96,112,2,1.59,0.64,0.61,1.5,1.45,1.76,97
T9,2.59,2.9,2.54,4.83,1.93,116,1.76,1.71,0.71,0.79,1.7,1.64,1.46,99
T10,2.65,3.06,2.58,5.04,1.95,117,1.58,1.84,0.72,0.72,1.8,2.16,1.51,98
T11,2.61,3.18,2.58,5.1,2.07,123,1.67,1.94,0.86,0.72,2.15,2.32,1.63,100
T12,2.69,3.02,2.64,5.11,1.9,124,1.73,1.95,1.11,0.91,2.4,3.25,1.79,104
T13,2.72,3.13,2.63,5.48,1.96,124,1.82,2.23,0.96,0.62,2.5,4.65,1.69,101
T14,2.69,3.09,2.69,5.58,1.71,121,1.68,1.88,0.78,0.75,2.5,5.94,1.69,95
L1,2.75,3.09,2.79,5.66,1.76,121,1.92,1.82,0.32,0.74,2.45,6.06,1.8,87
L2,2.65,3.14,2.87,5.83,1.79,120,1.8,1.85,0.36,0.64,2.55,6.52,1.69,80
L3,2.57,3.16,2.89,5.77,1.8,120,1.79,1.77,0.26,0.57,2.6,6.56,1.85,76
L4,2.53,3.1,3.02,6.05,1.79,122,1.78,1.25,0.26,0.56,2.95,6.56,1.83,74
L5,2.55,3.28,2.96,5.88,1.65,119,1.69,1.24,0.27,0.62,2.85,6.12,1.94,73
L6,2.44,3.17,3,6.09,1.86,123,1.49,1.61,0,0,NA,6.1,1.82,70
L7,2.42,3.16,2.93,6.11,1.75,122,1.49,1.52,0,0,NA,6.09,1.89,68
L8,2.41,3.2,3.04,5.8,1.59,124,1.61,1.48,0,0,NA,5.8,1.8,64
L9,2.4,3.16,3.13,5.72,1.7,123,1.54,1.39,0,0,NA,5.71,1.91,67
L10,2.38,3.22,3.13,5.45,1.71,121,1.72,1.43,0,0,NA,5.38,1.37,65
L11,2.33,3.41,3.23,5.36,1.86,120,1.62,1.32,0,0,NA,5.43,1.68,64
L12,2.32,3.25,3.33,5.21,1.67,118,1.59,1.4,0,0,NA,5.42,1.6,63
L13,2.3,3.28,3.48,5.03,1.59,117,1.39,1.46,0,0,NA,5.16,1.65,59
L14,2.29,3.44,3.46,4.84,1.53,117,1.35,1.46,0.24,0.65,2.95,5.2,1.6,57
L15,2.29,3.53,3.58,4.71,1.62,116,1.18,1.4,0.31,0.52,2.65,4.81,1.44,55
Ca1,2.25,3.61,3.44,4.44,1.64,114,1.3,1.56,0.34,0.48,2.6,4.8,1.46,55
Ca2,2.22,3.58,3.43,4.18,1.62,112,1.24,1.55,0.4,0.53,2.5,4.6,1.49,52
Ca3,2.18,3.66,3.52,4.09,1.63,109,1.09,1.6,0.47,0.5,2.25,4.07,1.66,54
Ca4,2.22,3.54,3.57,4.08,1.68,104,1.12,1.66,0.47,0.61,1.9,3.83,1.81,57
Ca5,2.18,3.59,3.5,4.02,1.75,99,1.1,1.52,0.41,0.52,1.75,3.51,1.67,60
Ca6,2.15,3.52,3.58,4.06,1.89,98,0.87,1.44,0.49,0.5,2,3.05,1.57,63
Ca7,2.11,3.51,3.52,3.67,1.66,99,0.85,1.4,0.42,0.46,1.75,2.63,1.32,61
Ca8,2.07,3.44,3.55,3.37,1.62,103,0.84,1.31,0.38,0.51,1.4,2.2,1.03,58
Ca9,2.03,3.39,3.41,2.91,1.55,105,0.69,1.24,0.32,0.42,1.1,1.16,1.05,62
Ca10,1.99,3.2,3.47,2.52,1.63,107,0.7,1.21,0.37,0.43,1.1,0.77,0.82,62
Ca11,1.98,3.06,3.42,2.34,1.66,107,0.57,1.39,0.37,0.48,0.85,0.42,0.64,74
Ca12,1.99,2.92,3.58,2.04,1.73,106,0.45,1.5,0.42,0.41,0.75,0.24,0.39,84
Ca13,2,2.78,3.55,1.5,1.38,113,0.51,1.46,0.3,0.36,0.6,0,0,NA
Ca14,1.86,2.7,3.43,1.02,1.31,120,0.39,1.45,0.42,0.41,0.5,0,0,NA
Ca15,1.89,2.62,3.29,0.57,1.09,118,0.31,1.49,0.44,0.38,0.35,0,0,NA
Ca16,1.82,2.62,3.29,0.38,0.82,116,0.34,1.42,0.47,0.3,0.35,0,0,NA
Ca17,1.75,2.6,3.12,0,0,NA,0.27,1,0.41,0.3,0.25,0,0,NA
Ca18,1.6,2.55,2.96,0,0,NA,0.28,0.66,0,0,NA,0,0,NA
Ca19,1.37,2.57,2.71,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.18,2.56,2.51,0,0,NA,0,0,0,0,NA,0,0,NA
