Stenella_attenuata_(USNM_500122),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.65,3.03,2.43,2.24,0.59,126,2.15,0.72,0,0,NA,1.74,0.72,81
T2,1.16,2.78,2.4,3.3,0.52,126,2.26,0.89,0,0,NA,1.8,0.74,82
T3,1.51,2.62,2.42,3.77,0.81,127,2.12,1.08,0,0,NA,1.94,0.86,85
T4,1.77,2.5,2.3,4.11,0.92,123,2.18,0.86,0.36,0.39,2.1,1.93,1.1,94
T5,1.95,2.45,2.26,4.37,1.11,122,2.23,1.01,0.74,0.45,2.05,2.13,1.11,99
T6,2.15,2.47,2.31,4.41,1.13,125,2.23,1.12,0.84,0.57,2.45,2.28,1.34,105
T7,2.31,2.47,2.39,4.66,1.25,124,2.28,1.07,1.17,0.65,2.7,2.57,1.36,107
T8,2.43,2.51,2.39,5,1.21,123,2.34,1.21,1.3,0.87,2.95,2.78,1.28,98
T9,2.47,2.53,2.41,5.03,1.38,121,2.28,1.65,1.16,0.93,3.1,3.19,1.39,95
T10,2.53,2.59,2.43,5.51,1.56,118,2.28,1.63,1.01,0.88,3.15,3.69,1.32,92
T11,2.59,2.64,2.47,5.66,1.45,117,2.3,1.59,1.05,0.91,3.3,4.17,1.41,97
T12,2.58,2.69,2.5,5.85,1.56,116,2.14,1.59,1.33,0.9,3.5,4.67,1.64,103
T13,2.64,2.7,2.56,6.32,1.63,116,2.25,1.5,1.28,0.84,3.45,5.27,1.68,103
T14,2.67,2.7,2.58,6.68,1.61,113,2.06,1.51,1.4,0.75,3.4,7.14,1.67,108
T15,2.59,2.84,2.64,6.79,1.75,111,2.12,1.63,1.38,0.6,3.35,7.54,1.67,109
L1,2.53,2.91,2.63,6.97,1.45,103,2.05,1.48,1.41,0.56,3.2,7.81,1.5,105
L2,2.44,3,2.59,6.88,1.39,100,2.08,1.4,1.52,0.54,3.2,7.42,1.43,101
L3,2.37,3.1,2.63,7.07,1.34,97,2.26,1.42,1.26,0.46,3.3,7.48,1.5,96
