Stenella_clymene_(USNM_550511),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.78,3.38,2.59,2.73,0.65,130,2.01,0.91,0,0,NA,2.47,0.89,79
T2,1.4,3.13,2.55,3.8,0.89,131,1.86,1.38,0,0,NA,2.82,1.18,82
T3,1.82,2.92,2.48,4.28,0.85,130,1.87,1.52,0,0,NA,3.29,1.08,84
T4,2.19,2.81,2.33,4.2,0.88,130,1.99,1.24,0.55,0.56,2.25,3.05,1.3,93
T5,2.38,2.77,2.41,4.6,0.97,129,1.83,1.19,1.17,0.6,2.45,3.26,1.6,97
T6,2.55,2.76,2.49,4.77,1.09,124,1.97,1.19,1.35,0.55,2.3,3.62,1.78,100
T7,2.68,2.81,2.58,5.36,1.25,126,1.92,1.31,1.1,0.68,2.4,3.99,1.88,96
T8,2.7,2.86,2.62,5.72,1.23,124,2.09,1.47,1.95,0.9,2.85,4.48,2.01,95
T9,2.78,2.89,2.64,6.12,1.37,122,2.07,1.46,1.79,0.89,3,5.09,1.96,92
T10,2.78,2.95,2.69,6.44,1.52,118,2.18,1.49,1.67,0.9,3.2,5.45,2.09,96
T11,2.76,2.98,2.8,6.5,1.54,119,2.05,1.71,1.48,0.73,3.4,6.17,2.25,92
T12,2.66,2.97,2.82,6.41,1.59,117,1.94,1.66,2.01,0.79,3.55,7.16,1.92,95
T13,2.54,3.01,2.87,7.12,1.35,111,2.19,1.48,1.82,0.7,3.65,9.13,1.69,97
T14,2.39,2.91,2.89,7.98,1.3,104,2.18,1.44,1.63,0.41,3.8,8.46,1.67,90
T15,2.3,2.94,2.91,8.07,1.25,98,2.13,1.31,1.12,0.46,3.4,8.52,1.63,86
L1,2.23,2.96,2.87,8.17,1.18,95,2.31,1.2,1.02,0.42,3.4,8.31,1.65,85
L2,2.13,2.95,2.97,8.29,1.15,92,2.2,1.12,0.89,0.47,3.3,8.14,1.61,86
L3,2.05,3.01,2.97,8.2,1.18,89,2.25,1.08,0.41,0.4,2.8,7.82,1.56,84
L4,2.01,2.95,2.96,8.23,1.13,85,2.34,1.14,0.31,0.46,2.8,7.5,1.47,80
L5,1.95,2.89,2.95,8.2,1.03,82,2.28,1.03,0.32,0.49,2.85,7.33,1.42,78
L6,1.93,2.94,3,8.69,1.02,78,2.2,1.16,0.26,0.32,3,7.03,1.33,78
L7,1.89,3,3.01,8.47,0.91,76,2.29,1.04,0,0,NA,6.89,1.24,77
L8,1.9,3.04,2.97,8.63,0.95,75,2.34,1.14,0,0,NA,6.76,1.29,73
L9,1.86,3.03,2.96,8.37,1.03,73,2.26,1.18,0,0,NA,6.57,1.32,72
L10,1.8,3.06,2.99,8.41,0.93,70,2.28,0.99,0,0,NA,6.44,1.31,72
L11,1.88,3.05,2.98,8.2,1.04,69,2.34,1.04,0,0,NA,6.51,1.28,74
L12,1.83,3.08,3,7.95,1.06,69,2.33,1.07,0,0,NA,6.3,1.17,75
L13,1.81,3.09,3.07,7.94,1.08,71,2.21,0.99,0,0,NA,6.36,1.17,72
L14,1.85,3.15,3.11,7.59,1.08,72,2.14,0.97,0,0,NA,6.18,1.18,74
L15,1.86,3.19,3.13,7.26,1.04,75,2.25,0.98,0,0,NA,6.05,1.11,72
L16,1.92,3.16,3.2,7.39,1.02,74,1.98,1.08,0,0,NA,5.96,1.1,71
L17,1.91,3.21,3.18,7.14,1.01,76,1.97,1.01,0,0,NA,5.7,1.08,72
Ca1,1.96,3.19,3.25,7.17,1.06,66,2.33,1.1,0,0,NA,5.69,1.18,72
Ca2,1.97,3.21,3.27,7.07,1,65,2.25,1.15,0,0,NA,5.48,1.11,64
Ca3,2.02,3.31,3.25,7.05,1.18,60,2.05,1.15,0.23,0.28,4.15,4.99,1.21,62
Ca4,2.05,3.26,3.29,7.02,1.02,57,2.37,1.1,0,0,NA,5.13,1.23,58
Ca5,2,3.33,3.26,6.26,1.3,60,1.82,1.27,0.21,0.29,3.7,5.19,1.17,58
Ca6,2.03,3.21,3.2,6.56,1.34,60,1.97,1.25,0.32,0.33,4.15,5.13,1.17,60
Ca7,2.09,3.29,3.33,6.06,1.47,63,1.65,1.24,0.4,0.38,3.65,4.79,1.34,62
Ca8,2.07,3.4,3.23,5.77,1.41,64,1.36,1.3,0.35,0.32,3.45,4.48,1.36,64
Ca9,2.17,3.39,3.44,5.43,1.45,67,1.23,1.37,0.4,0.58,3.25,4.42,1.58,66
Ca10,2.13,3.4,3.43,5.12,1.36,72,1.18,1.35,0.35,0.42,2.95,3.81,1.31,67
Ca11,2.22,3.37,3.55,5.02,1.48,77,1.03,1.38,0.36,0.42,2.6,3.01,1.3,65
Ca12,2.35,3.36,3.54,4.87,1.51,82,0.96,1.39,0.38,0.29,2.35,2.79,0.92,58
Ca13,2.42,3.39,3.52,4.17,1.5,88,0.91,1.33,0.33,0.57,2,1.6,0.96,56
Ca14,2.46,3.3,3.58,3.95,1.55,88,0.79,1.33,0.43,0.46,1.8,0.58,1.08,60
Ca15,2.52,3.16,3.63,3.12,1.94,94,0.68,1.51,0.36,0.65,1.3,0.39,0.88,69
Ca16,2.53,2.91,3.72,2.83,2.05,98,0.62,1.67,0.48,0.49,1.2,0,0,NA
Ca17,2.47,2.64,3.57,2.06,2.07,102,0.45,1.51,0.52,0.41,0.9,0,0,NA
Ca18,2.43,2.51,3.61,1.52,2.28,105,0.54,1.53,0.44,0.45,0.65,0,0,NA
Ca19,2.35,2.53,3.51,0.98,1.98,104,0.38,1.5,0.38,0.36,0.45,0,0,NA
Ca20,2.19,2.37,3.12,0.39,1.67,107,0.29,1.54,0.25,0.24,0.4,0,0,NA
Ca21,1.76,2.49,3.08,0,0,NA,0,0,0,0,NA,0,0,NA
Ca22,1.27,2.64,2.61,0,0,NA,0,0,0,0,NA,0,0,NA
