Stenella_coeruleoalba_(PEM_N289),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.24,4.31,3.37,4.45,0.88,132,2.44,1.19,0,0,NA,3.02,1.41,80
T2,2.76,3.44,3.29,4.63,1.29,130,3,1.59,1.22,0.88,3.4,3.61,2.35,90
T3,3.14,3.39,3.2,5.52,1.71,125,3.1,1.58,1.43,0.91,3.6,4.12,2.64,95
T4,3.44,3.49,3.38,5.88,1.77,122,3.2,1.54,1.89,0.79,3.7,4.75,2.88,100
T5,3.43,3.6,3.54,6.43,1.88,120,3.2,1.55,2.48,0.71,3.7,5.29,2.94,100
T6,3.44,3.73,3.52,6.66,1.96,118,3.1,1.9,2.65,0.8,3.8,5.39,2.88,95
T7,3.54,3.83,3.45,7.24,2.04,117,3,1.93,2.93,0.88,3.9,5.92,2.77,95
T8,3.62,3.94,3.51,7.53,2.07,118,3,2.04,2.37,1.06,4.2,6.78,2.63,95
T9,3.46,4.02,3.47,7.87,2.2,118,3.1,1.94,2.46,1.09,4.5,7.26,2.73,95
T10,3.53,4.08,3.58,7.66,2.18,118,3,2.02,2.46,1.19,4.65,8.18,2.93,95
T11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T13,3.15,4.13,3.97,8.3,2,115,3.4,1.85,2.33,0.98,4.5,11.6,1.88,105
T14,2.85,4.15,3.99,8.38,2.04,112,3.4,1.98,2.03,0.99,4.7,11.42,1.58,107
T15,2.77,4.22,4.12,9.1,1.95,110,3.29,2.06,1.25,0.88,4.3,11.33,1.59,99
L1,2.68,4.36,4.21,9.28,1.87,109,3.31,1.84,1.03,1.06,4.2,11.01,1.64,96
L2,2.69,4.28,4.23,9.83,1.73,110,3.27,1.73,1.01,0.97,4,10.87,1.63,92
L3,2.59,4.25,4.26,10.14,1.66,112,3.22,1.66,0.8,0.93,4.1,10.72,1.64,90
L4,2.55,4.33,4.25,9.87,1.71,108,3.24,1.78,1.16,0.95,4.5,10.51,1.56,90
L5,2.54,4.38,4.28,9.93,1.55,105,3.17,1.5,0.56,1.03,4.2,10.36,1.53,88
L6,2.49,4.33,4.39,10.18,1.6,104,2.9,1.8,0.64,1.3,4.3,10.05,1.57,85
L7,2.42,4.18,4.3,10.07,1.51,100,3.03,1.46,0.4,1.14,4.1,9.85,1.59,86
L8,2.41,4.42,4.4,9.89,1.48,98,3.09,1.41,0.56,0.96,4,9.68,1.52,86
L9,2.4,4.35,4.4,10.08,1.48,92,3.05,1.65,0.4,0.89,4.2,9.3,1.57,85
L10,2.32,4.33,4.33,10.32,1.35,88,3.04,1.39,0,0,NA,9.01,1.53,84
L11,2.44,4.23,4.4,10.15,1.4,87,3.07,1.38,0,0,NA,8.6,1.46,82
L12,2.42,4.42,4.37,10.17,1.34,89,3.15,1.46,0,0,NA,8.32,1.41,78
L13,2.33,4.2,4.52,10.03,1.26,86,3.05,1.2,0,0,NA,8.18,1.3,76
L14,2.34,4.42,4.54,9.85,1.33,85,2.87,1.52,0,0,NA,8.36,1.46,75
L15,2.21,4.18,4.53,9.5,1.24,84,2.95,1.24,0,0,NA,8.27,1.33,74
L16,2.44,4.36,4.65,9.32,1.24,82,2.96,1.49,0,0,NA,8.21,1.5,70
L17,2.38,4.32,4.68,9.12,1.21,80,2.95,1.3,0,0,NA,7.88,1.34,68
L18,2.38,4.4,4.73,8.95,1.23,80,3.03,1.41,0.29,0.42,5.5,7.56,1.35,66
L19,2.35,4.28,4.56,8.72,1.26,81,2.88,1.23,0.54,0.64,5.7,7.37,1.38,65
Ca1,2.41,4.34,4.51,8.81,1.4,80,2.71,1.34,0.85,0.98,5.6,7.4,1.4,62
Ca2,2.48,4.38,4.25,8.55,1.44,79,2.59,1.34,1.16,0.91,5.8,7.33,1.41,60
Ca3,2.46,4.59,4.5,8.21,1.37,76,2.56,1.23,1,0.86,5.5,7.05,1.4,60
Ca4,2.38,4.33,4.16,7.91,1.33,76,2.37,1.22,1.11,0.87,5.4,6.8,1.23,58
Ca5,2.3,4.42,4.29,7.62,1.57,75,2.15,1.3,1.24,0.68,5.3,6.69,1.39,60
Ca6,2.4,4.3,4.2,7.07,1.65,75,2.37,1.39,1.17,0.44,5.5,6.14,1.48,62
Ca7,2.41,4.5,4.36,6.68,1.66,73,2.12,1.39,1.33,0.75,5.1,5.83,1.48,63
Ca8,2.46,4.83,4.39,6.68,1.6,73,1.79,1.43,1.5,0.81,4.9,6.26,1.87,65
Ca9,2.5,4.61,4.38,6.4,1.61,71,1.53,1.47,1.34,0.69,4.9,5.67,2.18,66
Ca10,2.56,4.75,4.37,6.01,1.57,70,1.54,1.44,1.09,0.59,4.7,5.09,2.05,70
Ca11,2.56,4.71,4.39,5.83,1.53,65,1.47,1.41,1.12,0.49,3.9,4.19,1.86,72
Ca12,2.58,4.57,4.67,5.44,1.64,65,1.27,1.49,0.7,0.53,3.2,3.97,1.75,71
Ca13,2.7,4.68,4.54,5.96,1.71,67,1.28,1.66,0.8,0.53,3,3.41,1.63,70
Ca14,2.61,4.45,4.69,4.56,1.99,71,1.18,1.68,1.12,0.49,2.7,2.95,1.75,67
Ca15,2.67,4.26,4.56,4.21,2.04,73,0.98,1.72,0.7,0.57,2.2,2.22,1.65,65
Ca16,2.79,4.12,4.45,3.6,1.98,84,0.77,1.82,0.73,0.71,1.8,1.41,1.55,65
Ca17,2.71,3.74,4.37,3.3,1.99,88,0.68,1.78,0.67,0.65,1.7,0.76,1.3,75
Ca18,2.76,3.45,4.67,2.67,2.01,95,0.59,1.92,0.6,0.67,1.45,0,0,NA
Ca19,2.83,3.21,4.5,2,1.89,100,0.54,1.99,0.54,0.34,1.1,0,0,NA
Ca20,2.86,3.08,4.4,1.5,2.03,105,0.49,2.05,0.53,0.43,0.55,0,0,NA
Ca21,2.68,2.86,4.31,0.72,1.88,105,0.48,1.88,0.44,0.27,0.45,0,0,NA
Ca22,2.56,2.79,3.96,0.23,1.39,95,0.38,1.5,0.28,0.21,0.35,0,0,NA
Ca23,2.2,2.75,3.82,0,0,NA,0,0,0,0,NA,0,0,NA
Ca24,1.81,3.02,3.36,0,0,NA,0,0,0,0,NA,0,0,NA
