Stenella_coeruleoalba_(USNM_504384),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.07,3.81,2.74,2.27,0.74,120,2.12,1.11,0,0,NA,2.53,0.76,80
T2,1.53,3.25,2.64,3.07,0.76,128,2.14,1.38,0,0,NA,2.62,0.93,84
T3,1.97,3.05,2.69,3.14,0.78,129,2.27,1.28,0,0,NA,2.86,1.18,88
T4,2.29,2.97,2.7,3.12,0.94,129,2.28,1.3,0.34,0.57,2.4,3.03,1.43,96
T5,2.51,3.05,2.73,3.23,0.9,130,2.31,1.13,0.86,0.61,2.5,3.03,1.69,94
T6,2.68,3.07,2.76,3.33,1,128,2.47,1.15,0.87,0.7,2.9,3.34,1.74,100
T7,2.8,3.16,2.85,3.6,1.18,125,2.26,1.32,1.05,0.7,2.9,3.8,1.9,96
T8,2.84,3.24,2.89,4.33,1.21,126,2.16,1.49,1.32,0.71,2.9,4.11,1.81,92
T9,2.96,3.32,2.97,4.7,1.27,125,2.09,1.72,1.36,0.74,2.8,4.77,1.96,87
T10,2.9,3.37,3.01,5.03,1.17,120,2.16,1.62,1.27,0.83,3,5.43,1.8,85
T11,2.87,3.36,3.04,5.5,1.31,118,2.17,1.58,1.22,0.73,3.05,6,1.72,88
T12,2.91,3.36,3.13,5.81,1.38,117,2.27,1.52,1.21,0.84,3.1,6.59,1.76,90
T13,2.79,3.45,3.11,5.93,1.35,120,2.19,1.53,1.26,0.62,3.15,7.72,1.71,96
T14,2.71,3.53,3.13,6.46,1.31,120,2.37,1.41,1.22,0.54,3.05,8.79,1.52,98
T15,2.53,3.52,3.2,6.81,1.27,116,2.22,1.36,1.04,0.62,3.1,8.87,1.33,98
L1,2.39,3.42,3.24,6.97,1.18,116,2.3,1.32,0.65,0.56,3.1,8.64,1.2,97
L2,2.3,3.45,3.2,7.35,1.15,116,2.35,1.3,0.69,0.63,3.05,8.38,1.13,94
L3,2.21,3.43,3.25,7.57,1.09,115,2.23,1.34,NA,NA,3,7.91,1.21,90
L4,2.15,3.46,3.22,7.52,1.1,115,2.39,1.21,0.58,0.63,3.2,8.05,1.12,90
L5,2.13,3.38,3.27,7.62,1.04,114,2.45,1.23,0.52,0.63,3.5,7.89,1.14,85
L6,2.07,3.48,3.34,7.61,1.06,112,2.34,1.19,0.28,0.45,3.5,7.87,1.07,83
L7,2,3.48,3.25,7.62,1.06,109,2.38,1.25,0.33,0.56,3.6,7.63,0.99,84
L8,1.93,3.44,3.36,7.76,0.97,105,2.34,1.09,0.36,0.61,3.5,7.61,0.99,79
L9,1.88,3.47,3.35,7.71,0.95,96,2.37,1.1,0.24,0.42,3.65,7.32,0.91,76
L10,1.88,3.5,3.38,7.84,0.96,95,2.34,1.1,0.26,0.5,3.65,7.3,0.95,75
L11,1.81,3.53,3.27,7.87,0.89,94,2.43,0.98,0.32,0.58,3.6,7.04,0.85,76
L12,1.82,3.46,3.35,7.84,0.92,90,2.45,1.03,0,0,NA,6.98,0.97,76
L13,1.8,3.53,3.31,7.8,0.89,90,2.37,0.96,0,0,NA,6.61,0.99,75
L14,1.76,3.49,3.26,7.51,0.9,89,2.45,0.99,0,0,NA,6.29,0.84,75
L15,1.79,3.58,3.33,7.56,0.99,88,2.33,1.01,0,0,NA,6.1,0.94,74
L16,1.78,3.48,3.35,7.34,0.91,88,2.33,1.04,0,0,NA,6.09,0.87,71
L17,1.8,3.54,3.39,7.01,0.89,87,2.23,0.89,0,0,NA,5.89,0.84,68
