Sotalia_fluviatilis_(RBINS_1516),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.87,2.92,2.49,2.23,0.89,105,2.5,0.8,0,0,NA,1.93,0.92,80
T2,1.03,2.96,2.45,3.03,1.02,113,2.3,1.08,0,0,NA,2.36,1.2,90
T3,1.7,2.75,2.59,3.49,0.95,112,2.4,1.36,0.31,0.55,2.4,2.45,1.3,90
T4,2,2.64,2.79,3.32,1.12,110,2.5,1.42,0.6,0.72,2.5,2.61,1.56,100
T5,2.24,2.29,2.45,3.8,1.39,110,2.45,1.71,1.14,0.85,2.65,2.77,1.83,102
T6,2.32,2.48,2.35,3.71,1.5,105,2.4,1.22,1.55,1.09,3.3,2.99,1.94,110
T7,2.36,2.47,2.38,3.81,1.44,100,2.5,1.6,1.8,1.11,3.3,2.6,1.85,110
T8,2.21,2.52,2.35,4.1,1.59,103,2.2,1.59,1.7,1.11,3.35,3.11,1.83,108
T9,2.39,2.59,2.38,4.5,1.59,105,2.3,1.65,1.76,1.28,3.4,3.16,2.16,110
T10,2.55,2.6,2.49,NA,1.49,105,2.3,1.25,1.63,1.23,3.35,3.34,2.14,112
T11,2.21,2.51,2.49,5,1.72,102,2.4,1.38,NA,NA,NA,4.69,1.79,110
T12,2.29,2.54,2.55,5.65,1.7,104,2.55,1.46,1.75,0.97,3.5,5.23,1.77,106
L1,2.39,2.79,2.65,5.8,1.51,105,2.5,1.51,1.82,0.86,3.6,5.37,1.65,100
L2,2.43,2.67,2.58,6.1,1.42,102,2.5,1.48,1.29,0.94,3.5,5.46,1.48,95
L3,2.3,2.69,2.7,6.2,1.47,101,2.2,1.45,1.56,0.82,3.6,5.76,1.59,95
L4,2.26,2.77,2.86,6.1,1.45,100,2.25,1.5,1.39,0.72,3.5,5.59,1.67,92
L5,2.28,2.73,2.84,6,1.43,100,2.3,1.4,1.02,0.99,3.25,5.33,1.79,85
L6,2.51,2.79,2.88,5.8,1.51,96,2.2,1.46,1.18,0.77,3.3,5.17,1.8,85
L7,2.48,2.79,2.88,5.5,1.5,90,2.4,1.39,0.79,0.76,3.1,5.33,1.55,85
L8,2.38,3,2.99,5.5,1.52,85,2.4,1.43,0.55,0.58,3.4,5.23,1.5,90
L9,2.43,3.05,3.05,5.6,1.51,82,2.2,1.35,0.76,0.67,3.45,5.02,1.53,90
L10,2.33,2.88,3.06,5.45,1.56,83,2.25,1.44,0.94,0.84,3.5,4.97,1.42,88
L11,2.41,2.99,3.1,5.3,1.48,82,2.05,1.46,1,0.68,3.9,4.57,1.58,85
Ca1,2.52,3.06,3.2,4.9,1.59,80,2,1.5,1.05,0.51,3.7,4.05,1.56,85
Ca2,2.31,3.29,3.35,4.5,1.64,75,1.85,1.6,1.16,0.48,3.5,4.09,1.73,88
Ca3,2.59,3.12,3.24,4.45,1.51,73,1.65,1.55,0.98,0.61,3.8,3.89,1.98,85
Ca4,2.5,3.15,3.35,4.2,1.5,75,1.7,1.61,1.2,0.65,3.45,3.74,1.99,82
Ca5,2.41,3.06,3.99,4.25,1.57,77,1.5,1.62,1.3,0.77,3.3,3.58,2.28,84
Ca6,2.58,3.37,3.75,4.15,1.61,82,1.2,1.65,1.33,0.83,2.8,3.25,2.52,85
Ca7,2.68,3.06,3.84,4.2,1.6,85,0.8,1.59,1.2,1.19,3,2.66,2.22,80
Ca8,2.47,3.13,3.72,3.9,1.4,91,0.85,1.6,1.27,1.09,2.45,2.25,2.26,84
Ca9,2.64,3.07,3.65,3.5,1.65,95,0.6,1.73,1.22,1.07,2.1,2.06,2.13,83
Ca10,2.56,3.18,3.6,2.95,1.66,98,0.75,1.94,1.12,0.97,1.8,1.61,1.33,82
Ca11,2.67,3.02,3.66,2.45,1.7,102,0.7,1.88,0.82,0.76,1.45,0.95,1.07,81
Ca12,2.68,2.85,3.78,NA,NA,NA,0.5,1.7,NA,NA,NA,0.51,1.07,85
Ca13,2.69,2.84,3.91,NA,NA,NA,0.45,NA,NA,NA,NA,0,0,NA
Ca14,2.39,2.65,3.6,1.4,1.84,98,0.25,1.67,0.62,0.32,0.45,0,0,NA
Ca15,2.27,2.75,3.53,0.4,1.22,95,0.2,1.53,0,0,NA,0,0,NA
Ca16,1.93,2.8,3.11,0,0,NA,0,0,0,0,NA,0,0,NA
