Sotalia_fluviatilis_(RBINS_20.137),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.2,3.36,2.33,2.75,1.06,108,2.5,1.08,0,0,NA,1.88,1.18,90
T2,1.66,2.49,2.25,3.34,1.12,108,2.75,1.49,0,0,NA,1.84,1.22,93
T3,2.15,2.33,2.33,3.61,1.21,107,2.3,1.99,0.82,0.41,1.66,1.99,1.46,92
T4,2.46,2.33,2.35,4.02,1.4,100,2.8,2.09,1.11,0.74,2.58,2.03,1.51,96
T5,2.65,2.35,2.45,4.28,1.6,97,2.7,2.07,1.25,0.82,2.72,2.38,1.72,98
T6,2.68,2.41,2.78,4.34,1.8,93,2.2,1.37,1.61,0.76,2.8,2.65,2,96
T7,2.79,2.58,2.56,4.64,1.88,88,2.7,1.59,1.74,0.92,2.85,2.88,1.85,103
T8,2.86,2.51,2.51,5.02,1.85,95,2.8,1.89,1.68,1.15,2.9,3.02,1.89,105
T9,2.82,2.5,2.65,5.15,2.01,102,2.85,2.01,1.65,1.13,2.9,3.48,2.04,106
T10,2.74,2.52,2.58,5.79,1.73,108,2.75,1.69,1.58,1.13,3.05,4.12,2.27,104
T11,2.84,2.46,2.59,6.09,1.79,100,2.7,1.9,1.57,0.82,2.95,4.36,2.13,105
T12,2.77,2.65,2.6,6.37,1.93,106,2.75,1.75,1.44,0.97,3.25,6.52,1.74,103
L1,2.83,2.75,2.59,6.52,1.75,107,3.15,1.74,1.56,0.8,2.97,6.58,2.14,104
L2,2.81,2.81,2.65,6.6,1.77,108,3.26,1.69,1.26,0.8,3.14,6.55,1.88,96
L3,2.81,2.87,2.66,6.45,1.94,108,2.98,1.71,1.33,1.05,3.27,6.58,1.89,93
L4,2.88,2.92,2.83,6.52,1.93,106,2.81,1.76,1.35,1.03,3.37,6.72,2,90
L5,2.81,2.98,2.79,6.57,1.94,104,2.86,1.76,1.07,0.86,3.61,6.34,2.07,90
L6,2.76,2.89,2.95,6.62,1.87,102,2.7,1.49,0.71,0.93,3.4,6.1,1.97,90
L7,2.79,3.04,2.93,6.16,1.85,93,2.59,1.53,0.67,1.03,3.42,6.02,1.8,94
L8,2.89,3.04,3.11,6.51,1.85,82,2.41,1.45,0.4,1.1,3.64,5.79,1.67,90
L9,2.87,3.08,3.07,6.15,1.83,86,2.28,1.43,0.45,1.02,3.77,5.61,1.52,90
L10,2.81,3.11,3.14,5.67,1.76,82,2.2,1.55,0.65,0.8,4.09,5.63,1.61,90
L11,2.87,3.21,3.26,5.25,1.85,82,2.43,1.52,0.8,0.94,4,5.23,1.69,90
L12,2.8,3.25,3.52,5.07,1.7,81,2.3,1.57,0.86,0.88,4.06,5.09,1.57,90
Ca1,2.87,3.26,3.41,4.8,1.57,79,2.75,1.65,1.09,0.92,4.03,4.98,1.66,90
Ca2,2.97,3.26,3.52,4.42,1.52,79,2.42,1.67,1.21,1.33,3.91,4.66,2.25,88
Ca3,2.85,3.26,3.67,4.6,1.6,85,1.81,1.78,1.36,1.03,3.53,4.43,2.36,82
Ca4,2.85,3.38,3.58,4.53,1.65,85,1.67,1.87,1.31,1.21,3.24,4.09,2.45,80
Ca5,2.93,3.52,3.73,4.47,1.7,87,1.17,1.89,1.15,1.12,3.01,3.59,2.33,76
Ca6,2.89,3.45,3.72,4.56,1.73,90,0.93,1.89,1.04,0.99,2.67,2.81,2.19,73
Ca7,2.89,3.52,3.81,4.11,1.71,90,0.8,1.87,1.12,1.03,2.16,2.22,1.81,69
Ca8,2.91,3.44,3.82,3.69,1.75,90,0.67,1.99,1.03,0.81,1.7,1.43,1.64,67
Ca9,2.87,3.34,3.66,3.06,1.84,95,0.58,2.04,0.9,0.7,1.4,0.74,1.46,NA
Ca10,2.81,3.08,3.78,1.54,1.48,105,0.53,1.91,0.45,0.85,1.19,0,0,NA
Ca11,2.72,3.12,3.91,1.26,1.31,106,0.47,1.88,0.54,0.71,0.83,0,0,NA
Ca12,2.76,3.02,3.85,1.21,1.46,105,0.45,1.68,0.5,0.53,0.5,0,0,NA
Ca13,2.54,2.84,3.89,0.86,1.76,105,0.32,1.63,0,0,NA,0,0,NA
Ca14,2.11,2.02,3.18,0,0,NA,0.16,1.21,0,0,NA,0,0,NA
