Stenella_longirostris_(USNM_500017),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.66,2.71,2.14,0.71,0.39,108,2.03,0.64,0,0,NA,1.77,0.74,70
T2,1.1,2.65,2.09,2.52,0.52,125,1.88,0.99,0,0,NA,1.94,0.88,78
T3,1.45,2.43,2.03,3.09,0.65,131,1.8,1.3,0,0,NA,2.06,1.02,93
T4,1.87,2.26,2,3.24,0.79,132,1.97,1.04,0.36,0.37,2,2.05,1.09,98
T5,2.13,2.19,1.93,3.18,0.9,133,2.06,0.96,0.82,0.41,2,2.16,1.14,98
T6,2.28,2.22,2.04,3.53,0.87,133,2.01,0.96,0.96,0.39,2.1,2.09,1.41,100
T7,2.43,2.23,2.09,3.73,0.92,128,2.14,0.81,1.22,0.31,2.05,2.41,1.49,106
T8,2.47,2.26,2.13,3.96,0.89,125,2.04,0.9,1.43,0.43,2.35,2.42,1.53,105
T9,2.53,2.31,2.16,4.57,0.99,124,2.09,1.1,1.4,0.42,2.45,2.77,1.37,100
T10,2.55,2.33,2.18,4.89,1.05,123,2.25,1.27,1.8,0.68,2.9,3.41,1.41,94
T11,2.54,2.47,2.25,4.92,1.13,122,2.15,1.37,1.51,0.78,3.25,4.04,1.42,95
T12,2.46,2.54,2.21,5.09,1.26,116,2.24,1.31,1.72,0.82,3.5,4.57,1.56,102
T13,2.46,2.55,2.22,5.15,1.27,112,2.2,1.27,1.58,0.76,3.6,5.38,2.03,106
T14,2.44,2.6,2.26,5.44,1.3,108,2.19,1.32,1.59,0.74,3.7,6.94,1.89,110
T15,2.26,2.57,2.23,5.48,1.27,102,2.21,1.27,1.42,0.57,3.6,7.71,1.52,116
L1,2.11,2.62,2.27,5.99,1.19,96,2.14,1.23,1.39,0.47,3.4,7.56,1.26,108
L2,2.04,2.62,2.25,6.29,1.02,94,2.17,1.17,1.27,0.43,3.45,7.57,1.23,107
L3,2.01,2.62,2.3,6.43,1,91,2.23,1.1,1.23,0.43,3.35,7.56,1.24,104
L4,1.94,2.58,2.41,6.39,0.99,88,2.16,1.07,0.68,0.46,3.05,7.48,1.18,100
L5,1.89,2.6,2.4,6.29,0.96,87,2.05,1.1,0.63,0.44,2.85,7.37,1.14,96
L6,1.84,2.57,2.43,6.52,0.99,85,1.97,1.06,0.49,0.45,2.8,7.11,1.17,90
L7,1.77,2.58,2.53,6.71,1.01,83,1.9,1.06,0.28,0.41,2.4,6.88,1.12,87
L8,1.7,2.66,2.48,6.39,0.93,79,1.88,1.04,0.27,0.31,2.6,6.64,1.08,85
L9,1.65,2.6,2.51,7,0.91,76,1.81,1,0.17,0.36,2.5,6.38,1.11,83
L10,1.68,2.65,2.56,6.91,0.92,74,1.87,1.07,0,0,NA,6.22,1.03,85
L11,1.64,2.62,2.54,6.82,0.92,73,1.76,0.97,0,0,NA,6.04,1.03,82
L12,1.66,2.72,2.53,6.8,0.93,70,1.67,1.05,0,0,NA,5.97,0.99,82
L13,1.68,2.69,2.57,6.63,0.89,67,1.71,0.99,0,0,NA,5.87,0.91,80
