Sousa_plumbea_(PEM_N1266),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.71,3.36,3.09,3.34,1,110,2.54,1.26,0,0,NA,2.71,1.47,78
T2,2.42,3.39,3.03,3.92,1,113,2.48,1.56,0,0,NA,2.89,1.57,82
T3,2.89,3.28,3.18,4.31,1.64,110,2.57,1.45,0,0,NA,2.76,1.71,80
T4,3.28,3.14,2.95,4.57,1.82,108,2.88,1.37,0.82,0.62,2.6,2.91,1.78,87
T5,3.56,3.29,2.96,4.88,2.1,110,2.78,1.5,1.14,0.89,2.75,2.61,1.9,92
T6,3.8,3.36,3.25,5.1,2.16,107,2.95,1.69,1.5,0.99,3.35,2.87,2.16,95
T7,3.97,3.6,3.22,5.75,2.48,110,3.14,2.08,1.6,0.93,3.3,2.66,2.11,95
T8,4.16,3.76,3.26,6.38,2.61,109,3.02,2.21,1.81,1.2,3.5,3.09,2.36,94
T9,4.28,3.82,3.35,6.95,2.69,108,2.95,2.31,1.99,1.41,4.1,3.64,2.6,92
T10,4.23,3.73,3.25,7.4,2.71,106,2.85,2.27,2.12,1.33,4.2,4.23,2.46,93
T11,4.2,3.66,3.33,7.53,2.54,107,2.88,2.14,2.43,1.31,4.3,4.8,2.99,97
T12,4.25,3.69,3.41,7.71,2.57,104,2.83,2.14,2.1,1.33,4.3,6.94,2.85,102
L1,4.14,3.69,3.44,7.76,2.47,101,3.08,2.1,1.77,1.22,4.5,8.24,3,95
L2,4.08,3.72,3.58,7.99,2.37,94,2.95,1.95,1.86,1.24,4.4,8.59,2.74,95
L3,4.09,3.76,3.73,7.78,2.4,90,2.89,1.97,1.72,1.03,4.55,8.8,2.79,94
L4,4.16,3.73,3.85,8.08,2.38,89,2.86,1.81,1.72,0.84,4.5,8.96,2.57,92
L5,4.11,3.88,3.77,7.72,2.45,87,2.97,1.81,0.94,1.11,4.2,8.88,2.54,90
L6,4.11,3.84,3.85,7.87,2.3,86,3.13,1.75,0.77,0.89,4.3,8.66,2.57,86
L7,4.17,3.95,3.85,7.55,2.35,84,3.12,1.64,0.63,0.82,4.3,8.37,2.35,76
L8,4.18,3.97,4.06,7.33,2.46,83,3.23,1.78,0.64,0.81,4.5,8.11,2.26,75
L9,4.28,4.14,4.15,7.16,2.77,80,3.07,1.82,0.65,0.72,4.5,7.59,2.47,77
Ca1,4.25,4.14,4.48,6.43,2.72,82,3.14,1.93,1.62,0.94,4.6,7.07,2.77,80
Ca2,4.41,4.31,4.63,5.82,2.92,81,3.03,2.07,1.64,0.97,5.1,7.06,2.97,86
Ca3,4.24,4.39,4.62,5.73,2.77,80,2.88,2.44,1.5,1.08,5.3,6.59,3.31,88
Ca4,4.25,4.52,4.79,6.29,2.53,78,2.52,2.56,1.5,1.18,5.4,6.15,3.4,90
Ca5,4.01,4.9,4.79,5.32,2.73,76,2.31,1.94,1.5,1.1,5.5,5.46,3.64,87
Ca6,3.51,5.31,5,5.24,3.01,80,2.1,1.82,1.28,1.15,5.2,5.12,3.69,87
Ca7,3.64,5.39,5.19,4.77,2.81,86,1.43,1.95,0.97,1.11,4.4,3.5,3.09,88
Ca8,4.3,4.96,4.78,4.85,3.27,86,1.23,2.83,0.97,0.8,3.5,3.49,3.32,83
Ca9,4.55,4.36,4.52,4.56,3.03,88,0.96,2.43,1.1,0.77,3.3,3.31,2.2,75
Ca10,4.65,4.1,4.42,3.63,3.16,94,0.72,2.54,1.02,0.76,2.7,1.82,1.71,70
Ca11,4.67,3.75,4.38,2.78,3.2,105,0.83,2.55,0.83,0.43,1.8,0.77,1.59,80
Ca12,4.54,3.41,4.22,1.72,2.73,110,0.67,2.46,0.75,0.5,1.3,0,0,NA
Ca13,4.29,3.24,3.94,0.59,1.5,100,0.56,1.98,0,0,NA,0,0,NA
Ca14,3.15,3.49,4.1,0,0,NA,0,0,0,0,NA,0,0,NA
