Tursiops_aduncus_(SAM_ZM38240),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.36,3.94,3.2,2.35,0.82,128,2.84,1.13,0,0,NA,2.63,1.31,70
T2,1.83,4,3.15,3.51,0.94,131,3.2,1.24,0,0,NA,2.86,1.52,73
T3,2.28,3.6,3.14,3.83,1,135,3.22,1.71,0,0,NA,3.1,1.66,78
T4,2.71,3.37,3.23,4.37,1.26,136,3.52,1.75,0.56,0.6,3.2,2.66,2.02,95
T5,3.13,3.21,3.18,4.74,1.49,132,3.49,1.82,0.98,0.73,3.5,2.65,2.08,100
T6,3.46,3.32,3.37,4.52,1.53,130,3.46,1.7,1.25,0.99,4.1,3.38,2.18,102
T7,3.6,3.3,3.49,5.19,1.84,130,3.49,1.54,1.99,0.69,4,4.08,2.36,100
T8,3.74,3.4,3.51,5.83,2.27,125,3.45,1.95,2.06,0.79,3.8,4.24,2.66,95
T9,3.65,3.55,3.57,6.45,2.19,120,3.3,1.87,1.88,0.79,4.1,5.05,2.73,92
T10,3.65,3.63,3.66,7.38,2.02,113,3.19,2.08,1.87,0.9,4.6,5.66,2.84,95
T11,3.66,3.7,3.74,7.74,2.29,117,3.02,2.05,1.82,1.18,4.7,7.23,3.14,97
T12,3.53,3.99,3.71,8.41,2.32,118,3.08,1.87,1.95,1.11,4.8,8.44,2.87,100
T13,3.58,4.11,3.79,8.84,2.23,113,3.22,1.96,1.64,1.02,4.85,10.6,2.51,100
L1,3.48,4.17,3.83,9.18,2.24,107,3.04,1.74,0.64,1.07,4.8,10.15,2.18,100
L2,3.53,4.22,3.93,9.35,2.15,102,3.03,1.68,0.6,0.81,5.05,9.65,2.22,98
L3,3.49,4.19,4.03,9.65,2.14,96,3.14,1.75,0.42,1,4.3,9.31,2.21,92
L4,3.51,4.33,4.14,9.85,2.04,93,3.11,1.65,0.43,1.04,4.9,9.18,2.28,90
L5,3.47,4.3,4.21,10.24,2.12,90,3.19,1.74,0.42,0.84,5.1,8.8,2.42,87
L6,3.46,4.39,4.35,10.24,2.11,88,3.09,1.74,0,0,NA,8.63,2.36,85
L7,3.45,4.48,4.37,10.09,2,85,3.25,1.69,0,0,NA,8.69,2.28,82
L8,3.42,4.5,4.38,9.81,2.13,82,3.01,1.79,0,0,NA,8.49,2.21,80
L9,3.37,4.63,4.41,9.65,2.22,80,3.21,1.58,0,0,NA,8.38,2.03,80
L10,3.43,4.68,4.44,9.44,2.29,80,3.05,1.67,0,0,NA,8.12,2.05,83
L11,3.46,4.74,4.56,9.2,2.34,80,3.14,1.66,0,0,NA,7.93,2.1,82
L12,3.51,4.79,4.69,8.63,2.4,78,2.94,1.76,0,0,NA,7.55,2.17,78
L13,3.57,4.78,4.75,8.66,2.56,76,2.92,1.88,0,0,NA,7.36,2.14,75
L14,3.58,4.87,4.9,8.06,2.69,75,2.55,1.94,0,0,NA,6.93,2.11,70
Ca1,3.57,5.07,4.99,7.75,2.8,74,2.55,2.18,0.57,0.75,5.7,6.56,2.16,68
Ca2,3.67,5.08,4.86,7.31,2.94,75,2.37,2.1,0.51,0.62,5.75,6,2.39,70
Ca3,3.75,5.02,4.84,7.05,3.19,75,2.35,2.07,0.33,0.6,5.4,5.86,2.56,70
Ca4,3.83,5.03,5,6.35,3.11,75,2.16,2.18,0.8,0.63,5.25,5.12,2.46,67
Ca5,3.89,5.05,5.01,6.01,3.39,75,1.99,2.15,0.7,0.77,4.8,4.97,2.82,60
Ca6,4,5.13,5.14,6.04,3.05,77,1.59,2.3,0.64,0.77,4.4,4.67,2.74,58
Ca7,4.06,5.07,5.03,5.21,3.47,80,1.37,2.31,0.87,0.93,3.8,3.96,2.7,60
Ca8,4.22,4.94,5.06,5.44,3.43,85,1.03,2.45,0.9,0.82,3.45,3.34,2.9,60
Ca9,4.26,4.85,4.89,5.38,2.92,86,1.04,2.37,0.95,0.72,3.1,2.38,2.15,60
Ca10,4.31,4.76,5.07,4.67,3.47,90,0.98,2.67,1.13,0.66,2.95,1.72,2.13,65
Ca11,4.36,4.63,4.96,4.36,3.37,94,0.77,2.75,0.86,0.62,2.45,1.33,1.58,75
Ca12,4.33,4.44,5.02,3.62,3.6,100,0.71,2.9,0.96,0.61,2,0.46,1.32,80
Ca13,4.45,4.14,4.87,2.75,3.2,103,0.62,2.81,0.92,0.75,1.4,0,0,NA
Ca14,4.44,3.83,4.79,1.41,2.83,108,0.56,2.96,0.85,0.5,0.95,0,0,NA
Ca15,4.18,3.67,4.61,1.12,2.83,110,0.51,3.01,0.48,0.5,0.8,0,0,NA
Ca16,3.89,3.53,4.28,0,0,NA,0.42,2.62,0.58,0.24,0.45,0,0,NA
Ca17,2.87,3.84,3.69,0,0,NA,0,0,0,0,NA,0,0,NA
