Tursiops_aduncus_(SMNS_45711),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.18,3.42,2.46,2.54,0.73,125,2.8,0.94,0,0,NA,1.75,1,70
T2,1.5,3.12,2.63,NA,0.87,125,3.1,1.17,0,0,NA,1.64,1.4,75
T3,2.04,2.84,2.65,3.31,0.92,128,3.1,1.58,0,0,NA,1.56,1.64,82
T4,2.54,2.72,2.53,3.16,0.98,132,3,1.82,0,0,NA,1.8,1.93,90
T5,2.92,2.78,2.61,3.21,0.94,128,3.2,1.74,0.85,0.65,3.3,1.85,1.7,95
T6,3.07,2.71,2.69,3.7,1.34,115,3.2,1.52,0.93,0.76,3.2,2,1.91,100
T7,3.09,2.74,2.76,3.66,1.5,114,3.2,1.43,1.16,0.57,3.2,2.62,1.99,106
T8,3.17,2.86,2.76,4.17,1.72,110,3.2,1.58,1.43,0.81,3.3,3,1.72,100
T9,3.15,2.88,2.77,4.4,1.68,112,3.2,1.63,1.39,1.01,3.46,3.65,1.52,97
T10,2.97,2.95,2.73,4.95,1.64,110,3.1,1.61,1.45,0.88,3.56,4.31,1.63,93
T11,3,3.02,2.73,5.28,1.81,110,3,1.56,1.51,0.87,3.5,5.4,1.77,96
T12,3.14,3.12,2.74,5.4,1.7,110,3.06,1.62,1.34,0.91,3.65,6.61,1.88,103
T13,2.9,3.27,2.82,6.36,1.8,108,3.14,1.6,1.16,0.92,3.86,7.08,1.7,100
L1,2.85,3.21,2.83,7.03,1.62,105,3.01,1.51,1.14,0.88,3.76,7.1,1.55,98
L2,2.84,3.42,2.95,7.04,1.6,100,3.07,1.33,0.9,0.8,3.91,7.04,1.45,95
L3,2.76,3.49,3.01,7.12,1.47,94,3.17,1.33,0.37,0.74,3.87,6.96,1.6,92
L4,2.71,3.65,3.1,7.32,1.58,88,2.89,1.36,0.33,0.7,3.96,6.76,1.58,90
L5,2.78,3.58,3.15,7.37,1.45,85,2.79,1.31,0,0,NA,6.58,1.59,90
L6,2.62,3.7,0.18,7.41,1.55,81,2.8,1.38,0,0,NA,6.5,1.69,88
L7,2.65,3.68,3.08,7.35,1.49,80,2.77,1.22,0,0,NA,6.39,1.47,88
L8,2.66,3.6,3.17,6.57,1.33,78,2.86,1.14,0,0,NA,6.32,1.43,85
L9,2.81,3.42,3.27,6.95,1.32,72,2.81,1.16,0,0,NA,6.25,1.48,88
L10,2.76,3.6,3.32,6.23,1.39,70,2.7,1.15,0,0,NA,6.07,1.43,85
L11,2.71,3.69,3.35,6.1,1.43,70,2.67,1.23,0,0,NA,5.73,1.5,85
L12,2.73,3.73,3.48,5.67,1.52,70,2.42,1.29,0,0,NA,5.56,1.43,82
L13,2.71,3.79,3.55,5.36,1.65,70,2.27,1.48,0,0,NA,5.29,1.52,77
L14,2.7,3.8,3.56,4.46,1.75,70,2.28,1.46,0,0,NA,4.87,1.54,75
Ca1,2.94,3.89,3.97,3.85,2.09,73,2.09,1.54,0.39,0.85,3.69,4.52,1.53,70
Ca2,2.8,3.85,3.71,3.58,2.04,72,2.3,1.53,0.41,0.86,3.64,4.63,1.49,70
Ca3,2.88,3.95,3.81,3.91,1.94,76,2.19,1.56,0.47,0.79,3.96,4.48,1.69,70
Ca4,2.97,3.98,3.74,3.38,1.86,75,2.02,1.58,0.44,0.69,3.36,4.1,1.67,68
Ca5,3.01,4,3.96,3.53,1.87,76,1.8,1.6,0.58,0.6,3.29,3.45,1.75,70
Ca6,3.03,4.09,4.14,2.63,1.99,78,1.32,1.68,0.49,0.82,3.06,3.49,1.94,68
Ca7,3.08,3.96,4.31,3.01,1.86,82,1.14,1.71,0.44,0.66,2.93,3.08,1.58,69
Ca8,3.11,4.22,4.16,3.15,1.92,85,0.99,1.85,0.45,0.72,2.7,2.59,1.49,65
Ca9,3.16,4.02,4.02,3.01,1.76,94,0.91,2,0.55,1,2.31,2.21,1.25,62
Ca10,3.18,3.82,3.97,2.81,1.8,95,0.78,2.06,0.6,0.87,2.23,1.2,1.06,60
Ca11,3.27,3.69,3.92,2.53,1.89,106,0.7,2.31,0.79,0.87,1.79,0.77,1.1,60
Ca12,3.4,3.44,4.16,1.77,1.73,105,0.49,2.43,0.78,0.7,1.32,0.42,0.86,65
Ca13,3.56,3.25,4.26,1.28,1.56,110,0.4,2.4,0.97,0.76,0.87,0,0,NA
Ca14,3.61,3.18,4.2,0.67,1.53,110,0.38,2.39,0.49,0.53,0.51,0,0,NA
Ca15,3.43,3.04,3.77,0,0,NA,0.39,2.03,0,0,NA,0,0,NA
Ca16,2.82,3.13,3.78,0,0,NA,0,0,0,0,NA,0,0,NA
