Tasmacetus_shepherdi_(USNM_484878),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.45,10.39,8,15.95,3.27,107,6.76,3.5,0,0,NA,4.13,2.29,77
T2,4.82,10.04,7.47,21.35,6.04,108,6.67,4.84,0,0,NA,5.28,3.16,77
T3,6.53,9.97,6.85,NA,5.43,107,6.81,6.36,0,0,NA,4.82,3.37,75
T4,7.92,9.72,6.99,25.15,6.09,109,6.72,5.88,0.99,1.09,6,4.03,3.99,74
T5,8.95,9.68,7.08,26.5,6.69,107,6.98,5.64,1.7,1.32,8.7,3.41,4.3,75
T6,9.72,9.72,7.18,28,7.54,108,6.65,5.57,2.02,1.52,8.7,3.37,4.12,77
T7,10.72,10.43,7.43,29.35,8.69,109,6.91,6.12,4.15,1.95,8.85,3.43,4.3,88
T8,11.71,10.82,7.38,30.35,8.68,109,6.77,7.12,5.91,2.95,9,0,0,NA
T9,13.24,11.24,7.84,31.5,9.3,107,6.85,8.23,6.52,3.54,9.35,6.48,8.22,85
T10,13.81,11.19,8.42,32.35,9.84,105,6.93,8.43,7.03,4.69,8.7,11.48,8.82,81
L1,14.56,11.22,8.89,32.8,10.52,102,6.62,8.69,6.22,4.18,8.1,13.07,8.9,70
L2,15.05,11.18,9.19,33,10.77,100,6.42,8.96,6.11,4.4,8.1,12.36,8.11,64
L3,15.3,11.4,9.24,33.4,11.38,96,6.45,8.87,5.98,4.27,8,11.86,7.7,63
L4,15.8,11.87,9.61,34.2,11.56,97,6.12,9.26,6.08,4.17,8.5,11.45,8.22,61
L5,16.4,12.23,9.92,35,11.94,97,5.97,9.54,6.02,4.11,8.1,11.15,8,62
L6,17.65,12.46,10.3,36.3,11.94,99,6.09,10.54,5.75,4.62,8.55,11.03,8.59,63
L7,18.85,12.86,10.58,36.8,12.72,100,5.53,11.06,5.22,4.55,7.9,11.29,8.07,65
L8,19.6,13.47,10.95,36.8,12.22,103,4.85,11.55,4.95,4.46,7.8,10.9,7.94,60
L9,20.15,13.75,11.32,37.35,12.95,102,4.91,11.78,4.4,4.56,7.35,10.98,8.34,66
L10,20.9,14.12,11.67,35.4,12.49,104,4.86,12.01,3.87,5.13,7.4,10.57,8.93,71
Ca1,20.5,14.53,12.35,32.65,12.9,105,4.92,12.13,3.86,5.18,7.2,10.24,9.65,69
Ca2,20.25,14.71,13.07,31.5,13.47,104,4.34,12.53,3.24,4.81,7,8.88,8.2,69
Ca3,18.85,13.99,13.27,28.5,13.06,103,4.02,11.84,3.14,4.75,7.1,7.16,8.08,67
Ca4,17.7,13.95,13.92,25.15,11.35,104,3.48,11.59,2.54,3.41,6,6.8,8.44,70
Ca5,16.6,13.76,14.23,20.4,12.13,104,2.98,10.11,2.24,2.24,5.8,6.06,8.38,75
Ca6,15.75,13.86,14.26,15.85,10.77,106,2.84,9.7,2.42,2.18,4.7,4.32,7.99,72
Ca7,15.3,13.43,14.32,12.75,9.15,110,1.55,8.55,2.53,1.87,3.65,2.34,4.39,75
Ca8,14.51,12.78,14.96,9.65,8.58,111,1.59,8.32,2.42,1.28,2.85,0.91,2,80
Ca9,13.69,11.53,13.92,5.75,7.65,107,1.23,8.21,2.27,1.18,1.5,0,0,NA
Ca10,11.74,10.97,12.89,2.8,7.92,110,0.86,7.11,2.05,1.06,1.25,0,0,NA
Ca11,8.93,10.73,11.29,1.2,4.26,100,0.63,4.34,0,0,NA,0,0,NA
Ca12,7.04,10.17,9.88,0,0,NA,0,0,0,0,NA,0,0,NA
