Tasmacetus_shepherdii_(SAM_ZM40484),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,4.3,9.4,8.3,16.5,5.45,100,7.3,4.78,0,0,NA,7.6,3.6,45
T2,5.3,8.8,7.6,21.5,5.16,105,7.36,5.87,0,0,NA,7.5,3.73,55
T3,6.7,8.7,7.4,25.7,6.38,105,7.44,7.29,2.5,2.29,6.7,5.6,3.11,80
T4,8.2,9.3,7.2,26.7,7.65,100,7.59,6.69,3.8,2.03,8.8,4.5,3.62,95
T5,8.8,8.9,7.5,27,8.17,108,7.2,7.03,4.2,2.31,8,3.9,3.58,100
T6,9.5,9,7.4,28.1,9.08,105,6.92,6.75,5.2,2.55,9.3,4.4,4.01,105
T7,10.6,9.8,7.5,29.9,9.65,100,6.19,7.58,6.2,3.24,9.4,4.8,3.74,100
T8,12.5,11,7.5,31.5,11.04,100,6.26,8.22,7.6,4.51,9.75,4.9,7.64,95
T9,13.4,11.5,7.6,31.7,10.84,100,5.79,8.33,7.7,5.17,9.7,7.4,9.81,95
T10,14.3,11.5,8.5,32.5,11.81,97,5.77,8.81,7.8,5.58,9.6,13.5,10.81,50
L1,15.2,12,9.3,32.7,12.13,95,6.06,9.57,7.7,5.32,9.3,13.3,9.97,55
L2,15.6,12.3,9.5,33.3,12.64,93,5.76,9.81,6.7,5.28,9.8,13.7,9.59,60
L3,16.2,12.5,10,34.9,12.43,92,5.9,9.8,7.4,6.28,10,12.7,9.52,60
L4,17.2,12.8,10.5,35,12.69,93,5.75,10.51,5.5,6.45,10,12.8,8.77,60
L5,18.3,13,11.5,35.7,12.66,94,5.15,11.18,5,6.07,9.4,12.2,9.92,60
L6,19.4,13.3,11.4,36.7,14,93,4.45,12.05,5.9,6.8,9.4,12.3,9.55,55
L7,20,13.4,12,37.3,14.47,96,4.32,12.06,5.2,6.85,9.1,11.8,9.49,60
L8,20.3,14,12.3,37.1,14.68,96,4.2,11.33,4.9,6.52,7.8,10.8,10,65
L9,20.8,14.3,12.7,35.7,14.07,100,3.91,11.64,4.6,6.16,7,11.2,10.34,70
L10,21,15,13,33.3,12.56,104,4.64,11.73,3.8,5.99,6,9.6,9.68,65
Ca1,20.3,15,13.4,30.9,14.39,105,3.96,12.19,3.7,5.83,6.1,6.5,10.48,70
Ca2,19,14.8,13.6,27.2,13.47,104,3.92,12.33,3.8,5.25,6.7,6.4,7.17,60
Ca3,17.5,14.9,12.9,23.5,13.08,105,3.48,11.04,3.7,3.61,5.7,6.2,7.82,65
Ca4,16.5,14.9,14,20.5,12.03,110,2.21,10.38,3,3.67,4.8,5.1,7.38,75
Ca5,15.7,14.7,14.2,15.5,10.04,111,1.82,10.08,3.6,3.98,3.4,3.4,7.94,70
Ca6,15,14.4,14,11.8,9.53,111,1.45,9.99,3.5,2.5,2,1.6,8.43,75
Ca7,14,13.5,13.5,7.8,7.93,115,1.5,10.3,3.4,1.88,1.6,0,0,NA
Ca8,13.4,12.5,14,4.9,8.57,115,1.22,9.84,3.9,1.64,1.1,0,0,NA
Ca9,11.5,11.5,13,2.3,7.86,110,1.05,8.51,2.8,1.05,0.45,0,0,NA
Ca10,8.7,10.8,12,0,0,NA,0.87,3.35,0,0,NA,0,0,NA
