Tursiops_truncatus_(SAM_ZM35678),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.64,3.96,3.55,4.48,0.63,128,2.77,1.26,0,0,NA,3.01,1,85
T2,2,4.43,4.01,4.57,0.97,128,2.97,1.87,0,0,NA,3.27,1.59,92
T3,2.78,3.69,3.46,4.77,1.27,134,3.43,2,0.52,0.51,2.9,3.24,1.9,95
T4,3.21,3.51,3.46,4.53,1.18,133,3.35,2.66,0.7,0.79,3.9,3.51,2.13,97
T5,3.55,3.48,3.57,4.65,1.47,130,3.14,2.19,0.68,1.07,3.5,3.74,2.32,96
T6,3.67,3.64,3.73,5.04,1.49,129,3.09,1.68,1.57,0.74,3.85,4.21,2.51,97
T7,3.78,3.73,3.83,5.05,1.65,128,3.02,1.8,1.47,1.05,3.7,4.64,2.46,98
T8,3.89,3.91,3.93,5.47,1.64,125,2.95,1.72,1.77,1.31,3.9,5.09,2.53,94
T9,3.94,4.04,3.9,6.34,1.94,118,3.05,2.01,1.68,1.21,3.9,5.8,2.42,103
T10,3.91,4.09,3.97,6.88,1.83,120,3.03,2.1,1.4,0.28,4.1,6.75,2.57,104
T11,3.85,4.04,4.03,7.02,2.05,125,3.03,2.15,1.72,0.8,4.45,7.69,2.63,106
T12,3.9,4.16,4,7.59,2.09,122,2.86,2.18,1.78,0.7,4.2,9.07,2.46,108
T13,3.72,4.3,4.06,7.88,2.2,116,2.83,1.99,1.07,0.64,3.7,10.68,2.47,110
L1,3.62,4.41,4.08,8.14,2.13,116,3.38,1.97,0.93,0.99,3.8,10.27,2.15,110
L2,3.67,4.54,4.21,8.76,2.06,99,3.14,2.04,0.4,1.03,3.7,10.21,2.22,106
L3,3.52,4.65,4.21,8.37,1.91,94,3.28,1.84,0.26,1.08,3.8,10,2.18,90
L4,3.57,4.69,4.38,8.91,1.8,89,3.25,2.06,0,0,NA,9.88,2.25,90
L5,3.47,4.67,4.49,9.08,1.82,82,3.09,1.84,0,0,NA,9.39,2.25,90
L6,3.42,4.79,4.61,9.45,1.73,75,3.17,1.72,0,0,NA,8.57,2.2,90
L7,3.38,4.81,4.48,9.56,1.79,76,3.28,1.94,0,0,NA,8.53,2.18,92
L8,3.45,4.79,4.43,9.3,1.71,75,3.28,1.81,0,0,NA,8.61,2.3,92
L9,3.36,4.79,4.39,9.47,1.77,75,3.16,1.84,0,0,NA,8.03,2.03,91
L10,3.55,4.88,4.51,8.92,1.63,72,2.98,1.64,0,0,NA,7.91,2.17,90
L11,3.36,4.91,4.61,8.76,1.72,72,3.17,1.71,0,0,NA,7.39,2.1,88
L12,3.47,4.92,4.74,8.64,1.82,72,3.14,1.64,0,0,NA,7.38,2.1,87
L13,3.4,4.94,4.73,8.41,1.73,70,2.92,1.74,0,0,NA,7.35,2.08,82
L14,3.5,5.02,4.88,8.42,1.85,68,2.81,1.75,0.26,0.4,5,7.1,2.1,74
L15,3.51,5.08,5.07,8.55,1.74,65,2.68,1.78,0.3,0.36,5.2,6.71,2.08,70
L16,3.38,5.02,5.05,8.47,1.96,64,2.56,1.78,0.52,0.46,5.45,6.38,1.99,70
Ca1,3.3,4.94,4.99,8.18,2.03,60,2.45,1.95,0.55,0.35,5.45,5.82,2.04,70
Ca2,3.48,4.86,4.89,7.71,1.96,58,2.64,2,0.74,0.49,5.3,5.91,1.91,66
Ca3,3.48,5,4.93,7.36,1.9,61,2.48,2.02,0.72,0.72,5.7,6,1.89,65
Ca4,3.56,4.98,4.98,6.8,2.04,62,2.54,2.04,0.72,0.51,5.5,5.43,1.87,62
Ca5,3.47,5.07,5.05,6.56,2.22,63,2.06,2.14,0.74,0.5,5.5,5.51,2.02,58
Ca6,3.73,5.33,5.26,6.38,2.51,66,1.87,2.18,0.9,0.47,5.2,4.97,2.24,58
Ca7,3.63,5.39,5.18,6.16,2.55,75,1.74,2.12,0.88,0.67,4.75,4.57,2.15,59
Ca8,3.82,5.33,5.18,5.76,2.58,86,1.45,2.15,0.92,0.8,4.4,3.55,2.04,64
Ca9,3.95,5.14,5.18,5.24,2.64,95,1.31,2.15,0.74,0.79,3.75,3.05,1.89,65
Ca10,4.11,4.97,5.09,5.36,2.39,93,1.1,2.3,0.76,0.67,3.35,2.1,1.65,75
Ca11,4.11,4.84,5,4.67,2.53,95,1.05,2.36,0.63,0.76,2.95,0.93,1.75,75
Ca12,4.24,4.47,5.01,3.94,2.79,100,1.14,2.47,0.72,0.63,2.85,0.62,1.13,80
Ca13,4.32,4.19,5,3.34,2.71,110,0.86,2.73,0.68,0.8,2.45,0,0,NA
Ca14,4.41,3.95,4.94,2.6,2.76,112,0.76,2.94,0.66,0.57,1.6,0,0,NA
Ca15,4.38,3.76,4.79,1.82,2.48,115,0.53,3.03,0.39,0.54,0.8,0,0,NA
Ca16,4.06,3.66,4.25,1.24,2.08,105,0.44,2.26,0,0,NA,0,0,NA
Ca17,3.21,3.63,4.04,0.34,1.51,95,0.46,1.39,0,0,NA,0,0,NA
