Tursiops_truncatus_(USNM_484529),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.2,4.61,3.55,3.03,0.53,109,3.03,0.89,0,0,NA,2.04,1.05,75
T2,1.82,4.04,3.43,NA,NA,NA,2.92,1.22,0,0,NA,2.11,1.34,78
T3,2.57,3.62,3.19,4.72,1.14,112,3.37,1.8,0.34,0.53,2.05,2.16,1.58,84
T4,3.11,3.45,3.21,4.71,1.23,118,3.05,1.79,0.7,0.46,3.1,2.4,1.75,96
T5,3.41,3.36,3.46,NA,NA,NA,2.79,1.63,0.86,0.73,2.9,2.74,1.98,105
T6,3.56,3.68,3.39,5.36,1.71,118,3.08,1.58,1.06,0.71,3.1,2.96,2.09,100
T7,3.68,3.67,3.51,6.49,2.06,117,3.05,1.95,1.76,0.72,2.9,2.88,2.16,108
T8,3.73,3.72,3.45,6.99,2.32,115,3.02,2.31,1.77,0.95,3.5,3.67,2.23,106
T9,3.76,3.71,3.38,7.16,2.21,114,2.87,2.11,1.97,0.86,3.85,4.45,2.18,107
T10,3.74,3.87,3.43,8.25,2.22,112,2.8,2.08,1.59,0.73,3.95,5.31,2.25,106
T11,3.69,3.79,3.48,8.38,2.14,110,2.74,1.92,1.88,0.95,4,6.61,2.06,109
T12,3.64,3.61,3.58,8.5,2.28,107,2.85,1.81,1.97,0.9,4.1,8.15,2.19,107
L1,3.56,3.79,3.59,8.85,2.01,100,2.9,1.84,1.86,0.66,4.2,8.17,2.09,104
L2,3.51,3.92,3.6,9.21,1.9,98,2.88,2.02,1.51,0.87,4.3,8.57,2.06,97
L3,3.41,4.03,3.65,9.84,1.98,94,2.93,1.91,1.48,0.81,4.3,8.81,2.1,95
L4,3.38,4.03,3.73,10.19,1.81,91,2.86,1.87,1.33,0.75,4.35,8.57,2.2,94
L5,3.37,4.16,3.77,10.41,1.77,88,2.7,1.92,1.33,0.84,4.25,8.52,2.19,91
L6,3.25,4.11,3.87,10.65,1.73,86,2.58,1.8,0.99,0.6,4.35,8.31,2.14,90
L7,3.26,4.27,3.91,10.65,1.84,83,2.66,1.86,0.76,0.59,4.4,8.32,2.11,88
L8,3.29,4.38,3.89,10.73,1.86,80,2.62,1.77,0.58,0.65,4.4,7.98,2.2,84
L9,3.25,4.47,3.85,10.8,1.94,76,2.63,1.82,0.47,0.73,4.5,7.53,2,82
L10,3.21,4.49,4.02,10.59,1.92,74,2.8,1.67,0.49,0.66,4.7,7.17,1.9,82
L11,3.22,4.53,4.1,10.34,1.68,72,2.72,1.66,0.33,0.4,4.9,6.79,1.81,80
L12,3.18,4.46,3.99,9.75,1.98,70,2.75,1.72,0.23,0.25,4.95,6.21,1.76,77
L13,3.2,4.44,4.06,10.06,1.82,68,2.62,1.76,0.32,0.4,4.9,6.11,1.85,75
L14,3.18,4.45,4.24,9.43,1.91,67,2.57,1.75,0.43,0.54,5.2,5.88,1.77,72
Ca1,3.21,4.49,4.56,9.1,2.12,70,2.49,1.87,0.32,0.43,5.25,5.85,1.86,76
Ca2,3.24,4.5,4.43,8.63,2.18,71,2.52,1.8,0.22,0.37,5.2,5.75,1.84,73
Ca3,3.27,4.61,4.56,8.1,2.41,72,2.47,2.09,0.42,0.36,5.3,5.29,2.01,75
Ca4,3.3,4.76,4.61,7.81,2.38,76,2.32,2.06,0.26,0.37,5.25,5.02,1.95,75
Ca5,3.28,4.79,4.57,7.53,2.5,76,2.08,1.89,0.38,0.55,4.85,4.67,2.17,73
Ca6,3.38,4.8,4.76,7.41,2.5,73,1.82,1.94,0.54,0.7,4.5,4.71,2.44,71
Ca7,3.46,4.74,4.8,6.92,2.54,77,1.53,2.11,0.72,0.81,4.35,4.25,2.62,74
Ca8,3.55,4.64,4.67,6.81,2.48,82,1.32,2.06,0.75,0.77,4.1,3.85,2.25,75
Ca9,3.74,4.65,4.8,6.47,2.85,86,0.99,1.88,0.73,0.81,3.95,3.22,2.12,74
Ca10,3.85,4.57,4.78,6.15,2.89,85,1.05,2.03,0.6,0.75,3.5,2.55,1.94,74
Ca11,3.95,4.46,4.89,5.59,3.01,103,0.81,2.12,0.75,0.65,3,1.95,1.61,70
Ca12,4.01,4.27,4.74,5.02,3.35,106,0.99,2.36,0.69,0.64,2.6,1.14,1.48,70
Ca13,4.04,4.17,4.96,4.12,2.76,109,0.71,2.35,0.67,0.64,2.25,0.58,1.07,73
Ca14,4.11,3.98,4.86,3.21,2.6,113,0.65,2.59,0.64,0.62,1.7,0,0,NA
Ca15,4.22,3.66,4.97,2.34,2.35,115,0.38,2.64,0.69,0.58,1.05,0,0,NA
Ca16,4.11,3.51,4.9,1.47,1.78,109,0.38,2.26,0.6,0.37,0.6,0,0,NA
Ca17,3.87,3.51,4.24,0.36,0.95,96,0.38,1.7,0,0,NA,0,0,NA
Ca18,2.87,3.5,3.85,0,0,NA,0,0,0,0,NA,0,0,NA
