Ziphius_cavirostris_(USNM_347645),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.25,9.18,7.93,10.47,2.69,95,5.75,2.96,0,0,NA,5.15,2.1,60
T2,5.05,9.02,7.36,19.45,5.35,103,6.14,3.71,0,0,NA,5.52,2.89,75
T3,6.07,8.37,6.93,24.7,6.32,116,6.45,4.09,1.09,1.14,6.5,5.55,3.51,82
T4,7.17,8.17,6.66,25.45,6.21,118,6.85,4.58,1.98,1.51,8.45,4.46,3.42,96
T5,8.26,8.18,6.77,25.6,6.28,120,6.79,4.89,2.11,1.33,8.85,4.62,3.52,98
T6,8.86,8.32,7.09,25.6,7.53,119,6.87,5.03,2.55,1.52,9.1,5.52,3.68,94
T7,9.9,8.81,7.37,26.9,7.8,118,6.31,5.74,4.37,3.7,9.85,4.78,3.52,91
T8,11.09,9.76,7.71,28,7.63,120,6.34,6.19,6.52,5.46,10.95,6.93,5.73,95
T9,12.03,10.49,8.02,29.55,7.36,119,5.67,6.44,7.4,6.18,11.3,10.98,7.22,92
T10,12.67,10.96,8.7,30.25,7.35,115,5.96,6.73,8.17,5.63,10.8,13.84,7.72,84
L1,13.4,11.27,9.11,30.85,8.12,113,5.78,7.12,7.99,5.48,10.75,14.17,6.52,73
L2,13.81,11.58,9.48,31,7.97,113,5.75,6.9,7.12,4.95,10.25,13.59,6.36,68
L3,14.09,11.7,9.69,31.7,8.08,114,5.47,6.87,6.85,5.22,10.5,13.22,5.99,65
L4,14.72,11.92,10.19,32.9,8.32,113,5.78,6.74,6.19,4.73,10.4,13.09,6.72,61
L5,15.3,12.17,10.83,33.65,8.42,114,5.34,7.32,6.67,5.03,10.7,12.74,6.39,59
L6,16.05,12.47,10.8,34.1,8.45,116,5.19,7.55,5.28,5.77,10.5,12.05,6.84,55
L7,16.9,12.67,11.09,34.75,8.9,117,5.05,7.96,5.68,5.48,9.85,11.49,6.73,51
L8,17.85,13.1,11.65,34.55,9.19,117,5.01,8.22,5.4,6.33,9.85,10.53,6.43,47
L9,18.25,13.43,11.75,33.5,9.26,116,5.22,9.04,4.79,6.07,9.3,10.91,6.58,48
L10,18.55,13.85,12.38,31.65,9.79,111,4.73,10.41,3.97,6.1,8.8,9.96,7.91,61
Ca1,18.2,14.21,12.28,30.05,10.79,111,4.66,11.57,3.51,5.18,8.65,9.4,8.48,65
Ca2,17.35,14.4,12.64,28.6,11.43,108,4.15,11.37,3.24,4.88,8.15,8.25,10.78,75
Ca3,16.55,14.41,12.83,26.8,12.02,109,3.58,11.12,3.1,4.97,8.05,7.11,10.64,80
Ca4,15.45,13.58,13.26,22.55,12.33,112,2.91,9.88,2.62,4.65,7.5,6.59,8.79,84
Ca5,14.93,13.37,13.19,17.3,11.7,115,2.31,9.15,3.77,4.06,6.8,5.59,7.59,84
Ca6,14.13,12.97,13.16,13.25,10.03,119,1.95,8.99,4.03,2.19,5.5,4.22,5.67,76
Ca7,13.25,12.03,13.15,9.6,9.58,118,1.88,8.38,3.46,2.93,3.85,2.31,3.46,70
Ca8,12.51,10.9,13.07,5.7,9.03,114,1.71,7.05,3.04,1.99,3.05,0.61,1.23,79
Ca9,11.64,10.29,12.63,3.85,7.67,110,1.27,6.39,2.84,1.59,2.15,0,0,NA
Ca10,10.09,9.49,12.2,2.27,6.12,104,1.01,4.96,1.51,0.93,1.25,0,0,NA
Ca11,7.53,9.17,10.1,0.46,2.21,90,0.69,2.45,0,0,NA,0,0,NA
Ca12,6.06,8.77,8.39,0,0,NA,0,0,0,0,NA,0,0,NA
