Delphinus_capensis_(PEM_N1649),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.44,4.24,3.24,2.74,0.98,125,2.42,1.33,0,0,NA,2.55,1.36,78
T2,1.9,3.85,3.12,4.33,0.81,130,2.6,1.74,0,0,NA,2.83,1.61,90
T3,2.29,3.58,3.16,5.03,0.98,128,2.51,1.56,0,0,NA,2.59,1.75,90
T4,2.67,3.45,3.08,5.65,1.16,132,2.58,1.63,0.84,0.72,3.4,2.73,2.11,95
T5,2.9,3.49,3.1,5.95,1.65,132,2.75,1.43,1.29,1.11,3.2,3.09,2.13,102
T6,3.04,3.51,3.26,6.24,1.68,135,2.76,1.42,1.61,1.23,3.5,3.49,2.04,105
T7,3.1,3.59,3.41,6.1,1.7,135,2.68,1.35,2.11,1.27,3.5,4.05,2.15,105
T8,3.31,3.61,3.48,6.49,1.77,132,2.88,1.32,2.16,1.12,3.7,4.15,2.04,110
T9,3.43,3.7,3.58,6.73,1.98,130,2.68,1.8,2.57,1,3.8,4.5,1.94,100
T10,3.52,3.73,3.53,6.86,2.08,130,2.7,1.66,2.97,1.16,4.2,5.1,2,95
T11,3.54,3.84,3.6,7.93,2.11,126,2.47,1.71,2.37,1.39,4.6,5.57,1.94,95
T12,3.38,3.88,3.67,8.26,2.28,125,2.45,1.78,2.45,1.34,4.5,5.98,1.89,95
T13,3.43,4.03,3.59,8.9,1.94,125,2.71,1.79,2.33,1.32,4.6,7.85,2.26,100
T14,3.3,4.01,3.75,9.18,1.88,120,2.57,1.85,2.31,1.02,4.95,9.81,2.15,90
L1,3.1,3.99,3.7,9.58,1.8,115,2.75,1.66,1.98,0.99,4.7,9.54,1.85,90
L2,3.02,4.03,3.78,9.43,1.72,110,2.7,1.79,1.92,0.88,4.9,9.7,1.63,90
L3,2.95,4.03,3.97,9.62,1.71,108,2.84,1.64,2.13,0.94,4.8,9.61,1.74,90
