Delphinus_capensis_(SMNS_45763),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.04,3.57,2.75,3.18,0.74,115,2.2,0.95,0,0,NA,2.18,1.28,88
T2,1.49,3.45,2.61,4.17,0.74,120,2.2,1.4,0,0,NA,2.2,0.97,90
T3,1.79,3.02,2.63,4.41,0.9,120,2.4,1.78,0.53,0.35,2.2,1.97,1.27,95
T4,2.17,2.86,2.67,4.53,1.06,122,2.3,2.05,0.9,0.63,2.6,2.26,1.61,95
T5,2.35,2.82,2.74,4.32,1.21,120,2.3,2.18,1.31,0.89,2.8,2.38,1.77,100
T6,2.64,2.85,2.66,4.51,1.36,120,2.3,2.21,1.68,0.86,3.1,2.65,1.81,100
T7,2.68,3.03,2.78,5.25,1.43,118,2.3,1.63,1.71,0.92,3,2.82,1.73,100
T8,2.74,3.02,2.75,5.14,1.84,118,2.1,1.53,1.72,1.15,3.2,2.94,1.61,100
T9,2.85,3.01,2.74,5.74,1.56,115,2.4,1.5,1.75,1.26,3.25,3.44,1.49,95
T10,2.93,3.12,2.82,6.37,1.65,115,2.4,1.8,1.87,1.16,3.5,4.22,1.59,98
T11,2.93,3.18,2.81,6.37,1.89,115,2.4,1.83,2.18,1.16,3.75,4.82,1.64,100
T12,2.84,3.2,2.81,6.52,1.82,115,2.3,1.68,2.2,1,3.8,5.25,1.65,104
T13,2.75,3.26,2.9,6.74,1.84,110,2.4,1.67,1.94,0.82,3.8,6.12,1.77,105
T14,2.67,3.34,3,7.76,1.88,105,2.3,1.53,2.01,0.85,3.9,7.66,1.86,106
L1,2.61,3.24,2.98,NA,NA,NA,2.6,1.52,1.21,0.86,3.85,7.33,1.68,108
L2,2.5,3.32,3.06,NA,NA,NA,2.7,1.47,NA,0.88,NA,7.26,1.67,105
L3,2.48,3.39,3.08,8.02,1.76,102,2.7,1.26,1.32,0.88,3.75,7.24,1.6,105
L4,2.44,3.49,3.21,8.24,1.77,100,2.8,1.33,1.49,0.85,3.85,7.25,1.6,102
L5,2.47,3.47,3.19,8.25,1.71,96,2.75,1.37,1.06,0.89,3.9,7.31,1.58,95
L6,2.36,3.51,3.35,7.97,1.7,95,2.75,1.49,0.65,0.88,3.6,7.39,1.58,92
