Delphinapterus_leucas_(NRM_558404),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.97,6.33,4.93,1.96,2.07,100,5.4,1.37,0,0,NA,3.78,2.19,90
T2,4.82,5.66,4.79,2.57,2.21,99,5.5,2.28,0,0,NA,3.83,2.42,80
T3,4.91,5.85,4.68,3.35,2.28,96,6.4,2.39,0,0,NA,3.71,3.45,75
T4,5.5,5.98,4.73,3.51,3.24,98,6.8,2.3,0,0,NA,3.25,3.9,84
T5,5.73,5.95,4.78,4.19,4.14,105,6.5,2.53,0.81,0.89,5.1,3.31,3.52,90
T6,6.05,6.41,5.04,3.61,4.57,100,6.3,2.85,1.37,1.11,5.2,3.38,3.53,95
T7,6.57,6.9,5.2,3.9,3.54,96,6.5,2.94,2.4,1.34,5.2,3.58,3.57,95
T8,7.02,6.33,5.41,4.45,5.1,90,5.5,3.38,2.1,1.26,4.7,4.04,3.19,98
T9,7.38,6.37,5.6,5.24,4.78,105,5.5,4.04,2.77,1.36,4.9,4.89,2.74,105
T10,7.65,7.01,5.92,5.96,4.83,116,5.8,3.36,3.54,1.68,4.5,5.84,3.51,102
T11,8.03,8.06,6.54,6.08,5.24,122,5.7,3.2,4.16,2.49,6.1,7.52,5.47,95
L1,8.84,7.58,6.1,6.8,4.8,120,5.3,3.25,NA,NA,NA,12.88,5.46,86
L2,9.04,7.31,6.38,7.87,5.65,123,5.25,3.16,3.6,2.41,6.7,12.33,7.13,84
L3,9.23,7.28,6.71,8.81,5.96,115,5.05,3.06,4.1,2.36,6.4,13.64,8.08,80
L4,9.58,7.42,7.21,8.66,6.6,116,4.5,3.08,3.91,2.33,6.7,13.65,8.08,76
L5,9.75,7.52,7.23,8.51,6.52,110,4.6,3.39,4.4,2.36,6.75,13.24,7.99,80
L6,10.05,7.78,7.24,8.67,7.09,110,4,3.68,4.1,2.69,6.8,13.72,8.73,82
L7,10,8.28,7.36,8.09,6.4,114,3.95,3.52,4.63,2.84,7.4,12.95,9.11,86
L8,10.09,8.41,7.58,7.89,6.05,114,3.95,3.4,4.79,2.66,7.35,10.71,8.53,90
L9,9.99,8.36,7.83,7.14,6.05,111,3.45,3.75,4.48,2,6.9,8.88,8.35,91
L10,10.43,9.37,9.69,5.98,5.28,106,2.6,4.67,4.86,2.32,6.25,7.6,7.33,90
Ca1,10.5,8.84,9.09,5.54,4.86,105,2.8,5.4,4.24,2.1,5.2,6.89,6.93,88
Ca2,9.07,8.8,8.78,5.97,4.92,102,2.9,3.77,3.68,2.13,5.4,5.5,6,92
Ca3,8.43,8.36,8.66,5.28,5.11,104,2.5,3.79,3.79,1.77,4.8,4.25,6.34,85
Ca4,7.66,8.21,8.46,4.14,4.54,102,1.8,3.29,2.65,1.32,4.1,3.36,4.79,78
Ca5,6.86,7.8,8.25,3.58,3.48,103,1.4,3.04,2.39,0.96,3.8,2.55,3.61,75
Ca6,6.07,7.52,8.37,2.2,3.19,92,1.2,3.73,1.31,0.88,1.8,1.53,2.92,72
Ca7,5.73,6.76,8.28,1.78,3.17,90,0.9,3.48,0.92,0.78,0.7,0.83,1.88,75
Ca8,5.63,6.44,7.75,1.14,3.04,95,0.75,3.14,0.66,0.45,0.35,0,0,NA
Ca9,5.4,6,7.7,0,0,NA,0.7,2.68,0,0,NA,0,0,NA
Ca10,4.97,5.72,7.15,0,0,NA,0.5,2.32,0,0,NA,0,0,NA
Ca11,4.88,5.97,7.09,0,0,NA,0,0,0,0,NA,0,0,NA
Ca12,4.37,5.98,6.59,0,0,NA,0,0,0,0,NA,0,0,NA
