Delphinatperus_leucas_(RBINS_1508),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,4.18,5.16,5.34,3.2,1.67,108,5.8,2.44,0,0,NA,4.37,3,50
T2,4.76,4.85,4.99,3.8,2.28,105,6.3,3.28,0.43,1.01,4.4,4.37,3.65,70
T3,5.27,5.74,5.22,4.4,2.67,99,6.35,4.36,0.65,0.86,5,4.41,3.97,90
T4,5.42,5.87,5.32,NA,3.52,92,6.4,4.92,0.68,1.39,4.8,4.12,4.38,85
T5,6.21,6.15,5.82,NA,4.3,95,6,3.56,1.32,1.09,5.4,4.05,3.92,90
T6,6.69,6.29,6.16,5.8,5.42,96,6.1,3.48,1.83,1.33,5.9,4.49,3.97,90
T7,7.22,6.46,6.33,NA,5.19,100,5.8,4.09,2.92,1.41,5.6,4.75,4.15,95
T8,7.33,6.52,6.34,NA,5.43,103,5.65,4.1,3.88,1.55,5.8,5.48,3.88,100
T9,8.18,7.34,6.54,NA,5.93,108,5,4.49,4.59,1.57,6.1,5.51,4.41,100
T10,8.13,7.67,6.75,7.4,5.27,117,5.1,4.1,4.84,2.14,6,7.51,4.99,102
T11,8.83,7.78,7.03,7.5,5.43,122,5,3.58,5.42,2.5,6.15,12.26,6.36,95
L1,10.84,8.11,7.16,8.88,5.84,120,5.32,3.86,5.73,2.55,7.6,13.38,8.13,70
L2,11.25,8.18,7.84,10.62,6.27,116,5.84,3.56,5.28,2.4,7.7,14.51,9.43,70
L3,11.45,8.17,8.07,12.51,7.08,116,5.03,3.72,5.32,2.74,7.7,13.3,9.26,70
L4,11.94,8.15,8.21,12.78,8.16,115,4.25,3.85,4.97,2.84,7.75,11.67,10.62,70
L5,11.89,8.53,8.51,13.13,7.82,112,4.5,3.7,4.66,3.09,7.3,11,11.3,75
L6,11.67,8.95,8.92,NA,NA,112,4.57,4.22,5.04,3.45,8.2,12.6,11.17,80
L7,11.9,9,9.1,10.89,7.96,108,4.75,3.76,4.99,3.41,8.8,11.21,9.71,90
L8,11.52,9.1,9.47,9.43,7.61,110,4.37,3.48,5.18,2.47,8,10.3,8.82,90
L9,11.59,9.26,9.66,9.4,6.71,103,4.52,3.93,5.56,2.31,7.5,9.68,7.83,90
Ca1,10.94,9.57,9.9,8.57,6.43,106,3.76,3.84,4.43,2.09,6.9,8.25,7.67,80
Ca2,10.86,9.65,9.81,7.91,6.58,111,4.15,3.79,4.48,2,6.1,6.56,9.27,80
Ca3,10.35,9.39,9.88,8.47,6.49,106,3.38,3.98,5.17,2.14,5.9,5.92,8.63,75
Ca4,9.64,9.22,10,7.15,5.71,102,3.22,3.67,4.27,1.28,5,4.85,5.6,77
Ca5,8.46,9.27,9.6,6.75,5.11,105,2.21,3.87,3.1,0.97,4.1,3.79,5.87,77
Ca6,7.29,9.04,9.64,4.95,4.81,104,1.77,4.06,2.73,0.95,2.7,2.08,4.23,70
Ca7,6.63,8.17,9.37,3.57,4.35,101,1.36,3.71,1.52,0.98,1.45,1.36,3.14,75
Ca8,6.14,7.71,8.94,2.24,4.33,105,1.04,3.53,1.23,0.82,0.65,0.64,2.45,80
Ca9,5.58,7.03,8.9,1.45,4.3,106,0.77,3.46,0,0,NA,0,0,NA
Ca10,5.05,6.23,8.1,0.67,3.27,104,0.65,3.15,0,0,NA,0,0,NA
Ca11,4.98,6.42,7.84,0,0,NA,0.58,1.92,0,0,NA,0,0,NA
Ca12,4.1,6.82,7.06,0,0,NA,0,0,0,0,NA,0,0,NA
