E._glacialis_(NRM_558386),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,7.25,27,21.8,NA,NA,NA,18.8,NA,0,0,NA,23.2,6.49,60
T2,9,25.5,22.3,13.5,5.93,115,17.9,8.2,0,0,NA,23.4,7.52,60
T3,9.98,28.8,23,18.4,6.29,116,18.2,11.4,0,0,NA,24.3,8.42,50
T4,11.45,27.8,22.5,19.8,7.5,116,18.2,12.8,3.79,4.34,15.4,22.2,8.34,60
T5,13.55,26.8,21.8,20.5,10.27,112,17.5,11.5,4.08,6.25,14,18.5,8.86,65
T6,14.21,26.5,20.8,21.8,10.54,111,16.9,6.04,5.97,6.56,13.9,16.5,10.14,93
T7,15.06,26.8,20.5,24,12.28,102,15.3,8.11,6.73,7.37,17,16.5,9.4,96
T8,15.8,26.6,20.8,24.5,13.05,105,16.5,9.26,6.32,8.18,19.2,17.5,10.57,100
T9,16.4,27.5,20.5,25,13.05,104,15.2,9.45,7.16,8.98,20.6,18,11.75,95
T10,16.5,28.5,21.8,24,13.36,108,17.4,9.77,11.61,10.64,21.8,0,0,NA
T11,17,29.9,21.8,23.8,13.43,115,17,9.43,10.92,12.28,21.5,19.8,17.8,85
T12,17.8,31,21.5,25.5,12.85,115,15,10.21,11.65,10.94,21.4,25,21.2,90
T13,18.9,29.5,21.7,26.7,12.92,114,15.8,10.78,11.7,11.23,21,33,14.14,97
T14,18.9,30.5,23.8,27.8,12.88,124,16.2,10.81,11.43,10.23,22,34.8,10.5,90
L1,19.2,30.5,25.4,27.8,12.63,125,16.1,10.67,13.16,11.89,22.8,38,11.25,90
L2,19.6,29.8,25.6,27.4,12.93,116,17,10.32,12.88,11.18,22.7,39.2,11.82,88
L3,19.9,29.5,26.7,29.8,13.45,125,15.8,10.15,12.82,11.57,22.5,39.5,13.22,86
L4,20.4,29.5,27.3,30,14.47,125,16.8,10.4,13.09,10.13,22.7,38.6,14.32,87
L5,20.9,30.5,26.8,31.8,14.25,114,15.8,10.39,12.59,9.65,22,38.4,13.98,75
L6,21.5,31.3,26.7,32,14.8,118,16.7,10.57,12.61,9.11,22.4,37.5,14.56,73
L7,22,31,28.7,32.5,14.21,121,14,10.7,12.66,9.06,21,36,13.59,85
L8,22.7,31.4,30.4,27.8,12.42,123,16.2,11.52,13.63,9.81,22,33.8,11.76,80
L9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L10,23,33,32.7,24.8,12.72,125,15.7,12.18,13.52,10.8,20.4,27,11.53,72
L11,23.2,32.8,34.8,23.5,12.75,124,15.5,11.43,12.24,10.55,20.6,24.5,10.9,75
Ca1,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,11.4,85
Ca2,23.9,35,37.8,20.2,11.81,125,15.5,11.3,12.38,7.11,17.8,17.4,11.79,75
Ca3,21.7,35.8,37.9,17.8,11.89,120,12.2,10.62,11.67,6.91,16.5,14.2,10.44,70
Ca4,22,35.2,39,13.4,11.44,115,9.5,10.53,11.45,8.36,15.4,11.8,10,68
Ca5,21.5,33.8,38.1,12,13.53,108,8.5,9.88,10.1,9.79,13.8,9.1,10.59,72
Ca6,21.6,33.9,37.8,12.63,14.06,116,6.35,9.73,8.21,10.19,13,5.96,10.53,90
Ca7,20.9,34.5,37.8,9.39,12.52,112,5.49,9.73,7.47,9.14,10.5,3.81,11.11,90
Ca8,20.3,34.5,37.7,7.87,11.65,110,4.58,9.7,6.93,8.4,7,1.92,7.89,90
Ca9,19,33,37.6,6.15,12.1,114,3.94,9.62,6.64,3.98,4.3,0,0,NA
Ca10,19.3,31.9,36,5.05,10.83,95,1.89,9.62,5.06,3.99,3,0,0,NA
Ca11,13.5,27.9,28,0,0,NA,0,0,0,0,NA,0,0,NA
