Eubalena_glacialis_(NRM_558389),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,6.35,25.5,19.1,7.53,3.42,88,17.5,4.41,0,0,NA,23.5,5.81,75
T2,8.17,26,22.6,10.06,5.55,90,16,5.93,0,0,NA,20.9,7.2,55
T3,10.33,27.3,22.3,12.64,5.62,97,17.8,8.17,0,0,NA,22.3,8.6,50
T4,12.1,27.4,21.3,15.24,6.54,100,16.5,10.57,2.43,5.68,14.5,21.6,6.99,63
T5,12.81,23,19.9,17.5,8.33,93,18,9.47,3.67,4.96,12.3,18.3,8.62,65
T6,13.2,27.2,20.3,21,9.58,95,17,9.55,4.28,6,13,18.5,8.09,80
T7,13.88,28.9,21,21.7,10.52,94,14.3,7.54,3.92,5.73,14.5,15.9,8.86,88
T8,14.54,28.2,22.5,22.5,11.81,103,12.5,10.1,4.39,6.19,17,15.8,9.98,88
T9,15.24,28.7,22.5,23.7,10.05,110,14,9.98,6.53,6.69,18,14.2,11.93,84
T10,15.4,28.7,22.5,24,10.73,100,12.5,11.18,6.23,6.5,17.5,17.5,13.06,80
T11,16.3,30,22.5,21.2,11.78,110,14.2,11.34,8.7,7.65,16.5,16.1,16.8,90
T12,16.1,30.7,23.2,21,11.6,110,14,10.77,9.21,7.92,17.8,21.3,17,90
T13,17.2,30.4,22.1,21,12.53,110,13.5,8.87,9.06,7.24,18.7,24,14.22,94
T14,17.2,29.4,24.1,21,13.04,110,13.1,9.52,11.16,7.5,18.5,29.8,11.41,95
L1,17.6,30.2,24.6,20.2,12.72,115,13.8,9.92,12.02,7.23,18.4,32,11.63,92
L2,18.3,30.3,25.7,22.5,12.15,113,12.5,9.23,12.91,7.59,19.1,35.2,12.71,91
L3,18.3,29.6,26.2,24.4,13.14,120,13,9.97,10.33,7.5,17.9,37.2,11.23,90
L4,18.3,29,26.5,23.4,13.06,120,12.5,9.57,10.64,7.38,18.6,35.7,12.19,88
L5,19.2,29.2,27.6,24.5,12.95,115,13,10.24,10.97,8.1,18.3,35.2,12.89,85
L6,20.5,29.6,28,23.8,13.58,113,12.5,10.85,12.17,7.45,16.6,36,13.45,87
L7,20.4,30.5,27.5,23.4,13.24,110,13.5,11.07,12.65,7.92,16.8,36,14.17,86
L8,21,31,27.8,21.8,13.27,108,13,11.45,12.46,7.72,15.8,36.5,14.02,88
L9,22,30.7,28.7,22.5,14.19,110,12.1,11.67,10.05,8.59,17,29.5,13.69,87
L10,21.3,31.5,29.2,22.5,14.45,113,12,11.63,10.07,10,17.4,27.5,13.33,88
L11,21.8,32.3,28.8,22.3,13.57,110,11,12.02,10.89,10.71,17.2,25.7,13.52,90
L12,22.4,32.6,31.3,20.8,12.58,96,11,11.81,9.57,10.42,18,22.7,12.3,89
Ca1,22.1,32.8,31,19.4,11.09,106,11,12.2,10.64,11.33,17.1,20.8,10.81,88
Ca2,21.5,34.6,31.5,17.4,10.53,106,10.7,11.57,9.32,11.17,16.7,20.8,9.67,89
Ca3,21.5,34.4,32.1,15.3,11.34,94,9.5,12.04,10.68,11.35,16.5,18.8,10.48,83
Ca4,21.1,34.3,33.1,14.2,12.22,100,8,10.8,10.5,10.69,14.8,15,11.68,85
Ca5,21.4,33.8,35,13.76,12.24,110,6.7,10.92,9.18,11.33,13.5,11.06,9.34,92
Ca6,21,34.1,35.1,12.29,11.66,115,7,10.18,8.43,11.52,11.7,11.13,8.8,80
Ca7,20.5,33.8,35.2,11.03,10.9,120,6.1,9.18,7.6,11.18,9.8,9.27,7.24,70
Ca8,20.4,34.3,35.6,7.2,10.78,115,5.4,8.12,6.24,8.81,8.2,5.54,4.91,68
Ca9,19.8,32.6,34.3,4.95,10.85,95,4.47,7.57,6.04,8.28,5.5,3.03,4.4,80
Ca10,19.8,31,31.8,4.76,10.37,95,3.85,7.11,4.83,7.02,4.2,0,0,NA
Ca11,17.9,31.9,31.1,3.83,8.85,93,2,6.58,4.43,4.76,3.8,0,0,NA
Ca12,16.2,30.2,29.6,3.05,6.64,90,2.57,5.93,3.95,3.44,2.7,0,0,NA
