Feresa_attenuta_(USNM_571268),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.47,3.69,2.9,2.26,0.89,115,2.75,0.97,0,0,NA,2.46,1.01,73
T2,1.93,3.37,2.67,2.48,1.07,114,3.05,1.18,0,0,NA,2.69,1.1,78
T3,2.31,3.31,2.68,2.89,1.25,117,3.17,1.26,0.38,0.39,2.3,2.65,1.38,85
T4,2.65,3.38,2.69,3.15,1.28,116,3.39,1.34,0.47,0.57,2.5,2.78,1.67,91
T5,2.83,3.41,2.74,3.37,1.24,115,3.5,1.15,0.66,0.54,2.55,2.94,1.43,94
T6,3.01,3.29,2.79,3.7,1.36,115,3.42,1.13,0.86,0.5,2.75,3.19,1.51,92
T7,3.05,3.34,2.84,4.38,1.38,118,3.51,1.35,0.95,0.77,3,3.41,1.54,95
T8,3.12,3.41,2.92,4.54,1.48,119,3.61,1.53,1.01,0.86,3.3,3.58,1.65,99
T9,3.16,3.48,3,5.19,1.46,122,3.42,1.48,1.01,0.77,3.55,4.16,1.47,104
T10,3.21,3.55,2.96,5.86,1.55,121,3.38,1.66,1.15,0.86,3.85,5.18,1.73,109
T11,3.17,3.5,3.02,6.03,1.58,119,3.33,1.54,1.17,0.72,3.9,6.11,1.83,107
T12,3.11,3.41,3.13,6.25,1.5,114,3.44,1.46,1.12,0.65,3.85,8.11,1.56,109
L1,3.09,3.47,3.19,6.61,1.53,107,3.55,1.5,1.21,0.77,4.05,8.22,1.41,108
L2,3.05,3.58,3.25,6.97,1.61,104,3.56,1.44,0.55,0.59,3.95,8.04,1.46,104
L3,3.03,3.58,3.25,NA,1.48,102,3.48,1.56,0.4,0.6,4.1,7.96,1.46,101
L4,2.93,3.68,3.33,7.12,1.42,98,3.37,1.41,0.39,0.61,4.15,7.84,1.48,96
L5,2.92,3.72,3.39,7.53,1.24,98,3.33,1.39,0,0,NA,7.43,1.46,94
L6,2.81,3.66,3.4,7.97,1.21,98,3.16,1.26,0,0,NA,7.49,1.5,93
L7,2.83,3.63,3.36,8.22,1.15,96,3.05,1.31,0,0,NA,7.32,1.49,92
L8,2.78,3.63,3.46,8.38,1.21,94,2.96,1.36,0,0,NA,7.09,1.53,89
L9,2.82,3.69,3.44,8.46,1.12,91,3.01,1.28,0,0,NA,6.88,1.55,91
L10,2.81,3.73,3.47,8.38,1.18,85,3.04,1.31,0,0,NA,6.61,1.52,90
L11,2.73,3.75,3.49,8.04,1.19,83,2.84,1.15,0,0,NA,6.43,1.42,87
L12,2.71,3.84,3.53,8.2,1.21,82,2.67,1.25,0,0,NA,6.13,1.31,86
L13,2.74,3.79,3.57,7.73,1.21,85,2.81,1.2,0,0,NA,5.9,1.28,86
L14,2.74,3.79,3.58,7.52,1.17,81,2.69,1.27,0,0,NA,5.56,1.29,86
L15,2.7,3.76,3.75,7.26,1.15,76,2.74,1.25,0,0,NA,5.47,1.29,84
L16,2.72,3.81,3.82,6.77,1.17,73,2.75,1.2,0,0,NA,5.32,1.27,82
L17,2.67,3.83,3.91,6.29,1.19,71,2.73,1.25,0,0,NA,4.85,1.23,82
Ca1,2.67,3.78,3.97,5.97,1.15,71,2.65,1.23,0,0,NA,4.79,1.15,81
Ca2,2.64,3.84,3.88,5.73,1.18,72,2.54,1.22,0,0,NA,4.7,1.28,81
Ca3,2.68,3.83,3.93,5.63,1.21,71,2.48,1.18,0.4,0.26,4.3,4.58,1.29,82
Ca4,2.6,3.88,3.91,5.59,1.19,72,2.3,1.23,0.28,0.23,4.3,4.33,1.33,80
Ca5,2.58,3.97,3.91,5.44,1.16,69,2.23,1.23,0.27,0.29,4.25,3.97,1.18,81
Ca6,2.57,3.86,3.92,5.43,1.19,73,1.95,1.35,0.39,0.42,4.3,3.82,1.23,84
Ca7,2.61,3.87,3.94,5.1,1.21,76,1.89,1.35,0.38,0.36,4.05,3.64,1.28,85
Ca8,2.54,3.84,4.01,4.89,1.27,69,1.58,1.4,0.41,0.33,3.95,3.26,1.34,87
Ca9,2.55,3.74,4.02,NA,1.15,71,1.54,1.27,0.43,0.34,3.65,2.88,1.32,88
Ca10,2.58,3.74,4.03,4.3,1.27,76,1.35,1.17,0.28,0.29,3.3,2.62,1.43,87
Ca11,2.58,3.76,3.99,3.84,1.32,80,1.15,1.2,0.38,0.35,3.1,2.36,1.35,85
Ca12,2.65,3.75,4.09,3.38,1.17,80,1.06,1.16,0.33,0.31,2.65,2.03,1.27,85
Ca13,2.68,3.77,4.05,3.29,1.16,79,1.1,1.23,0.52,0.46,2.65,1.53,1.05,87
Ca14,2.78,3.79,4.11,3.19,1.17,81,1.05,1.29,0.38,0.39,2.3,0.95,1.12,86
Ca15,2.86,3.73,4.13,2.74,1.32,87,1,1.29,0.39,0.45,2.2,0.71,0.87,87
Ca16,2.92,3.67,4.14,2.56,1.34,104,0.79,1.38,0.55,0.7,2.05,0.43,0.8,88
Ca17,3.02,3.59,4.18,2.23,1.34,109,0.71,1.43,0.74,0.76,1.85,0.32,0.64,88
Ca18,3.05,3.41,4.28,1.87,1.25,114,0.62,1.42,0.75,0.6,1.55,0,0,NA
Ca19,3.19,3.24,4.37,1.42,1.16,107,0.48,1.6,0.63,0.55,1.2,0,0,NA
Ca20,3.23,3.15,4.37,1.03,1.06,105,0.46,1.68,0.54,0.48,0.9,0,0,NA
Ca21,3.17,3.03,4.13,0.33,0.83,95,0.36,1.82,0.47,0.37,0.6,0,0,NA
Ca22,2.86,3.02,3.83,0,0,NA,0.4,1.22,0.28,0.22,0.3,0,0,NA
Ca23,2.29,3.21,3.28,0,0,NA,0,0,0,0,NA,0,0,NA
