Globicephala_macrorhynchus_(USNM_22561),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.43,8.04,7.17,5.28,1.37,109,6.04,1.83,0,0,NA,5.19,1.85,80
T2,3.22,8.59,7.25,5.69,2.47,112,5.81,2.5,0,0,NA,4.25,2.75,87
T3,4.04,8.32,6.7,5.89,2.54,116,5.53,3.28,0,0,NA,4.2,3.1,91
T4,4.92,8.21,6.29,6.36,2.38,119,5.57,2.75,0.86,1.02,5.35,4.26,3.18,96
T5,5.47,7.99,6.63,6.12,2.39,122,5.7,2.38,0.88,0.77,5,4.43,3.52,96
T6,5.85,7.89,6.81,6.37,2.72,118,5.93,2.43,0.95,1.05,5.1,4.98,3.41,94
T7,6.15,7.63,6.89,7.43,3.41,111,6.09,3.27,1.67,1.79,5.25,4.17,NA,96
T8,6.73,7.7,6.9,8.63,3.93,108,5.94,3.41,2.36,1.9,6.1,6.16,3.41,96
T9,7.36,7.74,6.93,9.74,3.33,106,5.88,3.99,2.11,1.76,6.9,7.59,3.81,95
T10,7.36,7.77,6.95,9.92,3.55,104,5.9,4.1,2.03,1.94,7.15,10.3,4.45,97
T11,7.62,7.88,6.76,11.12,3.45,100,6.26,4.01,1.98,1.71,7.8,11.98,4.48,95
L1,7.77,7.86,7,12.43,3.86,104,6.1,3.79,2.32,1.72,7.85,11.77,4.28,89
L2,7.69,7.83,7.11,12.83,3.7,100,5.91,3.8,2.02,1.37,7.9,11.81,4.47,90
L3,7.75,7.73,7.32,13.71,3.42,93,5.83,3.66,1.62,1.24,8.2,11.94,4.07,82
L4,7.54,7.67,7.4,14.3,3.23,90,5.61,3.66,1.75,1.11,8.05,11.73,4.24,85
L5,7.57,7.74,7.36,15.03,3.31,83,5.64,3.77,1.44,0.95,8.1,11.25,3.9,88
L6,7.54,7.92,7.55,15.26,3.07,79,5.79,3.51,1.38,1.27,8.5,11.08,4.23,90
L7,7.68,8.01,7.45,15.25,3.25,76,5.89,3.48,NA,NA,NA,11.18,4.32,89
L8,7.79,8.15,7.6,15.13,3.63,75,6.22,3.77,1.07,1.03,9.05,10.99,4.21,90
L9,7.74,8.19,7.9,14.3,3.81,73,6.31,3.46,0.92,1.2,9.8,10.33,3.88,93
L10,7.95,8.36,7.97,12.9,4.2,70,6.23,3.56,0.92,1.11,10,10.23,3.57,96
L11,8.09,8.5,8.02,11.54,4.65,72,6.11,3.63,1.23,1.36,10.1,10.06,3.61,98
L12,8.34,8.35,8.57,10.78,4.63,72,6.44,3.21,1.25,1.53,10.3,9.35,3.65,98
Ca1,8.4,8.43,8.22,10.41,4.42,74,6.3,3.33,1.69,1.24,10.6,8.51,3.7,93
Ca2,8.43,8.41,8.45,9.72,4.06,68,6.36,3.05,1.53,0.86,10.65,8.22,3.84,94
Ca3,8.51,8.65,8.6,10.35,3.81,62,5.91,3.3,1.91,0.97,10.65,8.13,4.83,94
Ca4,8.65,8.7,8.71,10.04,3.96,62,5.28,3.58,2.25,1.06,9.9,7.01,4.93,93
Ca5,8.86,8.62,8.66,9.56,3.7,69,4.98,3.74,2.11,1.25,9.2,5.96,4.62,90
Ca6,8.81,8.7,8.78,9.19,3.39,72,4.24,3.85,2.02,1.17,8.4,5.55,4.32,89
Ca7,8.93,8.64,8.9,8.23,3.45,77,3.7,4.17,2.05,1.33,8.1,4.88,4.68,87
Ca8,8.98,8.83,9.02,8.2,3.44,96,2.97,4.04,1.51,2.2,7,3.88,4.46,85
Ca9,8.88,8.86,9.11,7.59,3.15,108,2.53,4.01,1.37,1.44,6.5,2.93,4.11,84
Ca10,8.8,8.74,9.08,6.56,2.99,106,2.24,3.96,1.31,1.84,6.05,2.03,3.64,84
Ca11,8.73,8.47,8.91,5.56,2.92,112,1.93,3.74,1.57,1.96,5.45,1.36,3.05,84
Ca12,8.37,7.84,8.83,5.11,2.85,117,1.7,3.43,1.54,1.78,4.4,0.7,2.41,87
Ca13,7.93,7.21,8.72,3.9,2.79,118,1.38,3.3,1.66,1.58,3.3,0,0,NA
Ca14,7.62,6.61,8.62,2.84,2.98,113,1.21,3.43,1.45,1.35,2.4,0,0,NA
Ca15,7.23,6.12,8.18,1.45,2.98,105,0.95,3.29,0.96,0.67,1.3,0,0,NA
Ca16,6.43,6.04,7.33,0,0,NA,0.86,2.79,0,0,NA,0,0,NA
Ca17,5.95,6.25,7.24,0,0,NA,0.7,1.85,0,0,NA,0,0,NA
Ca18,4.61,6.08,6.63,0,0,NA,0,0,0,0,NA,0,0,NA
