Kogia_breviceps_(PEM_N1862),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,3.22,6.58,4.58,0,0,NA,3.67,1.74,0,0,NA,3.28,2.26,65
T2,3.67,6.58,4.68,7.02,3.14,110,3.8,1.77,0,0,NA,3.42,2.46,65
T3,4.21,6.72,4.87,8.14,4.9,108,3.53,2.48,0,0,NA,3.83,3.21,70
T4,4.45,5.81,4.81,8.96,5.53,110,3.85,2.4,1.7,1.63,3.5,3.4,2.91,70
T5,4.82,6.08,4.66,9.98,6.06,112,3.96,2.62,1.92,1.73,3.8,2.75,2.56,85
T6,5.1,6.14,4.7,9.85,6.06,105,4.15,2.36,2.48,1.75,4.3,2.09,2.89,90
T7,5.32,6.13,4.85,10,5.2,105,3.63,2.89,3.36,1.99,4.4,0,0,NA
T8,5.61,6.55,5.09,10.37,5.77,104,3.76,3.12,3.54,2.46,4.3,3.65,3.7,90
T9,5.79,6.63,5.27,11.14,5.62,102,3.72,3.18,4.11,2.99,4.4,5.02,4.21,90
T10,5.91,6.91,5.5,11.83,5.79,107,3.8,3.43,4.4,2.76,4.3,6.55,4.82,90
T11,6.18,7,5.53,12.21,5.89,109,3.46,3.63,4.58,2.72,4.6,7.44,4.91,95
T12,6.48,7.28,5.74,12.84,5.51,106,3.32,3.69,4.01,3.18,4.8,8.48,5,95
L1,6.6,7.38,6.11,13.28,5.56,106,3.79,3.49,4.66,2.84,5.2,9.19,5.03,90
L2,6.7,7.29,6.5,13.28,5.47,100,3.76,3.36,4.44,2.97,5.5,8.76,5.24,90
L3,6.86,7.48,6.67,13.43,5.54,98,3.64,3.49,4.49,2.75,5.9,8.66,5.01,90
L4,6.91,7.37,6.87,13.75,5.51,100,3.28,3.55,4.41,2.89,5.9,7.23,6.03,90
L5,6.99,7.33,6.98,13,5.99,99,3.47,3.47,4.32,2.72,6,7.68,5.85,90
L6,6.95,7.21,6.88,12.36,5.85,105,3.34,3.32,4.15,2.64,6.2,7.43,6.04,90
L7,7.01,7.36,6.99,12.01,5.43,109,3.36,3.13,3.78,2.51,6.8,7.48,5.73,95
L8,7.01,7.35,7.13,11.42,5.48,106,3.67,3.05,3.71,4.45,7.1,7.4,6.12,95
L9,7.03,7.4,7.33,10.35,5.99,108,3.55,3.18,3.91,2.24,7.5,7.17,5.84,95
Ca1,6.79,7.43,6.81,8.51,6.33,106,3.45,3.09,3.82,2.14,7.25,6.35,6.12,90
Ca2,6.74,7.34,6.87,7.99,5.08,110,3.2,3.13,3.35,2.34,7.1,5.91,5.92,90
Ca3,6.62,7.44,7.03,6.27,3.96,107,2.63,3.24,2.91,2.14,6.8,5.15,5.25,90
Ca4,6.14,7.08,7.03,5.25,3.74,85,2.33,2.92,2.12,1.85,6,4.15,4.96,85
Ca5,5.58,7.04,6.79,4.47,3.64,82,1.79,3.05,1.86,1.49,5.4,3.58,4.6,85
Ca6,5.51,6.94,6.66,3.41,3.81,80,1.59,2.85,1.5,1.39,4.9,2.74,3.81,85
Ca7,5.32,6.61,6.47,3.56,3.71,82,1.4,2.89,1,1.42,3.6,1.74,3.32,85
Ca8,5.13,6.35,6.41,3.87,3.74,88,1.25,2.63,1,1.15,2.9,1.32,2.99,85
Ca9,4.87,6.15,6.18,2.47,3.97,90,1.13,2.66,0,0,NA,0.76,2.59,85
Ca10,4.66,5.71,5.85,1.84,3.59,97,0.98,2.89,0,0,NA,0,0,NA
Ca11,4.51,5.4,5.64,1.69,3.1,100,0.83,2.59,0,0,NA,0,0,NA
Ca12,4.23,5.13,5.42,1.05,3.02,98,0.79,2.78,0,0,NA,0,0,NA
Ca13,3.89,4.88,5.11,0.44,2.4,95,0.63,2.09,0,0,NA,0,0,NA
Ca14,3.26,4.69,4.69,0,0,NA,0.76,1.66,0,0,NA,0,0,NA
Ca15,2.64,4.32,4.33,0,0,NA,0,0,0,0,NA,0,0,NA
