Kogia_sima_(PEM_N3554),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.18,3.59,2.94,2.7,0.94,95,2.52,0.92,0,0,NA,2.02,1.23,60
T2,2.51,3.53,2.82,4.47,1.78,92,2.66,1.32,0,0,NA,2.39,1.79,55
T3,2.65,3.47,2.9,5.01,2.13,105,2.79,1.52,0,0,NA,2.46,2.05,55
T4,2.94,2.87,2.54,5.46,2.64,100,2.84,1.72,0.67,0.8,1.9,2.28,1.84,55
T5,2.92,3.47,2.81,5.7,2.73,102,2.98,1.97,0.9,0.69,2.1,1.75,1.87,58
T6,2.98,3.49,2.88,6.47,3.08,100,2.69,1.92,0.93,0.66,2.4,0,0,NA
T7,3.27,3.9,3.11,6.94,3.18,103,2.7,2.06,1.16,1.4,2.4,1.9,2.06,85
T8,3.79,3.8,3.45,7.65,3.44,108,2.62,1.97,1.56,1.65,2.6,2.34,2.69,90
T9,3.8,4.19,3.6,7.73,3.71,110,2.56,2.25,2.5,1.69,3.2,3.23,3.26,95
T10,3.85,4.32,3.74,7.9,3.69,113,2.82,2.24,2.82,1.93,3.4,4.13,3.68,95
T11,4.05,4.41,3.85,8.03,3.61,110,3.04,2.19,2.63,1.96,3.8,5.29,3.65,100
T12,4.18,4.36,3.92,8.27,3.75,106,3.08,2.19,2.84,2.03,3.9,6.07,3.9,100
T13,4.25,4.51,3.97,8.67,3.49,108,2.86,2.14,2.8,1.86,4,6.19,4.33,95
L1,4.3,4.71,4.21,8.14,3.11,102,2.73,2.35,2.1,2.04,4.1,5.56,4.16,90
L2,4.43,4.62,4.19,8.37,3.29,106,2.58,2.34,2.27,2.08,4.1,5.56,4.64,90
L3,4.49,4.65,4.46,7.87,3.76,107,2.4,2.36,2.62,2.28,4.2,5.38,4.92,90
L4,4.42,4.6,4.42,7.69,3.55,108,2.29,2.39,2.6,2.4,4.2,5.12,4.73,90
L5,4.47,4.83,4.37,7.14,3.86,112,2.19,2.43,2.32,2.11,4.2,5.18,4.91,90
L6,4.44,4.82,4.44,6.77,3.79,120,2.2,2.42,1.93,2.12,4.1,4.9,4.38,90
L7,4.34,4.74,4.5,6.21,3.39,118,2.03,2.35,2.05,2.08,4.2,5.14,4.12,90
L8,4.36,4.71,4.56,5.46,3.29,115,2.13,2.29,2.1,2.02,4,5.13,4.22,90
L9,4.25,4.75,4.9,4.93,2.85,115,2.01,2.27,2.09,1.85,4.1,4.89,4.33,90
L10,4.22,4.63,4.86,4.11,2.5,112,2.31,2.2,1.91,2.09,4,4.63,4.06,90
Ca1,3.93,4.68,4.71,3.97,2.46,113,2.07,2.23,1.66,1.47,3.9,4.46,3.54,90
Ca2,3.94,4.67,4.83,3.49,2.56,115,1.35,2.18,1.65,1.45,3.5,4.32,3.68,90
Ca3,4.13,4.6,4.52,2.84,2.1,110,1.13,2.23,0.77,1.17,2.9,3.76,3.57,90
Ca4,4.06,4.61,4.46,2.4,2.66,110,0.96,2.26,1.07,0.73,2.8,3.05,3.64,90
Ca5,3.86,4.78,4.4,2.04,2.42,112,0.98,2.11,1.19,0.97,2.5,2.45,3.44,85
Ca6,3.8,4.67,4.44,1.74,2.17,115,1.07,2.18,1.14,0.89,2.4,1.62,3.07,85
Ca7,3.74,4.6,4.43,1.66,2.15,115,0.89,2.14,1.12,0.88,2.1,1.16,2.84,85
Ca8,3.67,4.47,4.31,1.29,2.14,105,0.86,2.18,1.03,0.83,1.7,0.87,2.39,80
Ca9,3.56,4.31,4.26,0.9,1.7,102,0.69,2.05,0.83,0.77,1.5,0,0,NA
Ca10,3.46,4.01,4.04,0.85,1.82,100,0.65,2,0.71,0.84,1.3,0,0,NA
Ca11,3.4,3.75,3.88,0.71,1.72,95,0.55,1.88,0.62,0.6,1.2,0,0,NA
Ca12,3.22,3.59,3.62,0.5,1.45,90,0.42,1.82,0,0,NA,0,0,NA
Ca13,2.84,3.35,3.32,0,0,NA,0.53,1.73,0,0,NA,0,0,NA
Ca14,2.31,3.33,3.22,0,0,NA,0,0,0,0,NA,0,0,NA
Ca15,1.98,2.91,2.79,0,0,NA,0,0,0,0,NA,0,0,NA
