Lagenorhynchus_acutus_(USNM_504154),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.17,4.62,3.66,4,0.7,120,2.99,1.12,0,0,NA,2.62,0.95,92
T2,1.55,4.37,3.38,4.97,1.02,123,2.75,1.52,0,0,NA,3.09,1.08,89
T3,2.1,3.95,3.25,5.19,1.03,128,2.74,1.83,0.24,0.35,2.15,2.79,1.33,97
T4,2.42,3.83,3.21,5.43,1.09,134,2.92,1.59,0.56,0.49,2.3,2.84,1.71,102
T5,2.61,3.89,3.27,5.36,1.24,135,3.05,1.6,1.17,0.79,2.7,3.01,1.85,106
T6,2.77,3.87,3.42,5.12,1.18,133,2.89,1.39,1.12,0.51,3,3.13,1.95,102
T7,2.84,3.84,3.43,5.65,1.28,130,3.22,1.28,1.82,0.77,3.4,3.51,1.96,98
T8,2.93,3.92,3.57,6.29,1.19,127,3.23,1.43,2.42,1.01,3.7,3.99,2.1,94
T9,3.02,4,3.62,6.49,1.47,125,3.15,1.98,2.02,1.16,4.3,5.08,2.3,90
T10,3.22,4.07,3.61,7.13,1.8,124,2.97,1.97,2.07,1.07,4.4,6.16,2.46,94
T11,3.12,4.12,3.63,7.62,1.98,122,3.05,2.13,1.77,0.97,4.55,6.37,2.43,99
T12,3.12,4.17,3.75,8,2.03,120,2.95,2.16,1.81,0.95,4.6,6.98,2.69,103
T13,3.16,4.11,3.78,8.52,2.04,123,2.9,2.04,1.7,0.85,4.4,8.23,2.55,107
T14,3.11,4.32,3.88,8.67,2.01,120,3.02,2.11,0.84,0.99,3.9,10.33,2.21,106
T15,3.27,4.45,NA,9.37,2.08,116,3.07,2.07,0.62,0.83,3.7,11.15,2.28,106
L1,2.95,4.42,4.06,9.46,1.89,104,2.73,1.97,0.59,1.13,3.65,10.85,2.03,100
L2,2.87,4.57,4.18,9.35,1.85,100,2.79,1.64,0.7,0.98,3.9,10.42,1.98,97
L3,2.88,4.71,4.2,9.19,1.62,94,3.03,1.64,0.46,0.63,3.95,10.06,1.99,95
L4,2.83,4.81,4.35,9.36,1.9,90,2.96,1.79,0.4,0.64,4,9.75,2.02,90
L5,2.73,4.7,4.34,9.17,1.91,90,3.07,1.81,0.29,0.51,3.9,9.36,2,88
L6,2.64,4.77,4.56,9.37,1.89,88,3.14,1.73,0.26,0.61,4.1,9.23,1.84,88
L7,2.67,4.7,4.62,9.34,1.76,88,3.15,1.55,0.39,0.62,4.25,8.96,1.87,90
L8,2.66,4.82,4.6,9.29,1.71,89,3.01,1.91,0.38,0.6,4.2,8.6,1.79,90
L9,2.58,4.85,4.51,9.29,1.76,91,3.11,1.61,0.31,0.64,4.35,8.55,1.8,92
L10,2.52,4.93,4.64,9.06,1.71,91,3.2,1.65,0,0,NA,8.55,1.77,93
L11,2.48,4.91,4.53,8.85,1.62,90,3.11,1.73,0,0,NA,8.24,1.65,94
L12,2.47,4.88,4.54,8.73,1.64,90,3.17,1.37,0,0,NA,7.89,1.55,95
L13,2.34,4.91,4.63,8.6,1.52,90,3.1,1.57,0,0,NA,7.59,1.56,97
L14,2.32,4.79,4.71,8.59,1.53,91,2.92,1.39,0,0,NA,7.53,1.58,100
L15,2.27,4.82,4.75,8.34,1.42,90,2.75,1.35,0,0,NA,7.13,1.53,103
L16,2.25,4.84,4.85,8.39,1.25,85,2.57,1.51,0,0,NA,6.96,1.61,108
L17,2.23,4.79,4.85,8.6,1.38,82,2.53,1.39,0,0,NA,6.54,1.39,110
L18,2.26,4.73,4.99,8.26,1.23,79,2.39,1.48,0,0,NA,6.33,1.34,111
L19,2.15,4.9,4.93,NA,1.37,NA,2.39,1.39,0,0,NA,6.16,1.22,97
Ca1,2.14,4.94,5.04,7.69,1.13,80,2.3,1.48,0,0,NA,6.11,1.41,96
Ca2,2.12,5,4.83,7.42,1.2,75,2.4,1.44,0.25,0.23,5.3,5.46,1.31,98
Ca3,2.1,5.07,4.83,7.69,1.11,68,2.48,1.43,0.23,0.27,5.3,5.64,1.41,99
Ca4,2.11,5.14,4.87,7.44,1.13,62,2.28,1.46,0.42,0.34,5.2,5.71,1.51,97
Ca5,2.14,5.11,4.87,7.39,1.23,60,2.4,1.36,0.47,0.3,5.5,5.57,1.56,96
Ca6,2.14,5.1,4.86,7.32,1.16,59,2.11,1.46,0.48,0.37,5.6,5.25,1.58,94
Ca7,2.11,5.11,4.92,7.19,1.33,60,2.34,1.41,0.68,0.41,5.75,5.1,1.61,93
Ca8,2.07,5.09,4.89,6.82,1.22,60,1.98,1.45,0.56,0.52,5.6,4.94,1.53,93
Ca9,2.11,5.08,4.97,6.42,1.26,60,1.97,1.45,0.61,0.46,5.5,4.57,1.37,90
