Balaenoptera_edeni_(SAM_ZM12962),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,8.2,20.5,15,7.62,3.9,85,9.05,7.58,4.7,2.07,4.6,20.5,8.14,55
T2,9.8,23,15.2,9.22,3.76,89,10.1,7.72,3.57,3.58,4.3,19.5,5.98,60
T3,11.6,23,15.5,12.63,4.77,80,10.79,10.15,4.04,5.04,7,18.3,8.23,60
T4,14.2,22.5,15.3,16.8,9.26,75,10.75,9.58,6.37,6.18,8.7,20.6,12.52,60
T5,15.5,21.5,15.2,19.7,11.03,80,11.05,10.45,7.72,8.07,10.5,24.2,13.78,65
T6,16,20.5,16,21.7,12.25,85,11.72,9.9,9.07,9.92,11.8,26,14.87,75
T7,17.2,21,15.3,22.5,13.8,95,10.7,10.65,9.92,9.37,12.9,28.5,15.23,92
T8,18,21,15,23,12.81,105,11.51,11.01,8.84,9.77,14.8,30,17,90
T9,18.8,21.5,15.5,NA,NA,NA,11.72,11.49,9.4,9.99,16,30.5,17.1,98
T10,18.1,22,16,NA,NA,NA,11.13,11.86,9.51,10.29,15.4,32,15.2,100
T11,19.5,22,15.5,NA,NA,NA,11.58,12.55,10.15,10.91,17.3,33,15.8,100
T12,20.2,22.5,15.7,NA,NA,NA,10.79,12.5,11.56,10.95,17.5,33.9,13.2,104
T13,20.5,22.5,16,NA,NA,NA,10.86,12.77,11.76,11.2,17.7,34,16.9,96
L1,21.5,22.3,17,NA,NA,NA,10.12,12.86,12.27,9.63,17.4,32,18.1,95
L2,21.4,22.5,17.5,NA,NA,NA,10,12.7,13.77,10.04,18.5,29.5,14.12,95
L3,21.4,21.5,18,NA,NA,NA,11,12.5,12.24,10.16,17.6,30.4,15.23,90
L4,21.6,22,19,NA,NA,NA,10.11,12.22,11.4,9.32,15.8,30.5,13.27,90
L5,23,23,19.5,41,14.58,115,9.77,11.91,10.63,10,16.3,30.1,12.92,85
L6,23.2,23,19.5,38.7,14.81,115,10.5,12.22,10.06,9.59,16.3,29.1,14.92,85
L7,22.5,22.5,19.5,40.3,15.13,117,10.08,12.37,13.3,9.7,17.8,30.2,15.12,85
L8,23,23.2,19.3,40,13.74,120,9.31,11.52,10.11,9.67,17.3,26,15.04,85
L9,23.5,24.3,19.5,38.6,14.78,125,8.43,11.59,10.58,8.19,17.4,26.5,15.9,87
L10,24.3,24.2,20.5,39.8,12.67,117,9.5,10.98,12.07,6.41,16,24.5,15.3,82
L11,22,23.3,21,35.7,12.62,120,8.21,11.7,10.54,7.5,14.8,21.5,12.5,80
L12,22.2,25.7,21.5,33.5,11.52,120,8.65,11.13,8.77,9.06,15.7,20.4,15.5,85
L13,25.5,25.9,22,29.5,13.07,110,8.04,11.46,10.21,7.88,15.7,18.7,15.8,90
Ca1,24.5,26,23.5,27.5,11.81,110,8.2,11.54,8.69,7.8,16,16.2,16,90
Ca2,24.3,27,23.5,27.4,10.08,114,8.56,12.28,8.16,4.43,14.8,15.6,14.9,87
Ca3,22.7,26,23.5,17,9.31,110,7.18,11.74,8.29,5.24,11.5,16.9,13.82,90
Ca4,23.5,28,23.5,13.14,8.15,115,6.51,10.55,8.24,4.28,12.8,13,12.17,80
Ca5,22.5,27.5,22.5,8.48,7.48,120,5.58,9.88,8.62,4.7,11.8,11.5,15.1,85
Ca6,21.2,27,23,6.81,5.88,125,4.34,9.34,7.12,4.41,10.5,9,16.9,80
Ca7,22,26.5,22,4.7,3.6,135,3.03,10.14,6.17,4.06,7.8,5.8,15,85
Ca8,20.5,24.5,21.5,2.75,2.82,130,2.53,9.03,6.31,3.51,6.7,4.6,14,80
Ca9,19.5,23,21,1.91,2.15,140,1.85,8.97,6.03,2.9,5.4,2.5,11.75,80
Ca10,19.5,20.5,20,0,0,NA,1.96,9.59,5.02,1.92,4.7,1.8,9.01,NA
Ca11,17.5,19.5,18,0,0,NA,1.52,8.12,3.62,1.11,1.9,0,0,NA
Ca12,14,16,16,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,10,13.5,16,0,0,NA,0,0,0,0,NA,0,0,NA
