Lagenorhynchus_australis_(USNM_395350),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.23,3.85,3.18,3.09,0.8,122,2.23,1.15,0,0,NA,2.8,1.09,60
T2,1.81,3.7,3.2,4.27,0.97,130,2.41,1.31,0.29,0.45,2.1,2.56,1.31,68
T3,2.19,3.46,3.12,4.73,1.19,128,3.1,1.26,0.38,0.36,2.4,2.67,1.55,84
T4,2.54,3.35,3.13,5.17,1.22,126,3.1,1.42,0.93,0.56,2.75,2.93,1.59,98
T5,2.95,3.39,3.21,5.43,1.52,125,3.05,1.44,1.19,0.68,3.1,3.2,1.86,104
T6,3.03,3.36,3.22,5.68,1.84,126,2.9,1.57,1.14,0.72,3.1,3.34,1.79,111
T7,2.96,3.48,3.38,6.28,1.97,122,2.72,1.52,1.53,0.98,2.7,3.3,1.8,107
T8,3.18,3.7,3.47,7.13,2.02,118,2.76,1.66,1.18,1.05,2.8,4.2,1.92,103
T9,3.26,3.9,3.5,7.61,1.88,118,2.64,1.66,1.4,1.3,3.1,5.02,2.04,102
T10,3.13,3.94,3.38,8.13,2.13,116,2.44,1.7,1.53,0.95,3.2,5.59,2.18,106
T11,3.2,4.03,3.41,8.57,2.04,117,2.44,1.86,1.76,0.88,3.25,6.75,2.29,109
T12,3,4.11,3.45,8.9,2.01,118,2.38,1.81,1.79,0.74,3.25,8.18,2.16,112
T13,3.06,4.23,3.74,9.52,1.92,111,2.4,1.8,1.92,0.63,3.1,9.14,2.04,108
L1,3.02,4.23,3.78,9.68,1.94,112,2.54,1.67,1.4,0.78,3.2,8.98,1.67,100
L2,3.09,4.35,3.76,9.73,1.95,106,2.59,1.68,1.29,0.87,3.05,9.01,1.77,100
L3,3,4.47,3.82,9.71,1.81,100,2.74,1.8,1.5,0.67,3.3,9.19,1.81,100
L4,2.91,4.48,3.91,9.66,1.7,96,2.78,1.61,0.98,0.74,2.8,9.78,1.64,98
L5,2.84,4.44,4.13,10,1.62,92,2.31,1.49,0.73,0.77,2.75,8.54,1.78,96
L6,2.91,4.48,4.14,9.83,1.57,87,2.61,1.61,0.68,0.91,2.8,8.42,1.77,91
L7,2.75,4.45,4.21,9.77,1.91,88,2.48,1.57,0.63,0.82,2.8,8.2,1.9,88
L8,2.69,4.6,4.17,9.99,1.7,81,2.68,1.53,0.44,0.64,3.2,7.9,1.74,96
L9,2.71,4.66,4.09,9.94,1.61,80,2.77,1.66,0.24,0.35,3.4,7.59,1.77,96
L10,2.64,4.61,4.17,9.8,1.65,78,2.71,1.47,0,0,NA,7.49,1.79,96
L11,2.68,4.66,4.18,9.7,1.6,75,2.88,1.46,0,0,NA,7.26,1.81,94
L12,2.64,4.71,4.14,9.1,1.83,75,2.75,1.45,0,0,NA,6.98,1.66,95
L13,2.58,4.65,4.23,8.62,1.57,74,2.85,1.28,0,0,NA,6.7,1.59,95
L14,2.57,4.76,4.37,8.24,1.59,74,2.77,1.39,0,0,NA,6.37,1.62,95
L15,2.44,4.59,4.55,7.88,1.48,72,2.85,1.24,0.35,0.25,4.1,6.29,1.48,92
Ca1,2.41,4.76,4.63,7.65,1.57,70,2.76,1.35,0.53,0.45,4.55,5.89,1.47,87
Ca2,2.48,4.66,4.58,7.3,1.33,67,2.87,1.36,0.52,0.53,4.6,5.94,1.44,84
Ca3,2.51,4.69,4.49,7.06,1.36,69,2.65,1.3,0.56,0.56,4.5,5.69,1.57,78
Ca4,2.54,4.73,4.42,6.97,1.39,67,2.63,1.22,0.7,0.66,4.5,5.37,1.55,76
Ca5,2.5,4.77,4.55,6.82,1.38,64,2.58,1.26,0.69,0.59,4.8,5.45,1.4,66
Ca6,2.56,4.77,4.43,6.65,1.48,60,2.54,1.37,0.69,0.57,4.85,5.08,1.6,66
Ca7,2.54,4.83,4.39,6.56,1.69,63,2.25,1.5,0.89,0.64,4.9,4.62,1.83,64
Ca8,2.54,4.74,4.55,5.66,1.81,60,1.92,1.5,0.73,0.84,4.4,4.17,1.9,65
Ca9,2.56,4.82,4.66,4.74,1.83,62,1.56,1.49,0.9,0.74,4.05,3.74,2.01,62
Ca10,2.75,4.87,4.78,4.24,1.94,63,1.27,1.39,0.95,0.63,3.5,2.73,1.98,62
Ca11,2.85,4.73,4.98,3.61,2.12,80,0.86,1.54,0.94,0.56,2.5,2.12,1.51,61
Ca12,2.76,4.5,4.99,3,2.2,108,0.87,1.76,0.95,0.68,2.2,1.15,1.27,67
Ca13,2.89,4.25,5.03,2.65,2.19,106,0.83,1.68,0.93,0.55,1.7,0.76,1.3,75
Ca14,3.03,4.03,5.01,2.3,2.8,113,0.71,1.96,1.06,0.64,1.4,0.42,1.09,74
Ca15,3.17,3.9,4.98,1.75,2.61,115,0.5,2.18,1,0.63,1.3,0,0,NA
Ca16,3.15,3.67,4.89,1.26,2.56,114,0.53,2.46,0.98,0.45,0.9,0,0,NA
Ca17,3.03,3.46,4.74,0.99,2.57,112,0.53,2.27,0.68,0.42,0.45,0,0,NA
Ca18,2.88,3.2,4.28,0.37,2.02,106,0.42,2.08,0,0,NA,0,0,NA
Ca19,2.37,3.17,3.77,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.8,3.41,3.39,0,0,NA,0,0,0,0,NA,0,0,NA
