Lagenodelphis_hosei_(USNM_571619),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.68,3.97,3.18,1.33,0.4,105,2.99,0.58,0,0,NA,3.16,0.72,73
T2,1.16,3.99,3.03,2.91,0.75,121,2.27,1.2,0,0,NA,3.75,0.98,86
T3,1.79,3.6,3.12,2.77,0.73,133,2.6,1.82,0,0,NA,3.58,1.24,93
T4,2.32,3.31,2.87,3.02,0.95,134,2.68,1.61,0.33,0.36,2.8,3.55,1.75,96
T5,2.59,3.31,2.87,3.55,1.15,129,2.94,1.52,0.71,0.55,3.05,3.8,2.16,105
T6,2.91,3.32,2.88,3.9,1.17,125,3.01,1.38,1.08,0.85,3.5,4.26,2.39,103
T7,3.08,3.29,3.04,4.17,1.38,124,2.78,1.57,1.16,0.9,3.4,4.69,2.22,101
T8,3.15,3.38,3.06,4.7,1.42,122,2.87,1.66,1.68,1.04,3.65,5.23,2.32,96
T9,3.21,3.52,3.21,5.17,1.67,122,2.91,1.84,1.55,1.02,3.8,6.08,2.54,92
T10,3.31,3.61,3.16,5.59,1.83,120,3.04,1.87,1.47,1.15,4,6.72,2.58,95
T11,3.3,3.73,3.18,6.28,1.73,117,3,1.84,1.21,1.24,4.35,7.36,2.38,97
T12,3.3,3.77,3.3,6.87,1.7,115,2.82,1.97,1.79,1.13,4.4,8.16,2.48,101
T13,3.26,3.91,3.35,7.63,1.69,114,2.84,1.86,1.75,0.98,4.3,9.53,2.74,108
T14,3.18,4.02,3.37,7.7,1.82,107,2.79,1.79,1.75,0.83,4.5,11.73,2.15,113
L1,3.1,3.96,3.44,7.98,1.73,96,2.89,1.7,1.61,0.85,4.45,11.35,1.72,108
L2,2.99,4.13,3.4,7.97,1.62,94,2.73,1.71,0.91,0.86,4,10.96,1.69,105
L3,2.88,4.17,3.48,7.9,1.55,92,2.75,1.58,1.13,1.06,4.35,10.91,1.68,100
L4,2.84,4.21,3.52,NA,1.51,88,2.63,1.59,0.84,0.77,4,10.81,1.63,100
L5,2.77,4.15,3.66,NA,1.54,85,2.7,1.52,0.58,0.66,3.75,10.2,1.69,97
L6,2.66,4.15,3.78,NA,1.45,85,2.4,1.45,0.3,0.51,3.5,9.9,1.6,95
L7,2.59,4.09,3.88,NA,1.49,84,2.47,1.55,0.26,0.55,3.4,9.49,1.59,95
L8,2.58,4.12,3.9,NA,1.48,83,2.48,1.49,0,0,NA,9.24,1.56,97
L9,2.46,4.09,4.01,9.48,1.42,81,2.48,1.4,0,0,NA,8.96,1.54,95
L10,2.46,4.16,4.03,9.36,1.37,80,2.53,1.44,0,0,NA,9.01,1.49,95
L11,2.34,4.16,4.03,NA,1.28,80,2.5,1.28,0,0,NA,8.76,1.38,93
L12,2.34,4.14,4.03,9.26,1.3,80,2.54,1.42,0,0,NA,8.48,1.46,90
L13,2.35,4.03,4.14,8.76,1.28,78,2.65,1.26,0,0,NA,8.39,1.52,88
L14,2.33,4.17,4.14,8.9,1.35,78,2.62,1.47,0,0,NA,8,1.41,88
L15,2.25,4.03,4.13,8.54,1.23,76,2.61,1.32,0,0,NA,8.01,1.36,87
L16,2.21,4.06,4.18,8.31,1.51,75,2.65,1.28,0,0,NA,7.83,1.32,86
L17,2.2,4.1,4.2,8.06,1.48,75,2.66,1.39,0,0,NA,7.6,1.33,85
L18,2.2,4,4.24,7.96,1.39,75,2.61,1.29,0.3,0.32,4.25,7.39,1.33,84
L19,2.2,4.07,4.24,7.59,1.33,74,2.64,1.35,0.45,0.52,4.6,7.13,1.31,82
L20,2.18,4.03,4.37,7.59,1.37,74,2.5,1.44,0.54,0.52,4.9,6.61,1.29,79
L21,2.21,4.06,4.28,7.41,1.37,74,2.27,1.4,0.54,0.52,4.8,6.47,1.36,74
L22,2.21,4.1,4.29,7.23,1.31,73,2.13,1.45,0.62,0.6,4.85,6.23,1.33,73
Ca1,2.16,4.16,4.23,6.92,1.42,67,2.07,1.49,0.59,0.58,4.95,6.11,1.43,78
Ca2,2.2,4.12,4.3,6.52,1.21,65,1.98,1.51,0.7,0.54,4.65,5.77,1.47,79
Ca3,2.24,4.17,4.26,NA,NA,NA,1.69,1.42,NA,NA,NA,4.92,1.47,80
Ca4,2.25,4.15,4.18,6.37,1.11,65,1.71,1.45,0.86,0.58,4.7,5.05,1.41,80
Ca5,2.26,4.13,4.24,6.14,1.37,63,1.53,1.58,0.74,0.59,4.6,5.13,1.66,77
Ca6,2.27,4.09,4.11,5.97,1.51,65,1.53,1.65,0.77,0.58,4.6,5,1.39,75
Ca7,2.27,4.14,4.26,5.7,1.46,65,1.29,1.6,0.88,0.53,4.55,4.78,1.47,75
Ca8,2.32,4.13,4.21,5.33,1.41,67,1.23,1.57,1.12,0.58,4.5,4.56,1.55,74
Ca9,2.34,4.24,4.22,5,1.35,68,1.17,1.48,0.92,0.48,4.05,4.15,1.73,73
Ca10,2.36,4.29,4.38,4.84,1.31,65,1.11,1.48,0.98,0.48,4,4.39,1.79,73
Ca11,2.38,4.36,4.42,4.69,1.34,66,1.05,1.57,0.87,0.56,3.65,4.21,1.91,70
Ca12,2.43,4.34,4.55,4.34,1.39,68,0.95,1.45,0.9,0.59,3.55,3.74,1.8,66
Ca13,2.42,4.46,4.57,4.25,1.44,71,0.86,1.52,0.6,0.45,3,3.17,1.88,64
Ca14,2.48,4.5,4.68,3.99,1.38,76,0.78,1.54,0.7,0.54,2.9,2.83,1.75,62
Ca15,2.5,4.48,4.79,3.59,1.6,88,0.72,1.53,0.63,0.57,2.5,2.07,1.38,60
Ca16,2.59,4.42,4.63,3.37,1.7,97,0.7,1.63,0.65,0.57,2.15,0.99,1.22,65
Ca17,2.66,4.05,4.58,3.07,1.84,98,0.69,1.63,0.61,0.49,1.8,0.53,0.84,70
Ca18,2.75,3.67,4.63,2.5,1.77,102,0.54,1.84,0.56,0.56,1.4,0,0,NA
Ca19,2.81,3.35,4.66,1.89,1.9,109,0.47,1.92,0.55,0.53,0.85,0,0,NA
