Balaenoptera_edeni_(USNM_572922),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,6.32,19.1,14.25,7.07,2.9,102,5.89,5.05,1.07,1.9,1.2,15.85,4.74,58
T2,7.79,19.1,13.8,5.18,2.39,98,6.88,5.14,2.05,1.52,2.6,16.2,4.68,56
T3,9.79,19.4,13.96,11.11,7.31,88,8.68,5.88,3.02,2.58,3.4,14.7,5.71,61
T4,11.29,18.8,13.68,14.81,7.89,91,7.19,6.61,5.24,3.49,6.6,16.85,6.78,74
T5,12.37,18.55,13.3,18.6,8.85,89,8.45,7.14,6.33,3.83,7.9,19.9,8.26,76
T6,13.47,18.55,14.01,20.9,10.12,85,7.52,7.55,6.41,6.26,9.6,23.4,10.45,78
T7,14.76,18.95,14.55,23,11.47,96,8.18,8.12,7.38,6.62,11.4,26.9,12.06,81
T8,15.3,19.1,14.8,25.15,12.36,100,7.87,8.99,8.23,5.94,12.5,28.4,12.054,89
T9,16.35,19.75,NA,26.2,11.93,111,7.76,10.01,8.5,5.74,13.5,30.1,13.97,95
T10,16.3,19.25,15.3,25.4,12.51,108,8.02,9.8,7.31,5.49,12.9,30,13.8,90
T11,16.9,20.15,15.35,27.3,11.53,116,7.47,10.44,8.01,6.09,13.05,30.4,13.51,93
T12,17.75,20.3,14.5,29.95,11.45,122,8.03,10.79,9.07,6.1,12.7,30.15,14,100
T13,17.3,20.3,15.25,28.1,11.94,116,6.78,10.36,9.46,5.97,12.6,31.25,13.88,93
L1,18.1,20.15,15.2,31.3,12.82,116,6.97,10.44,9.64,6.02,13.9,27.85,11.74,100
L2,18.25,20,15.05,32.5,13.09,117,6.7,10.8,9.62,6.38,13.65,27.8,11.5,96
L3,18.5,20.35,15.5,32.4,12.2,121,5.98,10.5,9.54,5.54,13.45,26.85,12.13,92
L4,19.2,20.55,16.15,34.2,13.01,122,5.32,10.71,9.65,5.82,12.9,26,12.33,88
L5,19.5,20.35,17.65,34.9,13.2,120,5.46,10.79,10.03,5.33,12.35,26.1,13.25,88
L6,20.05,20.6,17,34.9,12.73,124,4.74,10.67,8.69,6.15,12.6,22.9,13.51,84
L7,19.75,20.5,16.9,NA,10.88,120,4.97,10.59,8.67,6.43,13,25.3,13.52,83
L8,20.2,21.2,17.15,34.3,12.63,120,4.69,10.1,7.53,6.09,11.95,21.95,12.55,82
L9,20.45,21.15,17.1,31.8,12.6,121,5.22,10.32,8.77,5.5,11.5,20.25,12.8,81
L10,21.25,22.2,17.9,30.4,12.72,122,5.5,9.35,8.55,5.43,11.6,19.9,14.07,78
L11,21.55,22.95,18.35,29.5,11.72,119,6.11,9.7,7.8,4.87,11.15,19.75,12.79,81
L12,21.75,23.45,18.8,27.45,12,112,5.74,9.45,6.91,7.17,11.1,17.8,12.48,81
L13,21.5,23.95,19.6,25.8,11.85,107,6,9.5,7.85,6.81,11.3,16.3,12.91,78
Ca1,21.2,24.2,20.5,24.2,13.06,102,5.65,10.05,7.98,6.53,10.65,15.5,12.56,79
Ca2,20.6,23.95,21.6,21.15,12.68,103,4.72,10.35,7.16,6.45,10.5,15.1,10.75,90
Ca3,20.8,24.6,21.8,15.75,10.64,106,4.5,9.92,6.79,6.04,10.35,11.05,12.52,90
Ca4,20.85,24.6,22.5,10.2,8.72,113,3.79,9.16,6.01,6.26,9.7,8.75,11.94,82
Ca5,20.2,24.55,22.45,7.08,6.2,119,4.18,7.79,4.92,5.85,8.85,6,11.89,90
Ca6,19.9,23.6,22.35,4.27,5.86,120,3.72,8.15,4.78,5.97,7.6,4.27,10.08,90
Ca7,19.25,22.55,21.9,3.84,4.48,120,2.66,7.32,3.7,5.53,7,2.43,9.8,90
Ca8,18.25,21.75,21.15,4.14,3.84,125,2.42,6.31,3.89,4.48,4.9,2.13,4.58,80
Ca9,17.3,19.95,21.1,3.37,3.53,128,1.63,6.26,3.42,4.42,4.5,1.61,3.17,85
Ca10,15.2,18.5,19.6,1.7,4.1,124,1.45,5.94,3.9,3.49,3.3,0,0,NA
Ca11,11.9,17.45,17,1.04,3.21,113,1.3,6.21,3.63,2.45,2.2,0,0,NA
