Lagenorhynchus_obscurus_(SAM_ZM35681),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.04,3.19,2.53,2.44,0.75,135,1.64,0.86,0,0,NA,2.01,0.87,70
T2,1.46,3.13,2.4,2.89,0.77,130,1.78,1.26,0,0,NA,1.96,1.1,80
T3,1.7,3.02,2.32,2.75,0.83,125,1.93,1.33,0.34,0.52,1.7,2.07,1.23,90
T4,1.87,2.93,2.29,3.08,0.9,125,2.16,1.35,0.52,0.45,2,1.98,1.33,90
T5,2,2.85,2.43,2.8,1.04,127,2.16,0.78,0.61,0.48,1.95,2.11,1.32,95
T6,2.08,2.87,2.54,3.23,1.12,120,2.23,0.86,0.82,0.42,2.15,2.58,1.33,90
T7,2.13,2.97,2.59,3.84,1.18,118,1.96,1.19,1.16,0.58,2.15,3.19,1.31,90
T8,2.16,3.08,2.65,3.98,1.23,118,2.03,1.24,1.32,0.61,2.45,3.06,1.32,90
T9,2.18,3.14,2.68,4.16,1.31,118,2.12,1.25,1.13,0.74,2.65,3.4,1.36,90
T10,2.11,3.17,2.7,4.34,1.27,115,2.1,1.21,1.03,0.6,2.7,3.68,1.79,95
T11,2.02,3.15,2.75,4.68,1.22,112,2.08,1.2,0.94,0.63,2.75,4.51,1.73,97
T12,1.97,3.15,2.77,4.87,1.18,117,2.08,1.13,0.83,0.57,2.75,5.52,1.43,100
T13,1.9,3.1,2.84,5.14,1.15,113,2.06,1.11,0.71,0.67,2.5,7.44,1.07,105
L1,1.81,3.18,2.81,5.29,1.23,113,2.03,0.99,0.76,0.69,2.75,7.4,0.81,105
L2,1.75,3.19,2.84,5.38,1.18,110,2.16,0.86,0.69,0.79,2.8,7.28,0.88,100
L3,1.7,3.22,2.86,5.37,1.14,110,2.16,0.87,0.69,0.62,2.95,7.24,0.88,102
L4,1.68,3.17,2.93,5.42,1.1,108,2.3,0.83,0.41,0.73,2.95,7.2,0.89,99
L5,1.64,3.28,3.07,5.44,1.15,105,2.17,0.87,0.56,0.71,3.05,7.08,0.86,97
L6,1.63,3.28,3.11,5.56,1.02,98,2.18,0.81,0.48,0.76,3.1,6.82,0.89,95
L7,1.6,3.22,3.12,5.56,1.19,94,2.17,0.91,0.48,0.7,3.1,6.61,0.88,94
L8,1.54,3.17,3.17,5.8,0.95,92,2.16,0.81,0.22,0.38,2.95,6.26,0.73,93
L9,1.51,3.32,3.22,5.67,0.99,90,2.25,0.78,0.22,0.31,2.75,5.95,0.76,90
L10,1.46,3.35,3.19,5.74,0.88,90,2.16,0.82,0,0,NA,5.81,0.8,90
L11,1.44,3.26,3.16,5.56,0.89,90,2.18,0.7,0,0,NA,5.69,0.96,90
L12,1.55,3.28,3.27,5.45,0.87,88,2.17,0.71,0,0,NA,5.65,0.71,85
L13,1.5,3.24,3.26,5.33,0.86,89,2.21,0.68,0,0,NA,5.34,0.72,77
L14,1.55,3.25,3.2,4.9,0.82,88,2.4,0.69,0,0,NA,5.24,0.75,75
L15,1.5,3.36,3.33,4.91,0.95,85,2.36,0.75,0,0,NA,4.98,0.68,75
L16,1.51,3.5,3.31,4.55,0.83,84,2.32,0.63,0,0,NA,4.97,0.68,76
L17,1.54,3.51,3.39,4.62,0.91,80,2.25,0.68,0,0,NA,4.7,0.7,74
L18,1.5,3.48,3.36,4.5,0.88,79,2.25,0.74,0,0,NA,4.7,0.73,70
L19,1.56,3.37,3.38,4.09,0.88,78,2.26,0.71,0.2,0.46,3.35,4.51,0.69,69
L20,1.55,3.5,3.45,4.33,0.85,75,2.11,0.71,0.18,0.4,3.5,4.3,0.62,67
L21,1.62,3.59,3.54,4.23,0.95,74,1.96,0.79,0.32,0.41,3.55,4.22,0.66,64
L22,1.59,3.62,3.54,4.08,0.96,70,2.05,0.8,0.26,0.34,3.5,4.11,0.7,64
Ca1,1.58,3.65,3.58,3.68,0.81,70,2.02,0.69,0.37,0.28,3.5,3.87,0.75,63
Ca2,1.56,3.58,3.51,3.75,0.89,67,1.96,0.73,0.43,0.23,3.6,3.87,0.81,64
Ca3,1.65,3.69,3.52,3.63,0.98,60,1.88,0.82,0.53,0.24,3.7,3.8,0.75,65
Ca4,1.6,3.61,3.57,3.49,1.02,65,1.78,0.76,0.79,0.28,3.85,3.6,0.74,65
Ca5,1.64,3.6,3.54,3.44,1.07,64,1.58,0.78,0.67,0.3,3.7,3.39,0.9,66
Ca6,1.67,3.66,3.45,3.14,1.04,70,1.45,0.8,0.82,0.33,3.6,3.19,1.03,65
Ca7,1.73,3.58,3.53,3.06,1.06,65,1.37,0.84,0.87,0.36,3.3,3.1,1,68
Ca8,1.82,3.58,3.55,3.13,1,66,0.94,0.88,0.81,0.32,3.2,2.55,0.99,67
Ca9,1.76,3.56,3.62,2.64,0.92,67,0.88,1,1,0.32,2.8,2.03,0.99,68
Ca10,1.82,3.49,3.67,2.5,0.91,65,0.75,0.9,0.82,0.39,2.4,1.58,0.94,68
Ca11,1.82,3.44,3.68,2.1,0.89,70,0.66,1,0.82,0.44,2.05,1.24,0.96,70
Ca12,1.99,3.47,3.58,1.68,1.1,76,0.67,1.13,0.91,0.5,1.7,0.56,0.84,70
Ca13,2.12,3.22,3.72,1.41,0.99,85,0.49,1.22,0.77,0.52,1.4,0.37,0.72,80
Ca14,2.17,3,3.68,1.23,0.95,95,0.56,1.43,0.61,0.5,1.1,0,0,NA
Ca15,2.24,2.82,3.59,1.07,0.99,105,0.47,1.43,0.68,0.58,0.8,0,0,NA
Ca16,2.34,2.68,3.43,0.73,1.16,110,0.39,1.68,0.25,0.35,0.6,0,0,NA
Ca17,2.32,2.53,3.34,0.5,1.2,105,0.39,1.35,0.21,0.26,0.4,0,0,NA
Ca18,2.17,2.5,3.02,0,0,NA,0.4,1.05,0,0,NA,0,0,NA
Ca19,1.84,2.47,2.68,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.34,2.55,2.63,0,0,NA,0,0,0,0,NA,0,0,NA
