Mesoplodon_mirus_(USNM_504612),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,2.97,6.32,5.42,12.3,2.8,98,5.73,2.8,0,0,NA,2.73,1.88,77
T2,4.05,6.43,4.65,14.2,3.76,102,6.19,3.63,0.65,0.58,4,2.84,2.17,78
T3,5.21,6.53,4.39,15.25,4.02,105,6.31,4.32,0.87,1.04,4.65,2.91,2.19,82
T4,6.12,6.68,4.48,15.75,4.7,107,6.67,3.63,1.21,1.26,6,2.95,2.39,86
T5,6.86,6.82,4.63,16.85,5.35,108,6.58,3.38,1.62,1.53,6.15,3.38,2.29,91
T6,7.55,7.29,4.69,16.7,6.19,110,6.65,3.47,2.59,1.45,6.5,3.81,2.53,97
T7,8.18,6.79,5.11,17.1,6.66,110,6.54,4.81,4.29,2.49,6.7,1.52,2.12,80
T8,8.87,7.31,5.3,18.2,7.21,108,6.21,5.38,4.23,3.41,7.3,4.12,4.28,81
T9,9.49,7.52,5.54,19.65,7.16,104,5.98,6.02,5.12,3.4,7.35,7.25,6.4,87
T10,10.36,8.16,6.07,21.25,7.53,100,5.84,6.34,4.78,3.18,7.45,10.12,7.3,90
L1,10.94,8.81,6.33,22.45,7.63,98,5.83,6.72,4.5,3.55,7.7,11.8,7.14,80
L2,11.17,9.03,6.53,23.9,7.6,96,5.75,7.07,4.57,3.56,7.9,12.04,7.06,68
L3,11.62,9.02,6.84,24.4,7.4,94,5.93,7.28,4.53,4.11,8.35,11.65,7.48,66
L4,12.05,9.08,7.13,25.2,7.38,93,6.04,7.63,4.87,3.91,8.5,11.52,7.49,63
L5,12.67,9.25,7.26,25.95,7.34,91,5.71,7.81,4.77,4.33,8.75,11.3,7.58,65
L6,13.5,9.33,7.64,25.95,7.54,96,5.54,8.35,4.18,5.26,8.6,10.8,7.35,70
L7,14.31,9.9,7.89,25.9,7.36,96,5.18,8.9,4.6,5.01,8.85,10.73,8.12,65
L8,14.8,10.12,8.14,26.4,7.53,93,4.62,9.64,4.53,4.92,8.3,10.63,8.71,65
L9,15.45,10.16,8.5,25.4,8.39,98,4.18,10.01,3.42,4.59,7.7,10.65,9.13,70
L10,15.17,10.32,8.72,24.75,8.26,99,3.68,9.68,3.25,4.27,7.5,9.89,9.46,74
Ca1,14.61,10.65,9.15,24.45,8.81,98,3.47,9.27,2.55,3.6,6.55,7.38,9.83,81
Ca2,13.78,10.35,9.24,23.45,8.96,97,3.18,8.92,2.46,3.63,5.75,8.24,9.46,84
Ca3,13.04,10.02,9.58,21.55,8.69,97,3.04,8.51,1.94,3.14,5.25,6.52,9.4,85
Ca4,12.5,9.85,9.92,19.45,8.34,100,2.63,8.03,1.57,2.22,4.7,5.58,8.07,85
Ca5,12.07,10.02,9.71,16.35,7.81,104,1.77,7.63,1.88,2.68,4.4,4.93,6.26,84
Ca6,11.5,9.99,9.91,13.36,7.34,107,1.55,6.94,2.1,2.35,3.5,3.67,5.77,86
Ca7,11.13,9.39,9.65,9.97,6.02,109,1.22,5.92,2.09,1.93,2.9,2.11,4.45,80
Ca8,10.46,8.49,9.32,7.12,6.2,110,1.13,6.11,1.26,1.1,1.5,1.15,3.14,85
Ca9,9.57,7.94,9.47,4.51,6.57,106,1.11,6.04,1.64,1.24,1.1,0,0,NA
Ca10,8.49,7.67,8.85,2.37,6.25,103,0.77,5.88,1.19,1,0.65,0,0,NA
Ca11,6.29,7.66,8.06,0.58,3.02,100,0.45,3.55,0,0,NA,0,0,NA
Ca12,4.59,7.13,7.06,0,0,NA,0,0,0,0,NA,0,0,NA
