Cephalorhynchus_commersonii_(USNM_550156),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.08,2.38,2.15,1.66,0.52,110,2.24,0.74,0,0,NA,1.9,0.63,73
T2,1.38,2.22,2.21,2.36,0.6,114,2.33,1.03,0,0,NA,1.59,0.96,82
T3,1.66,2.21,2.29,2.6,0.81,118,2.27,0.98,0.19,0.24,2.25,1.5,1.2,92
T4,1.85,2.19,2.22,3.12,0.99,121,2.35,0.87,0.55,0.33,2.1,1.35,1.17,94
T5,1.93,2.31,2.24,3.19,1.23,118,2.42,1.02,0.84,0.63,2.5,1.3,1.23,92
T6,2.06,2.24,2.36,3.3,1.34,118,2.47,1.11,1.18,0.72,2.6,1.37,1.33,91
T7,1.99,2.31,2.39,4.07,1.46,121,2.25,1.28,1.13,0.93,2.75,1.81,1.15,90
T8,2.19,2.34,2.26,4.14,1.53,119,2.19,1.3,0.98,0.98,2.85,2.2,1.47,87
T9,2.12,2.44,2.27,4.24,1.63,120,2.15,1.37,0.87,0.85,2.95,2.6,1.59,94
T10,2.1,2.46,2.29,5.03,1.48,120,2.06,1.49,0.93,0.89,3.1,3.51,1.9,100
T11,2.14,2.58,2.33,4.99,1.35,122,2.05,1.44,0.97,0.83,3,4.16,1.5,104
T12,2.07,2.55,2.4,5.13,1.24,123,1.95,1.17,1.37,0.82,3.15,5.23,1.46,109
T13,2.05,2.6,2.39,5.15,1.15,120,1.98,1.2,1.26,0.74,3.1,5.73,1.47,105
L1,2.04,2.62,2.41,5.04,1.22,120,1.94,1.24,1.06,0.74,3.1,5.74,1.35,104
L2,1.98,2.71,2.4,5.22,1.12,119,1.96,1.05,1.11,0.7,3.05,5.76,1.37,103
L3,1.96,2.65,2.53,5.2,1.01,114,1.87,1.05,1.09,0.62,3,5.96,1.38,100
L4,1.97,2.75,2.58,5.24,1.03,111,1.76,1.06,0.9,0.66,2.9,5.5,1.46,97
L5,1.93,2.78,2.62,5.31,1.1,106,1.78,0.97,0.83,0.73,2.55,5.34,1.3,90
L6,1.87,2.81,2.66,5.23,1.05,99,1.67,1.07,0.84,0.72,2.75,4.97,1.36,91
L7,1.85,2.73,2.8,5.08,1.04,92,1.76,1.21,0.7,0.72,2.75,4.7,1.41,94
L8,1.81,2.82,2.77,5.12,0.99,83,1.64,1.04,0.67,0.76,2.7,4.42,1.44,94
L9,1.81,2.93,2.76,5.16,1,80,1.59,1.09,0.67,0.57,2.7,4.46,1.39,96
L10,1.76,2.95,2.78,4.99,1,80,1.61,1.13,0.5,0.63,2.4,4.38,1.08,95
L11,1.73,2.95,2.76,4.91,0.92,80,1.44,1.06,0.57,0.61,2.5,4.09,1.12,95
L12,1.76,3.05,2.87,4.8,0.91,79,1.44,1.1,0.59,0.45,2.6,3.82,1.07,90
L13,1.71,3.06,2.95,4.55,0.84,77,1.42,1.04,0.78,0.48,2.8,3.75,1.06,87
Ca1,1.73,3.16,3.11,4.48,0.81,68,1.26,1.14,0.78,0.5,2.6,3.45,1.1,85
Ca2,1.65,3.18,3.16,4.11,0.89,66,1.25,1.02,0.9,0.42,2.8,3.11,1.13,82
Ca3,1.68,3.14,3.06,3.89,0.99,63,1.22,1.04,1.02,0.44,2.95,2.87,0.94,80
Ca4,1.62,3.12,3.08,3.51,0.95,64,1.25,1.05,1.06,0.45,2.85,2.62,0.99,78
Ca5,1.62,3.11,3.13,3.15,0.95,66,1.28,0.98,1.03,0.48,2.9,2.72,1.15,76
Ca6,1.57,3.03,3.12,2.94,0.93,67,1.14,0.97,0.91,0.49,2.8,2.63,1.08,74
Ca7,1.61,3.03,3.11,2.88,0.97,67,0.95,0.91,0.86,0.55,2.6,2.26,1.1,74
Ca8,1.56,3.01,3.07,2.49,1.15,60,0.78,0.94,0.81,0.62,2.3,2.11,1.04,71
Ca9,1.62,3.07,3.09,2.39,1.07,61,0.56,0.92,0.87,0.61,2.15,1.93,1.09,68
Ca10,1.62,2.96,3.24,2.03,1.18,64,0.46,0.9,0.78,0.62,1.85,1.42,0.95,65
Ca11,1.68,3.01,3.23,1.68,1.14,99,0.4,0.9,0.72,0.64,1.5,0.96,0.93,63
Ca12,1.8,2.9,3.22,1.63,1.22,101,0.32,1.03,0.66,0.54,1.3,0.74,0.96,61
Ca13,1.79,2.81,3.26,1.42,1.08,103,0.39,1.15,0.62,0.66,0.95,0.47,0.84,68
Ca14,1.77,2.66,3.22,1.19,0.99,106,0.35,1.21,0.63,0.59,0.8,0.29,0.57,75
Ca15,1.78,2.63,3.15,0.95,1.07,108,0.34,1.4,0.62,0.39,0.6,0,0,NA
Ca16,1.74,2.6,3.11,0.55,1.08,112,0.33,1.38,0.53,0.43,0.55,0,0,NA
Ca17,1.7,2.59,2.96,0,0,NA,0.29,1.19,0.48,0.31,0.35,0,0,NA
Ca18,1.65,2.44,2.9,0,0,NA,0.17,0.78,0,0,NA,0,0,NA
Ca19,1.49,2.49,2.5,0,0,NA,0,0,0,0,NA,0,0,NA
