Cephalorhynchus_eutropia_(NRM_616647),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.55,3.08,2.93,1.61,0.51,103,2.55,0.5,0,0,NA,2.03,0.78,55
T2,0.94,2.9,2.4,1.92,0.67,105,2.45,0.83,0,0,NA,2.09,0.94,55
T3,1.19,2.6,2.74,2.38,0.84,110,2.9,1.24,0,0,NA,2.2,1,64
T4,1.49,2.41,2.49,2.28,0.95,114,3.05,1.11,0,0,NA,1.93,1.21,67
T5,1.53,2.49,2.54,2.68,0.96,112,3,1.11,0.46,0.67,2.4,1.88,1.21,81
T6,1.61,2.46,2.59,3.04,1.23,109,2.9,1.04,0.65,0.67,2.3,2.19,1.19,82
T7,1.65,2.46,2.56,3.1,1.31,111,2.9,1.04,1.03,0.77,2.7,2.61,0.99,93
T8,1.58,2.57,2.69,3.59,1.51,117,2.7,1.23,0.97,0.7,3.1,2.74,1.07,93
T9,1.7,2.82,2.7,3.73,1.38,120,2.6,1.09,1.01,0.79,2.85,2.87,0.91,96
T10,1.63,2.85,2.71,3.99,1.33,116,2.6,1.15,0.86,0.86,3.1,3.21,1.28,97
T11,1.62,3.06,2.77,4.35,1.23,114,2.5,1.14,0.86,0.85,3.2,4.08,1.55,105
T12,1.71,3.2,2.78,4.22,1.3,110,2.4,1.04,0.83,0.71,3.05,4.55,1.71,105
T13,1.7,3.14,2.98,4.53,1.25,108,2.5,1.11,0.92,0.68,2.95,5.12,1.38,111
L1,1.79,3.36,2.94,4.63,1.15,104,2.5,0.99,0.78,0.68,3.05,5.47,1.16,109
L2,1.53,3.48,3.07,4.43,1.13,100,2.3,0.99,0.72,0.49,2.9,5.41,1.22,103
L3,1.66,3.63,3.03,4.44,1.09,97,2.25,0.97,0.72,0.64,2.9,5.62,1.25,100
L4,1.6,3.5,3.2,4.51,1.1,95,2.05,1.03,0.6,0.63,2.85,5.62,1.25,96
L5,1.64,3.6,3.31,4.71,1.07,92,1.8,0.96,0.47,0.57,2.6,5.37,1.26,93
L6,1.62,3.51,3.42,4.54,1,88,1.9,0.98,0.39,0.53,2.45,5.48,1.34,92
L7,1.57,3.64,3.57,4.66,1.05,88,1.75,1.02,0.26,0.51,2.45,5.49,1.21,91
L8,1.53,3.58,3.57,4.6,1.07,88,1.85,0.98,0.38,0.37,2.3,5.2,1.2,90
L9,1.54,3.73,3.53,4.25,1.09,87,1.85,0.93,0,0,NA,5.11,1.27,90
L10,1.47,3.62,3.38,4.11,1.06,84,1.9,0.91,0,0,NA,4.91,1.08,93
L11,1.4,3.55,3.4,3.95,1.03,84,2,0.92,0,0,NA,4.74,1.15,91
L12,1.48,3.62,3.43,3.72,1.01,83,1.95,0.84,0,0,NA,4.39,1,90
L13,1.51,3.73,3.42,3.45,1.01,80,1.9,0.85,0,0,NA,4.19,0.9,89
L14,1.49,3.74,3.46,3.32,1.06,78,1.9,0.91,0,0,NA,4.1,0.91,87
L15,1.43,3.76,3.33,3.25,1.06,76,1.8,0.84,0.23,0.49,2.9,3.85,0.91,85
L16,1.4,3.62,3.53,3.29,0.98,73,1.85,0.84,0.19,0.41,2.9,3.7,0.92,83
Ca1,1.44,3.77,3.68,3,1.09,77,1.85,0.82,0.25,0.47,2.85,3.79,1,80
Ca2,1.33,3.83,3.53,2.85,0.98,80,1.85,0.83,0.32,0.41,2.8,3.66,0.95,76
Ca3,1.34,3.91,3.65,2.94,1.07,87,1.6,0.83,0.21,0.46,2.7,3.63,1.09,74
Ca4,1.37,3.98,3.45,2.77,1.13,84,1.5,0.8,0.26,0.39,2.75,3.5,1.08,73
Ca5,1.3,3.92,3.45,2.56,1.19,86,1.65,0.83,0.27,0.43,2.5,3.16,1.03,73
Ca6,1.45,3.82,3.41,2.53,1.3,86,1.35,0.82,0.37,0.4,2.45,2.88,1.22,71
Ca7,1.46,3.82,3.5,2.28,1.4,90,1.25,0.88,0.34,0.39,2.4,2.5,1.14,70
Ca8,1.35,3.85,3.63,2.23,1.29,87,1.05,0.97,0.38,0.49,1.9,2.15,1.2,68
Ca9,1.49,3.84,3.8,1.7,1.22,86,0.95,0.81,0.35,0.48,1.6,1.59,1.03,67
Ca10,1.49,3.86,3.97,1.5,1.2,88,0.85,0.99,0.37,0.48,1.35,1.17,0.96,65
Ca11,1.51,3.77,3.8,1.09,1.14,90,0.75,0.89,0.32,0.41,1.25,0.82,0.91,68
Ca12,1.65,3.62,3.87,1.05,1.25,93,0.65,1,0.37,0.37,1.1,0.39,0.73,70
Ca13,1.66,3.46,3.99,0.74,0.97,95,0.65,1.01,0.26,0.4,0.7,0,0,NA
Ca14,1.53,3.29,3.96,0.54,0.92,100,0.5,1.18,0.2,0.27,0.45,0,0,NA
Ca15,1.66,3.01,3.78,0,0,NA,0.4,0.89,0,0,NA,0,0,NA
Ca16,1.44,2.82,3.26,0,0,NA,0.36,0.87,0,0,NA,0,0,NA
Ca17,1.48,2.7,3.06,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.48,2.67,2.97,0,0,NA,0,0,0,0,NA,0,0,NA
