Cephalorhynchus_heavisidii_(SAM_ZM19943),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.02,2.93,2.36,1.83,0.52,125,2.09,0.81,0,0,NA,2.21,0.99,70
T2,1.38,2.52,2.39,2.7,0.6,135,2.24,1.25,0,0,NA,2.48,1.05,80
T3,1.71,2.41,2.41,3.08,0.79,135,2.27,1.58,0.37,0.36,2.05,2.43,1.24,85
T4,2.03,2.36,2.42,3.91,0.96,130,2.47,1.42,0.75,0.57,2.4,2.45,1.31,95
T5,2.28,2.35,2.46,4.42,1.17,135,2.48,1.4,0.86,0.44,2.7,2.72,1.36,97
T6,2.4,2.35,2.51,4.51,1.18,135,2.26,1.07,1.18,0.62,2.8,2.71,1.34,102
T7,2.57,2.55,2.63,4.74,1.45,130,2.32,1.03,1.4,0.64,2.9,2.93,1.41,99
T8,2.52,2.46,2.66,5,1.39,125,2.38,1.49,1.46,0.9,2.95,3.23,1.41,99
T9,2.53,2.55,2.59,5.53,1.64,120,2.54,1.52,1.31,0.88,3.1,3.33,1.62,97
T10,2.51,2.61,2.58,5.41,1.57,118,2.44,1.46,1.17,1.16,3.1,3.98,2.1,100
T11,2.42,2.77,2.62,5.61,1.49,116,2.51,1.3,1.28,0.91,3.5,4.75,1.94,103
T12,2.38,2.71,2.82,5.64,1.44,113,2.48,1.44,1.51,1,3.7,6.06,1.76,105
T13,2.31,2.8,2.81,NA,1.43,117,2.38,1.25,1.05,0.64,3.6,7.44,1.62,110
L1,2.28,2.95,2.76,NA,1.44,118,2.52,1.1,1.34,0.58,3.65,7.26,1.45,100
L2,2.21,3.05,2.86,5.71,1.4,110,2.43,1.12,1.16,0.54,3.4,6.96,1.38,100
L3,2.23,2.86,2.78,5.65,1.51,108,2.49,1.19,1.39,0.51,3.55,7.18,1.34,103
L4,2.2,3.07,3,5.6,1.3,98,2.15,1.13,1.2,0.35,3.5,6.91,1.34,100
L5,2.1,3.04,2.91,5.52,1.39,93,2.19,1.11,0.65,0.37,3,6.82,1.38,96
L6,2.12,2.96,2.98,5.71,1.4,88,2,1.08,0.53,0.49,2.7,6.61,1.33,96
L7,2.02,2.97,3.05,5.86,1.28,82,1.93,1.21,0.39,0.58,3.1,6.4,1.3,97
L8,2.03,3.03,3.08,5.66,1.25,78,2.06,1.14,0.25,0.32,3.15,6.12,1.36,97
L9,1.98,3.06,3.12,5.85,1.15,80,2,1.06,0,0,NA,5.88,1.3,100
L10,1.97,3.14,3.2,5.51,1.13,79,1.98,1.1,0,0,NA,5.55,1.2,102
L11,1.99,3.17,3.33,5.12,1.23,77,2.06,1.1,0,0,NA,5.09,1.17,100
L12,1.94,3.26,3.35,5.11,1.22,78,2.1,1.15,0,0,NA,4.92,1.08,100
L13,1.95,3.21,3.36,5.18,1.14,78,1.96,1.09,0.22,0.35,3,4.68,1,95
L14,1.9,3.43,3.45,5.08,1.26,77,2.08,1.05,0.45,0.48,3.3,4.51,0.98,93
L15,1.94,3.47,3.32,4.82,1.3,78,1.82,1,0.62,0.5,3.5,4.45,0.96,88
L16,1.89,3.48,3.3,4.69,1.32,80,1.95,1.1,0.65,0.42,3.5,4.24,0.92,82
L17,1.8,3.39,3.27,4.47,1.23,80,1.79,1.07,0.6,0.59,3.6,4.27,0.94,78
L18,1.83,3.51,3.19,4.32,1.11,78,1.72,1.06,0.6,0.35,3.5,4.34,1.02,70
L19,1.84,3.54,3.13,3.86,1.1,75,1.54,1.1,0.57,0.38,3.6,4.2,1.02,60
Ca1,1.85,3.49,3.29,NA,1.2,NA,1.53,1.04,0.48,0.41,3.45,3.41,1.17,60
Ca2,1.86,3.48,3.14,3.59,1.21,70,1.44,1.08,0.42,0.49,3.4,3.26,1.28,58
Ca3,1.97,3.41,3.33,3.48,1.39,70,1.16,1.15,0.55,0.66,3.2,2.83,1.3,60
Ca4,1.97,3.45,3.25,3.17,1.28,68,0.96,1.15,0.58,0.57,2.9,2.6,1.2,62
Ca5,2.03,3.36,3.29,2.66,1.31,72,0.91,1.06,0.6,0.39,2.6,2.2,1.45,61
Ca6,2.04,3.34,3.32,2.18,1.35,78,0.8,1.06,0.59,0.52,2.2,2.02,1.4,60
Ca7,2.05,3.31,3.32,1.66,1.52,82,0.64,1.23,0.56,0.51,1.6,1.28,1.11,60
Ca8,2.17,3.23,3.51,1.42,1.4,95,0.6,1.34,0.59,0.52,1.4,0.71,0.86,70
Ca9,2.25,3.16,3.46,1.12,1.59,100,0.53,1.51,0.53,0.46,1.2,0.36,0.78,70
Ca10,2.28,3,3.6,0.76,1.2,100,0.46,1.5,0.55,0.55,0.65,0,0,NA
Ca11,2.25,2.85,3.52,0.69,1.17,102,0.4,1.64,0.48,0.37,0.5,0,0,NA
Ca12,2.25,2.73,3.44,0.36,1.13,98,0.45,1.56,0,0,NA,0,0,NA
Ca13,2.22,2.58,3.34,0,0,NA,0.31,1.3,0,0,NA,0,0,NA
Ca14,2.1,2.52,3.05,0,0,NA,0.27,1,0,0,NA,0,0,NA
Ca15,1.77,2.56,2.79,0,0,NA,0,0,0,0,NA,0,0,NA
