Balaenoptera_acutorostrata_(NRM_558397),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,5.44,14.6,10.44,NA,3.05,100,6.5,4.05,2.57,1.84,3.9,18.5,3.3,60
T2,7.32,15.2,9.98,7.59,5.28,94,8.1,6.11,2.92,3.6,4.5,19.8,3.4,58
T3,8.95,16.4,10.07,10.43,6.67,91,9.2,5.94,3.33,4.46,5.3,19.1,5.75,65
T4,10.19,15.2,10.44,14.16,8.49,85,9.5,6.58,4.65,5.93,7,21,6.57,70
T5,10.92,15.2,10.34,19.4,9.09,83,10.4,6.75,5.04,6.22,8.8,24.2,8.78,78
T6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T8,12.88,15.7,10.78,23.3,11.27,104,9.3,7.79,7.7,6.87,12.4,28,10.22,100
T9,13.86,16.3,10.96,24.7,10.13,121,8.6,8.54,7.52,7.1,12.9,29.7,9.75,100
T10,13.8,16.4,10.74,25.2,8.98,117,9.1,8.85,7.42,7.64,12.8,29.5,10.94,102
T11,14.2,16.3,11.05,26.9,11.11,118,9,8.9,8.01,7.73,12.8,29.8,11.25,100
L1,15,15.8,11.94,27.5,10.75,120,8.7,9.52,7.68,7.6,12.9,29.4,10.38,98
L2,15.3,15.6,11.89,29.2,10.86,120,8.5,9.58,8.14,6.82,13.2,28.8,11.03,81
L3,16,16,12.57,29.9,10.71,120,8.6,9.32,7.73,7.48,13.4,29.1,11.81,83
L4,16.1,15.9,12.54,30.9,10.62,117,8.2,9.86,8.26,7.39,13,29.1,11.32,83
L5,16.9,16.4,12.86,32.5,11.32,117,7.8,9.79,8.43,7.52,13.2,27.9,12.66,84
L6,17.5,16.3,13.26,32.7,11.67,114,7.1,9.81,8.35,7.61,13.5,27.4,12.89,80
L7,17.3,16.6,12.98,32,11.95,118,7,9.94,8.96,6.6,13.6,26.1,13.93,76
L8,18.5,16.9,13.41,32.7,11.94,120,6.9,9.95,9.38,6.12,14,25.1,14.57,74
L9,18.7,17.6,14.01,33.8,11.32,122,6.9,10,8.52,6.3,13.9,24,16.1,76
L10,19.2,18.3,14.43,31.8,12.51,117,5.8,9.82,8.83,6.65,13.4,20.5,17.3,84
L11,20.1,19.4,15.02,30.6,12.7,115,5.5,10.79,8.7,5.7,12.9,18.6,16.8,91
L12,20.3,18.9,15.9,28.8,11.72,115,4.8,11.11,8.42,4.95,12.8,16.5,15.2,98
Ca1,20.3,19.5,17.6,25.4,14.19,110,5.1,11.38,8.94,4.72,11.8,13.3,14.9,98
Ca2,20.1,20.9,17.5,19.5,13.1,108,4.4,11.05,5.49,6.09,11.3,12.7,11.8,95
Ca3,20.1,21.5,19.1,15,10.38,109,3.7,9.21,4.36,7.03,11.4,9.7,10.72,84
Ca4,19.1,20.9,20.6,13,7.58,113,2.9,7.62,3.74,5.78,10,6,10.58,83
Ca5,18.9,18.9,19.2,10.3,6.55,117,2.4,6.88,3.49,5.16,9.5,4,8.87,75
Ca6,18.4,16,19.3,8.1,4.34,117,2.2,5.83,3.05,4.3,7.4,1.1,4.48,65
Ca7,17.9,14.2,18,4.2,5,132,1.6,5.83,2.06,3.1,4.3,0,0,NA
Ca8,14.5,12.9,16.4,1.8,4.46,120,0.8,4.53,1.54,3.33,2.4,0,0,NA
Ca9,10.6,11.7,14.1,0,0,NA,0.8,2.06,0.82,1.69,1.3,0,0,NA
Ca10,6.88,12.07,12.04,0,0,NA,0,0,0,0,NA,0,0,NA
