Cephalorhynchus_hectori_(SAM_ZM36182),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.81,2.7,2.24,1.59,0.42,130,2,0.57,0,0,NA,1.65,0.7,67
T2,1.11,2.32,2.21,2.2,0.48,125,1.95,0.94,0,0,NA,1.92,1.14,75
T3,1.41,2.05,2.06,2.68,0.52,130,2.1,1.22,0.28,0.17,2.15,2.08,1.16,85
T4,1.56,2,2.26,3.24,0.67,130,2.1,1.19,0.6,0.43,2.2,2.02,1.16,90
T5,1.68,1.99,2.2,3.31,0.86,135,2.1,1.11,0.61,0.46,2.15,2.06,1.09,97
T6,1.79,2.09,2.12,3.28,0.85,130,1.96,0.92,0.64,0.34,2.1,2.26,1.05,100
T7,1.8,2.12,1.97,3.33,1.13,125,1.9,0.97,1.08,0.44,2.3,2.36,1.23,98
T8,1.81,2.27,2.03,3.82,1.11,125,2.04,1.05,1.12,0.63,2.4,2.7,1.29,95
T9,1.78,2.34,2.05,4.5,1.26,123,2.04,1.24,1.09,0.65,2.45,2.82,1.38,96
T10,1.74,2.3,2.15,4.63,1.24,120,1.92,1.31,1.18,0.51,2.45,3.24,1.41,102
T11,1.71,2.35,2.08,NA,1.31,115,1.86,1.16,1.13,0.51,2.6,4.36,1.24,110
T12,1.74,2.31,2.16,NA,1.16,115,1.94,1.04,1.1,0.5,2.5,5.69,0.99,115
L1,1.71,2.43,2.1,NA,1.02,112,1.93,1.17,1.03,0.43,2.6,5.78,1.04,110
L2,1.56,2.35,2.14,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1.08,105
L3,1.57,2.44,2.26,5.39,0.95,110,2.02,0.94,1.03,0.47,2.5,5.9,1.05,98
L4,1.55,2.48,2.39,5.35,1.03,105,2.04,0.9,1.01,0.47,2.6,5.88,1,100
L5,1.44,2.53,2.39,5.15,0.96,100,2.04,0.86,1.21,0.52,2.8,5.75,0.98,100
L6,1.49,2.52,2.48,5.27,0.9,97,1.9,0.86,0.87,0.52,2.4,5.54,0.99,100
L7,1.52,2.5,2.4,5.3,0.83,90,1.91,0.85,0.75,0.48,2.4,5.39,0.94,100
L8,1.41,2.44,2.44,5.31,0.85,80,1.86,0.96,0.73,0.55,2.5,5.16,0.88,100
L9,1.42,2.52,2.37,5.25,0.92,80,1.76,0.89,0.39,0.6,2.35,4.8,0.85,97
L10,1.38,2.56,2.53,5.2,0.91,80,1.76,0.9,0.38,0.67,2.1,4.51,0.82,96
L11,1.36,2.58,2.54,4.88,0.84,78,1.65,0.82,0.51,0.66,2.35,4.26,0.78,95
L12,1.39,2.84,2.57,4.65,0.82,75,1.7,0.82,0.4,0.5,2.3,4.01,0.8,94
L13,1.35,2.7,2.65,4.45,0.87,75,1.67,0.91,0.6,0.63,2.4,3.95,0.77,94
L14,1.34,2.72,2.58,4.41,0.84,75,1.59,0.81,0.58,0.51,2.45,3.78,0.85,91
L15,1.24,2.7,2.72,4.32,0.8,76,1.45,0.78,0.65,0.5,2.4,3.62,0.84,90
L16,1.32,2.66,2.7,4.19,0.95,75,1.42,0.87,0.77,0.56,2.55,3.44,0.86,85
Ca1,1.33,2.7,2.66,3.75,0.76,75,1.45,0.78,0.83,0.37,2.5,3.39,0.9,82
Ca2,1.3,2.78,2.71,3.57,0.83,74,1.39,0.81,0.74,0.43,2.5,3.23,0.95,80
Ca3,1.37,2.81,2.64,3.2,0.89,75,1.34,0.83,0.78,0.45,2.4,3.09,1.06,78
Ca4,1.34,2.87,2.69,2.9,1.02,78,1.28,0.84,1.03,0.52,2.5,3.05,1.27,78
Ca5,1.37,2.84,2.73,2.31,1.19,83,1.29,0.9,0.9,0.42,2.6,2.82,1.06,77
Ca6,1.29,2.88,2.87,2.29,1.19,90,1.1,0.88,0.78,0.49,2.4,2.75,1.15,78
Ca7,1.32,2.84,2.84,2.1,1.07,97,1,0.8,0.8,0.41,2.1,2.27,1.17,73
Ca8,1.29,2.83,2.89,1.83,1,110,0.85,0.79,0.79,0.44,1.8,2,1.2,72
Ca9,1.37,2.89,2.94,1.4,1.02,120,0.65,0.81,0.92,0.46,1.7,1.72,0.91,67
Ca10,1.48,2.76,3.02,1.21,0.93,118,0.55,0.79,0.75,0.47,1.5,1.23,0.75,65
Ca11,1.48,2.68,3.11,0.96,0.92,120,0.46,0.84,0.75,0.41,1.3,0.7,0.73,65
Ca12,1.56,2.61,3.14,0.74,0.84,125,0.47,0.98,0.62,0.44,0.9,0.32,0.54,75
Ca13,1.53,2.6,3.13,0.71,0.87,125,0.43,1.08,0.67,0.35,0.65,0,0,NA
Ca14,1.58,2.69,3.01,0.46,0.86,125,0.31,1.19,0.52,0.39,0.5,0,0,NA
Ca15,1.5,2.54,2.82,0.32,0.94,120,0.35,1.1,0,0,NA,0,0,NA
Ca16,1.41,2.46,2.69,0,0,NA,0.27,0.9,0,0,NA,0,0,NA
Ca17,1.37,2.46,2.61,0,0,NA,0,0,0,0,NA,0,0,NA
