Caperea_marginata_(RBINS_1536),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,4.4,9.24,8.43,4.95,1.69,90,4.25,3.38,0,0,NA,5.3,1.5,85
T2,4.68,9.51,8.08,8.9,4.19,85,9.5,2.9,0,0,NA,10.4,3,70
T3,5.75,9.94,8.22,14.5,5.25,83,9.5,3.72,1.51,2.87,3.7,11.2,4.2,70
T4,6.21,10.64,8.15,17,7.56,86,9,5.83,2.42,3.54,5.1,10.4,6,70
T5,7.79,10.24,7.84,18.8,9.13,96,8.2,6.96,3.07,5.85,7.5,12.5,7.7,85
T6,9.21,9.97,7.85,21.2,8.74,107,4.5,7.33,3.77,6.74,7.5,15.5,7.2,90
T7,9.82,10.35,7.56,23.6,8.62,115,7.7,7.57,4.58,7.07,9.2,17.8,8,90
T8,10.9,9.72,8.06,23.5,8.58,119,7,8.08,6.23,7.72,10.1,20.9,9,90
T9,12.33,9.82,8.55,23.8,8.75,120,6.5,8.54,6.24,8.24,11,23.5,12.5,90
T10,12.48,9.67,8.73,24.3,9.33,116,6.5,9.04,6.82,8.73,11,24,13,90
T11,13.99,10.03,8.62,24.6,9.54,116,6.5,9.68,7.04,8.47,10.8,23.5,13,90
T12,13.66,10,9.23,24.4,10.18,117,6,9.28,7.36,8.76,11,24.2,15.5,90
T13,14.03,10.98,8.88,25.6,9.58,130,5.5,9.39,6.96,8.73,10.8,23.4,16.5,100
T14,14.77,10.76,9.36,24.2,9.14,128,5.5,9.5,7.22,8.04,10.5,22,17.7,100
T15,15.14,10.73,9.49,24,9.75,124,5,9.65,7.78,7.84,10.4,20.2,16.8,102
T16,15.4,11.22,9.81,20.5,9.83,124,4.8,9.5,7,8.14,10.5,18.2,15.1,104
T17,16.35,11.6,9.79,18.2,9.09,128,4.4,9.85,6.75,7.26,11.8,17,16.2,108
L1,17.1,11.7,10.28,15,8.31,130,3.3,10.27,5.53,5.28,11.4,13.6,16,112
L2,17.6,11.49,10.58,9.5,7.9,135,3.4,10.8,5.37,5.5,10,11.8,16.8,113
L3,18.3,12.06,11.78,8.9,6,125,2.3,11,6.32,5.68,8.5,10.9,17.5,110
Ca1,17.4,11.84,12.68,6.07,7.31,120,2.5,10.7,5.1,4.07,7,10.4,13.7,110
Ca2,17,11.5,13.51,5.41,6.93,115,2,9.2,4.12,3.47,6.8,7.2,13.6,90
Ca3,15.7,11.72,13.36,3.52,7.19,120,1.8,9,3.4,2.74,6.3,4.9,11.3,107
Ca4,14.5,11.39,13.67,2.3,6.39,112,1.2,9.7,2.95,1.87,5.7,2.9,11,130
Ca5,13,10.47,13,0,0,NA,2,9,2.76,2.02,4.5,1.7,8,NA
Ca6,12.4,9.68,12.05,0,0,NA,1.5,7.5,2.38,1.81,2.9,0,0,NA
Ca7,9.5,8.29,9.29,0,0,NA,1.3,6.2,0,0,NA,0,0,NA
Ca8,6.29,8.02,9.13,0,0,NA,0,0,0,0,NA,0,0,NA
Ca9,5.33,7.13,7.86,0,0,NA,0,0,0,0,NA,0,0,NA
Ca10,5.23,6.05,6.79,0,0,NA,0,0,0,0,NA,0,0,NA
