Delphinus_delphis_(NRM_805172),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.89,3.42,2.73,3.46,0.6,135,1.98,1.08,0,0,NA,1.96,0.97,78
T2,1.2,3.46,2.64,4.18,0.44,128,2.28,1.27,0,0,NA,2.03,0.96,90
T3,1.54,3.02,2.58,4.6,0.92,127,2.22,1.18,0.22,0.4,1.6,2.17,1.28,97
T4,1.94,2.94,2.63,4.69,1.03,130,2.31,1.11,0.54,0.58,2.1,2.28,1.43,102
T5,2.24,2.78,2.71,4.73,1.15,135,2.46,1.19,0.82,0.75,2.45,2.1,1.49,110
T6,2.47,2.81,2.7,5.3,1.23,140,2.34,1.01,1.41,0.78,2.55,2.63,1.68,110
T7,2.57,2.8,2.76,6.01,1.27,140,2.23,1.11,1.72,0.64,2.8,3.02,1.74,107
T8,2.69,2.88,2.84,5.91,1.38,135,2.26,1.34,2.11,0.77,3.1,3.46,1.74,100
T9,2.65,3,2.78,6.65,1.37,128,2.11,1.41,2.11,0.73,3.3,3.95,1.84,95
T10,2.7,3.14,2.77,6.91,1.36,123,1.98,1.52,1.96,0.74,3.4,4.58,1.89,98
T11,2.69,3.3,2.78,6.91,1.4,120,2.02,1.4,1.91,0.76,3.8,5.23,1.82,96
T12,2.7,3.29,2.87,6.78,1.35,114,2.09,1.39,2.22,0.88,3.75,6.19,2.12,94
T13,2.62,3.34,2.93,6.47,1.41,113,2.17,1.38,2.29,0.7,3.6,7.44,2,97
T14,2.55,3.29,2.99,6.95,1.47,112,2.15,1.44,2.07,0.66,3.6,8.94,1.84,101
L1,2.43,3.38,3.05,7,1.25,106,2.36,1.24,1.99,0.45,3.35,8.52,1.48,105
L2,2.38,3.47,3.1,7.03,1.21,98,2.37,1.27,1.61,0.47,3.6,8.26,1.49,103
L3,2.3,3.42,3.21,7.33,1.16,95,2.24,1.27,1.52,0.73,3.85,8.35,1.53,100
L4,2.23,3.46,3.34,7.42,1.11,90,2.35,1.18,1.53,0.46,3.9,8.07,1.44,100
L5,2.23,3.54,3.4,7.33,1.12,86,2.22,1.19,1.53,0.58,3.9,7.84,1.39,93
L6,2.11,3.44,3.41,7.55,1.06,85,2.18,1.29,0.96,0.48,3.75,7.45,1.32,90
L7,2.08,3.49,3.54,7.79,1.11,84,2.1,1.22,0.43,0.82,3.1,7.27,1.21,90
L8,2.04,3.46,3.54,7.87,1.17,83,2.02,1.43,0.45,0.69,3.3,7.14,1.22,88
L9,1.98,3.54,3.57,7.98,1.09,78,2.04,1.24,0.37,0.59,3.1,7.32,1.19,87
L10,1.96,3.44,3.54,8.13,1,76,2.04,1.31,0.4,0.77,3.4,7.15,1.13,85
L11,1.86,3.48,3.63,8.21,1.02,70,2.08,1.15,0.31,0.41,3.5,7.13,1.07,82
L12,1.83,3.65,3.57,7.92,0.93,69,2.1,1.12,0,0,NA,6.98,1,79
L13,1.85,3.63,3.56,7.83,0.95,67,2.11,1.06,0,0,NA,6.76,1.14,76
L14,1.89,3.6,3.8,7.75,0.92,66,2.09,1.21,0,0,NA,6.69,0.99,75
L15,1.85,3.64,3.77,7.46,1.01,68,1.9,1,0,0,NA,6.69,1.01,72
L16,1.93,3.72,3.88,6.87,1.16,71,2.04,1.1,0,0,NA,6.56,1.15,72
L17,1.75,3.78,3.84,6.82,1.07,69,2.02,1.23,0,0,NA,6.3,1.15,70
L18,1.83,3.93,3.93,6.78,1.06,68,1.84,1.08,0.23,0.24,4.15,6,1.13,68
L19,1.83,3.84,3.91,6.75,1.1,68,1.84,1.16,0.38,0.26,4.3,5.92,1.31,66
L20,1.86,3.94,3.88,6.54,1.19,67,1.75,1.17,0.5,0.38,4.5,5.93,1.14,64
L21,1.85,3.87,3.82,6.4,1.1,66,1.69,1.15,0.98,0.43,4.75,5.55,1.31,65
Ca1,1.86,3.93,3.82,6.32,1.19,67,1.6,1.26,1.04,0.38,4.85,5.41,1.42,62
Ca2,1.99,3.98,3.79,5.89,1.2,65,1.81,1.23,0.91,0.32,4.75,5.03,1.35,58
Ca3,1.91,3.92,3.78,6.07,1.34,65,1.72,1.38,0.99,0.36,4.8,4.67,1.35,56
Ca4,1.95,3.85,3.84,5.46,1.33,65,2,1.47,0.83,0.38,4.75,4.5,1.34,60
Ca5,2,3.87,3.9,5.74,1.38,62,1.66,1.57,0.88,0.35,4.45,4.26,1.32,64
Ca6,2.05,3.85,3.84,5.58,1.47,60,1.4,1.45,0.63,0.32,4.35,4.33,1.51,64
Ca7,2.06,3.88,4.02,5.17,1.24,60,1.34,1.42,0.77,0.29,4.2,4.07,1.57,63
Ca8,2.1,3.91,3.95,4.9,1.33,61,1.17,1.49,0.59,0.33,3.75,3.59,1.64,65
Ca9,2.19,3.85,4.06,4.46,1.32,64,1.12,1.52,0.56,0.41,3.4,3.16,1.64,62
Ca10,2.2,3.87,4.23,4.45,1.41,66,0.94,1.4,0.51,0.38,2.9,2.74,1.51,62
Ca11,2.38,3.87,4.21,4.27,1.66,70,0.82,1.53,0.51,0.43,2.65,1.97,1.42,67
Ca12,2.45,3.8,4.13,3.77,1.79,77,0.69,1.64,0.39,0.41,2.3,1.21,1.17,65
Ca13,2.51,3.63,4.28,3.24,2.08,82,0.66,1.69,0.45,0.33,2,0.75,1.05,67
Ca14,2.6,3.33,4.21,2.98,2.11,88,0.57,1.79,0.48,0.48,1.7,0.5,0.76,70
Ca15,2.66,3.1,4.3,2.37,1.97,100,0.52,1.78,0.6,0.52,1.5,0,0,NA
Ca16,2.72,2.88,4.33,1.96,2.08,105,0.45,1.88,0.57,0.34,1.15,0,0,NA
Ca17,2.71,2.74,4.24,1.66,2.28,104,0.47,2.02,0.35,0.29,1.7,0,0,NA
Ca18,2.64,2.61,4.19,0.89,1.95,103,0.36,1.89,0.36,0.25,0.4,0,0,NA
Ca19,2.51,2.47,3.96,0.31,1.43,100,0.24,1.46,0,0,NA,0,0,NA
Ca20,2.16,2.47,3.43,0,0,NA,0.21,1.24,0,0,NA,0,0,NA
Ca21,1.62,2.96,2.99,0,0,NA,0,0,0,0,NA,0,0,NA
