Delphinus_delphis_(USNM_500273),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.02,2.99,2.57,2.11,0.65,123,2.06,0.78,0,0,NA,2.05,0.9,75
T2,1.27,2.82,2.54,2.97,0.63,131,2.13,1.14,0,0,NA,2.03,0.87,88
T3,1.59,2.69,2.34,3.63,0.68,134,2.35,1.37,0,0,NA,2.17,0.92,90
T4,1.89,2.64,2.46,4.04,0.87,130,2.16,1.53,0.59,0.42,2.65,2.13,1.26,95
T5,2.11,2.62,2.48,4.04,0.9,128,2.22,1.34,0.94,0.76,2.6,1.95,1.3,101
T6,2.29,2.64,2.52,4.25,0.92,129,2.3,1.12,1.12,0.75,2.75,2.21,1.42,103
T7,2.39,2.67,2.61,4.77,0.99,127,2.33,0.93,1.12,0.7,3.05,2.96,1.48,107
T8,2.46,2.73,2.66,5.33,1.14,125,2.31,1.21,1.41,0.7,3,3.06,1.44,91
T9,2.52,2.76,2.63,5.43,1.26,123,2.31,1.38,1.62,0.89,3.4,3.77,1.53,96
T10,2.56,2.85,2.66,5.78,1.32,118,2.24,1.49,1.6,0.86,3.5,4.22,1.56,98
T11,2.56,3,2.64,6.26,1.41,120,2.22,1.44,1.46,0.85,3.7,4.73,1.84,100
T12,2.46,2.99,2.72,6.57,1.29,118,2.17,1.47,1.66,0.69,3.8,5.77,1.71,101
T13,2.37,3.01,2.85,6.88,1.28,115,2.33,1.36,1.64,0.8,3.65,7.5,1.71,104
T14,2.25,3.13,2.88,7.2,1.25,110,2.37,1.38,1.43,0.52,3.6,8.17,1.66,109
L1,2.21,3.08,2.84,7.54,1.15,102,2.38,1.17,1.61,0.62,3.65,8.15,1.24,110
L2,2.05,3.15,2.87,7.73,1.02,97,2.43,1.34,1.43,0.49,3.7,8.02,1.31,102
L3,2.02,3.17,2.85,7.81,0.96,92,2.34,1.06,1.06,0.41,3.55,7.77,1.22,98
L4,1.93,3.41,2.83,7.72,0.94,88,2.41,1.24,1.18,0.48,3.6,7.71,1.29,94
L5,1.88,3.18,2.95,7.65,0.89,87,2.25,1.07,NA,NA,NA,7.62,1.26,91
L6,1.85,3.39,2.98,7.47,0.95,83,2.39,1.09,0.69,0.58,3.5,7.46,1.3,90
L7,1.81,3.26,3.1,7.68,0.94,77,2.24,1.07,0,0,NA,7.28,1.14,87
L8,1.78,3.33,3.06,7.55,0.91,79,2.23,1.15,0.24,0.31,2.95,7.4,1.17,87
L9,1.67,3.34,3.08,7.52,0.9,80,2.17,1.17,0,0,NA,7.22,1.09,87
L10,1.63,3.28,3.07,7.55,0.92,78,2.3,1.02,0,0,NA,6.96,0.98,88
L11,1.63,3.31,3.13,7.39,0.86,75,2.16,1.1,0,0,NA,6.72,0.97,88
L12,1.62,3.36,3.12,7.24,0.9,80,2.18,1.01,0,0,NA,6.58,0.89,87
L13,1.51,3.28,3.11,6.94,0.78,82,2.17,1.01,0,0,NA,6.33,0.85,85
L14,1.58,3.27,3.17,6.97,0.76,83,2.16,1.01,0,0,NA,6.1,0.76,83
L15,1.6,3.29,3.21,6.86,0.73,80,2.17,1.01,0,0,NA,5.86,0.86,79
L16,1.63,3.32,3.17,6.67,0.81,78,2.09,0.84,0,0,NA,5.95,1.18,76
L17,1.61,3.3,3.29,6.46,0.83,78,2.21,1,0,0,NA,5.64,0.86,73
L18,1.64,3.45,3.3,6.45,0.78,77,1.99,0.96,0,0,NA,5.37,0.91,70
L19,1.68,3.44,3.36,6.37,0.88,74,1.93,1.04,0,0,NA,5.13,0.92,72
L20,1.66,3.52,3.27,6.22,0.85,71,2.05,1.01,0,0,NA,5.13,0.85,70
L21,1.66,3.46,3.37,6.18,0.89,62,1.84,0.98,0.66,0.41,4.65,5.02,0.87,67
Ca1,1.72,3.46,3.36,5.96,0.89,66,1.86,0.92,0.66,0.32,4.55,4.91,0.86,68
Ca2,1.77,3.5,3.42,5.85,0.91,65,1.99,1.09,0.84,0.34,4.65,4.79,0.88,68
Ca3,1.76,3.55,3.4,5.76,0.95,60,1.93,0.98,1.03,0.3,4.85,4.7,0.88,69
Ca4,1.85,3.56,3.38,5.7,0.98,57,1.9,1.15,0.8,0.37,4.65,4.55,0.86,67
Ca5,1.87,3.56,3.33,5.66,1.05,57,1.81,1.25,1.09,0.47,4.65,4.17,0.88,66
Ca6,1.9,3.51,3.33,5.49,1.07,55,1.56,1.14,0.85,0.42,4.5,4.03,0.81,67
Ca7,1.99,3.52,3.44,5.42,1.14,54,1.31,1.35,0.98,0.37,4.2,3.68,1.06,65
Ca8,2.03,3.55,3.5,NA,1.19,NA,1.04,1.32,0.92,0.42,3.9,3.45,1.25,66
Ca9,2.08,3.56,3.58,4.83,1.29,62,0.88,1.42,0.87,0.49,3.55,2.87,1.28,68
Ca10,2.11,3.49,3.65,4.38,1.35,66,0.77,1.28,0.74,0.53,3.3,2.28,1.32,67
Ca11,2.19,3.31,3.63,4.01,1.5,68,0.71,1.34,0.73,0.51,2.95,1.9,1.19,67
Ca12,2.25,3.28,3.63,3.63,1.75,69,0.66,1.36,0.56,0.47,2.6,1.33,0.88,68
Ca13,2.32,3.31,3.79,3.06,1.79,74,0.58,1.39,0.54,0.42,2.3,0.76,1.09,72
Ca14,2.48,3.15,3.78,2.85,2.15,80,0.6,1.49,0.51,0.49,1.95,0.36,0.97,74
Ca15,2.56,2.97,3.8,2.25,2.37,109,0.46,1.68,0.54,0.51,1.35,0.21,0.39,76
Ca16,2.61,2.73,3.92,1.73,1.96,116,0.42,1.62,0.47,0.5,1.05,0,0,NA
Ca17,2.64,2.55,3.9,1.28,1.96,114,0.41,1.82,0.49,0.37,0.8,0,0,NA
Ca18,2.52,2.5,3.84,0.86,2.03,114,0.31,1.84,0.33,0.31,0.6,0,0,NA
Ca19,2.45,2.46,3.55,0.36,1.57,112,0.18,1.7,0.18,0.19,0.25,0,0,NA
Ca20,2.19,2.41,3.18,0,0,NA,0,0,0,0,NA,0,0,NA
Ca21,1.68,2.58,2.67,0,0,NA,0,0,0,0,NA,0,0,NA
