Delphinapterus_leucas_(MNHN_A3246),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,5.01,6.83,5.42,3.04,2.13,95,5.2,2.45,0,0,NA,4.44,4.06,60
T2,5.83,6.58,5.25,4.2,2.21,96,5.5,3.88,0,0,NA,4.61,4.48,65
T3,5.88,6.58,5.29,4.9,3.09,96,6,4.54,0,0,NA,4.82,4.43,70
T4,6.51,6.94,5.41,5.03,3.47,94,6,5.23,1.01,1.01,6.3,4.19,4.47,75
T5,7.3,6.73,5.7,5.59,4.48,98,6,4.68,1.66,1.44,6.5,4.08,4.25,85
T6,7.56,6.62,6.13,5.73,4.46,100,5.8,3.21,2.61,1.73,5.5,4.44,4.27,87
T7,8.2,6.93,6.2,6.29,4.85,100,5.8,4.07,2.98,1.7,5.5,4.44,4.35,90
T8,8.94,7.15,6.44,5.92,5.24,100,5.6,4.58,3.16,2.21,5.99,4.88,4.67,108
T9,8.91,7.33,6.71,6.28,5.37,100,5.2,4.38,4.56,1.92,6.21,6.61,3.43,110
T10,9.8,7.67,7.01,7.39,5.46,100,5.5,3.99,4.71,2.44,5.91,7.44,4.15,112
T11,10.45,8.06,7.22,10.82,5.83,105,6,4.4,5.51,2.84,6.75,9.7,5.9,90
L1,10.46,7.98,7.43,10.47,6.07,110,6,4.89,4.77,2.62,6.58,10.8,7.08,90
L2,11.23,8.08,7.67,10.9,6.26,110,5.5,4.4,4.9,2.54,6.73,14.05,7.3,90
L3,11.41,8.13,7.92,11.38,5.95,105,5,4.75,5,3,7.32,15.25,7.96,85
L4,11.68,8.3,8.11,11.63,6.38,105,5,4.31,4.77,3.05,7.87,15.4,8.37,82
L5,12.09,8.54,8.26,11.54,6.69,105,4.7,4.62,4.83,3.03,8.07,14.61,9.36,90
L6,12.14,8.75,7.82,10.9,6.41,110,4.5,4.3,5.03,3.1,8.83,13.62,9.84,92
L7,12.38,9.32,8.36,10.14,6.95,115,4.3,4.32,5.4,3.09,8.49,12.7,8.54,95
L8,12.34,9.25,8.5,10.6,6.05,95,3.8,4.17,4.48,2.5,7.34,11.39,6.81,98
L9,12.16,9.56,9.13,10.3,5.72,98,3.5,4.3,4.31,2.33,6.53,10.81,8.04,90
Ca1,11.86,9.69,9.23,9.87,5.72,95,3.6,3.95,3.86,1.91,6.46,9.4,7.79,90
Ca2,10.81,9.68,9.3,8.87,5.26,85,3.8,4.3,3.38,1.94,5.73,8.59,7.64,90
Ca3,10.22,9.35,8.85,8.5,5.02,80,3.5,3.94,4.22,1.74,5.15,6.53,8.7,90
Ca4,9.67,9.18,8.98,7.19,5.33,80,3.2,3.88,3.6,1.13,4.32,5.65,6.63,85
Ca5,9.41,9.13,9.1,6,4.89,80,3,3.73,2.93,0.94,3.76,4.62,5.92,75
Ca6,8.39,8.61,9.11,3.57,4.48,95,1.65,3.9,2.55,1.02,3.12,2.77,4.75,65
Ca7,7.54,8,8.97,3,4.31,95,1.41,3.98,0.88,1.02,1.58,2.06,3.53,65
Ca8,6.81,7.6,8.71,2.22,4.04,100,1.17,3.97,0.64,0.82,0.92,0.98,1.92,70
Ca9,6.4,7,8.63,1.78,3.69,105,0.85,3.61,0.8,0.69,0.76,0,0,NA
Ca10,5.89,6.52,8.07,1.23,3.45,107,0.8,3.42,0,0,NA,0,0,NA
Ca11,5.48,6.25,7.7,0.4,2.42,100,0.58,3.07,0,0,NA,0,0,NA
Ca12,4.84,6.13,7.37,0,0,NA,0,0,0,0,NA,0,0,NA
Ca13,3.94,6.14,6.93,0,0,NA,0,0,0,0,NA,0,0,NA
