Berardius_bairdii_(USNM_49726),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,8.88,19,13.49,10.08,5.87,130,11.33,6.22,0,0,NA,8.47,4.42,55
T2,10.52,18.2,12.83,18.35,7.5,133,11.65,8.57,0,0,NA,8.37,6.04,64
T3,12.72,17.9,12.28,20.1,10.4,131,12.35,7.51,1.25,1.71,6.1,9.1,7.24,69
T4,14.7,17.65,13.25,23.2,7.57,138,11.98,10.13,6.07,4.96,10.8,8.11,6.74,82
T5,13.68,17.1,12.52,23.4,10.75,130,13.1,7.11,5.09,4.55,9,4.75,6.06,82
T6,15.24,18.15,13.13,24.2,9.95,132,13.4,7.11,5.49,5.05,10.9,5.51,6.58,88
T7,16.6,18.6,13.6,23.7,11.17,131,12.1,7.14,5.73,5.08,12.2,6.16,6.78,92
T8,17.7,20.1,13.8,24.9,10.82,133,12.3,8.23,7.62,5.07,12.4,6.8,6.76,90
T9,17.9,20.6,14.05,27.45,12.94,133,10.8,8.47,10.12,7.42,12.2,6.09,4.37,88
T10,20.15,20.65,14.7,28.4,13.11,134,9.3,12.2,11.92,8.67,12.8,7,9.6,86
T11,21.3,21.75,15.8,30.2,14.45,127,9.8,11.86,NA,NA,NA,13.22,12.95,85
L1,22.65,21.15,17.2,31,14.51,128,10.25,12.4,13.15,9.26,13.15,18.8,12.69,78
L2,23.3,22.35,19.15,35.1,15.3,130,10.4,13.02,NA,NA,NA,20.9,12.51,78
L3,23.6,22.75,19.75,36.2,17.9,126,10.3,12.86,13.12,7.76,13.85,20.5,12.86,74
L4,25.75,22.75,20.1,37.4,18.5,131,10.8,13.07,8.61,8.95,13.9,20.1,12.86,73
L5,25.25,23.1,19.4,37.8,17.3,127,10.66,13,9.53,8.29,12.4,18.6,12.7,75
L6,26.75,23.8,20.6,42.1,16.1,128,9.7,14.36,10.36,8.15,13.2,17,12.28,77
L7,28.2,24.8,21.45,44.2,18.8,127,8.85,14.75,9.54,8.19,13,16.8,12.43,73
L8,29.25,25.7,22.7,47.1,20.9,124,8.85,14.32,7.61,8.1,13.1,18.3,11.79,68
L9,30.75,26.9,23.1,NA,19,125,7.63,14.47,7.97,7.67,12.8,17.5,11.28,73
L10,31.75,28.2,24.5,44.3,19.4,125,6.72,15.3,8.05,8.14,13.05,16.85,13.07,70
L11,31.9,28.7,24.35,49.1,22.4,124,7.13,15.7,6.98,8.23,10.8,15.4,13.72,84
L12,33.4,28.9,25.2,44.9,23,118,6.21,16.15,6.85,6.82,9.3,13.3,14.61,85
L13,33.05,28.85,26.25,45.7,21.9,117,5.48,15.4,5.1,6.68,9.5,12.4,12.71,78
Ca1,31.9,28.2,25.25,44.4,26.6,117,6.37,15.5,5.57,7.4,9.6,10.3,10.61,55
Ca2,30.45,27.4,24.35,39.9,21.7,121,6.82,15.4,5.67,7.64,9.9,11.1,11.95,65
Ca3,29.75,26.5,24.3,37.7,21.7,117,5.45,17.1,5.07,6.61,9.55,11.5,13.74,76
Ca4,28.3,26.4,26.1,33.25,21.1,110,5.26,12.39,NA,NA,NA,NA,NA,NA
Ca5,26.7,26.2,25.8,29.7,14.63,123,3.45,13.61,3.94,6.07,7.6,7.85,9.42,73
Ca6,25.6,25.3,25.8,20.9,16.1,130,2.95,14.16,3.68,6.76,6.3,3.58,7.76,77
Ca7,24.3,23.75,25.85,14.7,12.2,125,2.75,13.63,3.93,6.72,5.6,0,0,NA
Ca8,23.4,21.5,25.2,9.75,13.3,121,2.26,12.81,3.89,3.24,3.5,0,0,NA
Ca9,21.8,19.7,23.35,6.48,14.25,116,2.15,12.95,3.06,2.19,2.4,0,0,NA
Ca10,18.65,16.7,21.4,2.4,10.76,107,1.15,9.92,0,0,NA,0,0,NA
Ca11,13.27,17.3,19.9,0,0,NA,0,0,0,0,NA,0,0,NA
